"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","genre_1","genre_2","genre_3","genre_4","genre_5"
"R.I.P. 2 My Youth","The Neighbourhood","Wiped Out!","2015-10-30",205280,68,0.00216,0.353,0.686,0,0.123,-5.704,0.0534,94.47,7,0,205280,0.177,4,"modern alternative rock","modern rock","pop",NA,NA
"Snap Out Of It","Arctic Monkeys","AM","2013-09-09",193030,81,0.249,0.728,0.638,0,0.116,-6.455,0.0336,130.014,5,0,193030,0.872,4,"garage rock","modern rock","permanent wave","rock","sheffield indie"
"Sex","The 1975","The 1975","2013-01-01",207001,62,1.31e-05,0.408,0.974,4.86e-05,0.526,-4.139,0.126,148.298,2,1,207001,0.173,4,"modern alternative rock","modern rock","pop","pov: indie","rock"
"Robbers","The 1975","The 1975","2013-01-01",254509,73,0.000363,0.621,0.692,1.75e-05,0.335,-6.858,0.0291,99.806,4,1,254509,0.381,4,"modern alternative rock","modern rock","pop","pov: indie","rock"
"Do I Wanna Know?","Arctic Monkeys","AM","2013-09-09",272394,89,0.186,0.548,0.532,0.000263,0.217,-7.596,0.0323,85.03,5,1,272394,0.405,4,"garage rock","modern rock","permanent wave","rock","sheffield indie"
"Baby Came Home","The Neighbourhood","I'm Sorry...","2013-05-08",226880,56,0.017,0.637,0.552,0.00487,0.104,-5.823,0.0286,113.029,0,1,226880,0.276,4,"modern alternative rock","modern rock","pop",NA,NA
"W.D.Y.W.F.M?","The Neighbourhood","I Love You.","2013-04-19",259413,68,0.0303,0.557,0.845,0.00851,0.354,-2.926,0.0346,123.997,8,0,259413,0.508,4,"modern alternative rock","modern rock","pop",NA,NA
"Prey","The Neighbourhood","Wiped Out!","2015-10-30",282640,65,0.0258,0.517,0.779,0,0.0622,-5.005,0.0477,115.206,9,0,282640,0.197,4,"modern alternative rock","modern rock","pop",NA,NA
"Single","The Neighbourhood","Wiped Out!","2015-10-30",262320,61,0.755,0.249,0.492,0,0.243,-7.108,0.0352,54.134,2,0,262320,0.34,4,"modern alternative rock","modern rock","pop",NA,NA
"Nervous","The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing","2018-11-02",245000,73,0.0213,0.589,0.614,0.165,0.31,-7.528,0.0426,119.837,0,0,245000,0.318,4,"modern alternative rock","modern rock","pop",NA,NA
