"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Treat Me","Chlöe","Treat Me","2022-04-08",149865,63,0.0442,0.708,0.793,2.62e-06,0.0362,-2.518,0.0417,94.005,7,0,149865,0.503,4,"2ZCu2xskiEBCV3y0eu0zJG","contemporary r&b",NA,NA,NA,NA,NA
"Te Felicito","Shakira","Te Felicito","2022-04-21",172235,82,0.234,0.695,0.636,0,0.081,-4.654,0.317,174.14,5,1,172235,0.575,4,"2rurDawMfoKP4uHyb2kJBt","colombian pop","dance pop","latin pop","pop",NA,NA
"mariposas","sangiovanni","mariposas","2022-06-02",154000,71,0.145,0.692,0.75,0,0.133,-4.328,0.0411,120.037,0,0,154000,0.443,4,"5R2hNuiiwnKVAUNktF9j2Y","italian adult pop","italian pop",NA,NA,NA,NA
"Liar","Camila Cabello","Romance","2019-12-06",207038,67,0.0169,0.74,0.498,0.00282,0.319,-6.684,0.0456,98.016,11,0,207038,0.652,4,"073ILU1C3APNRGF66VhtyA","dance pop","pop",NA,NA,NA,NA
"Piña","Snow Tha Product","Piña","2022-09-09",144691,44,0.107,0.861,0.649,0.0753,0.111,-6.462,0.133,95.99,7,0,144691,0.568,4,"27WpmDE56W905AhSoaNIkx","alternative r&b","rap latina","trap queen",NA,NA,NA
"I Don't Do Drugs (feat. Ariana Grande)","Doja Cat","Planet Her","2021-06-25",188893,70,0.222,0.683,0.615,8.25e-06,0.154,-5.737,0.0966,77.014,5,1,188893,0.45,4,"0FFsgUoFibYISzMxuGS61W","dance pop","pop",NA,NA,NA,NA
"Attitude - from the ""Bruised"" Soundtrack","Saweetie","Attitude (from the ""Bruised"" Soundtrack)","2021-11-19",116085,30,0.0273,0.896,0.57,6.58e-05,0.079,-6.954,0.0646,96.004,8,1,116085,0.497,4,"0ZlPqSmpq7lUJ77RbVyCpZ","cali rap","trap queen",NA,NA,NA,NA
"Ta reine","Angèle","Brol","2018-10-05",213200,63,0.822,0.668,0.44,3.98e-06,0.0901,-10.607,0.0801,107.091,9,0,213200,0.127,4,"3iXhLi33EpUfcOwasC8un1","belgian pop","french pop","variete francaise",NA,NA,NA
"Think About Us","Little Mix","LM5 (Deluxe)","2018-11-16",235146,56,0.0709,0.477,0.791,0,0.112,-3.331,0.12,175.869,8,1,235146,0.603,4,"5ecQ5IpXRvNgnsAuw40dOq","girl group","pop","talent show","uk pop",NA,NA
"I Knew You Were Trouble (Taylor's Version)","Taylor Swift","Red (Taylor's Version)","2021-11-12",219760,81,0.0129,0.584,0.557,0,0.0576,-6.371,0.0342,154.008,6,1,219760,0.767,4,"6AtZLIzUINvExIUy4QhdjP","pop",NA,NA,NA,NA,NA
"Medley Lud Session - Tudo porque você mentiu / penhasco / De rolê / CAFÉ DA MANHÃ ;P / Doutora 3","LUDMILLA","Medley Lud Session - Tudo porque você mentiu / penhasco / De rolê / CAFÉ DA MANHÃ ;P / Doutora 3","2022-06-30",579562,55,0.651,0.418,0.689,0,0.108,-5.553,0.0659,150.883,6,0,579562,0.294,4,"3JFB72hbbt3zy30puJTc3q","funk carioca","funk pop","funk rj","pagode baiano","pop nacional",NA
"That's My Girl","Fifth Harmony","7/27 (Deluxe)","2016-05-27",204013,76,0.0358,0.596,0.851,3.19e-05,0.365,-4.245,0.121,202.049,5,0,204013,0.612,4,"2ACOWPLUe4A4KuQ5ioD2od","girl group","pop","talent show",NA,NA,NA
"traitor","Olivia Rodrigo","SOUR","2021-05-21",229226,88,0.691,0.38,0.339,0,0.12,-7.885,0.0338,100.607,3,1,229226,0.0849,4,"5CZ40GBx1sQ9agT82CLQCT","pop",NA,NA,NA,NA,NA
"Tócame (feat. Arcangel & De La Ghetto)","Anitta","Tócame (feat. Arcangel & De La Ghetto)","2020-07-10",166264,51,0.0205,0.785,0.74,8.28e-05,0.22,-5.374,0.172,100.057,1,1,166264,0.746,4,"4cno0k9jDEFpLAQyHNjqVx","funk pop","funk rj","pagode baiano","pop","pop nacional",NA
"SloMo","Chanel","SloMo","2021-12-24",176285,61,0.125,0.728,0.814,0.00448,0.0927,-3.29,0.0571,104.962,1,0,176285,0.594,4,"3XREkzDHsWdBL5tybyCDBH",NA,NA,NA,NA,NA,NA
"Démons","Angèle","Nonante-Cinq","2021-12-02",251670,63,0.482,0.657,0.643,2.08e-06,0.189,-6.661,0.0433,82.516,8,0,251670,0.394,4,"3gAEAmxdP1GIjgQ3Zud2mE","belgian pop","french pop","variete francaise",NA,NA,NA
"Top Notch (feat. Fivio Foreign)","City Girls","Top Notch (feat. Fivio Foreign)","2022-04-01",169737,43,0.268,0.682,0.75,0,0.47,-3.72,0.201,70.916,0,1,169737,0.277,4,"5pH8a5XwtyjHhGWXINFDgu","scam rap","trap queen",NA,NA,NA,NA
"Combatchy (feat. MC Rebecca)","Anitta","Combatchy (feat. MC Rebecca)","2019-11-20",157600,63,0.383,0.826,0.73,0.000374,0.0197,-3.032,0.0809,150.134,1,1,157600,0.605,4,"2bPtwnrpFNEe8N7Q85kLHw","funk pop","funk rj","pagode baiano","pop","pop nacional",NA
"DON'T THEY (REMIX) [feat. Normani]","Josh Levi","DON'T THEY (REMIX) [feat. Normani]","2022-06-06",197973,47,0.105,0.604,0.621,0,0.295,-4.824,0.0434,120.002,4,0,197973,0.225,4,"3u8becTPmigEyasAqCaO2Q","dark r&b",NA,NA,NA,NA,NA
"At My Best (feat. Hailee Steinfeld)","Machine Gun Kelly","bloom","2017-05-12",199973,60,0.00273,0.524,0.772,0.000169,0.224,-6.696,0.152,169.855,7,0,199973,0.237,4,"77lGafvlU68CeHgB2pkHC9","ohio hip hop","pop rap",NA,NA,NA,NA
"LA COMBI VERSACE","ROSALÍA","MOTOMAMI","2022-03-18",161266,71,0.561,0.835,0.495,0.000206,0.103,-5.791,0.522,90.97,8,1,161266,0.426,4,"5gCNf9wMVrYuM2fvfgLTlF","latin viral pop","pop","r&b en espanol",NA,NA,NA
