"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13"
"Foto di gruppo","Bassi Maestro","Foto di gruppo","1998-08-01",210946,51,0.227,0.879,0.468,8.15e-06,0.0986,-5.822,0.284,91.999,2,1,210946,0.537,4,"6fc22mbFV0QVn6gzdvehnK","italian hip hop","italian underground hip hop","rap italiano old school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mi piace lo sport","Le Feste Antonacci","Grandi successi","2018-11-16",401396,27,0.657,0.66,0.427,0.00334,0.0986,-7.821,0.0424,143.452,10,0,401396,0.57,4,"4bT7aov2GdhcGjfAJMunEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Televendite di quadri","Post Nebbia","Canale Paesaggi","2020-10-23",265500,39,0.0658,0.513,0.724,0.0208,0.415,-5.945,0.0323,78.995,10,0,265500,0.707,4,"2sRuOQ3fg1EGzzcuBgohJX","indie veneto","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Please, Please, Please, Let Me Get What I Want - 2011 Remaster","The Smiths","Hatful of Hollow","1984",112706,76,0.534,0.241,0.468,0,0.161,-9.579,0.0272,91.581,2,1,112706,0.451,3,"6BrMEbPSSj55nQhkgf6DnE","madchester","new wave","permanent wave","rock","uk post-punk",NA,NA,NA,NA,NA,NA,NA,NA
"Stormi","Iosonouncane","DIE","2015-03-30",249733,46,0.0287,0.53,0.621,0,0.356,-7.693,0.0525,104.977,7,1,249733,0.114,4,"6SQItrDKcga0XDL5EsLgRW","indie folk italiano","italian alternative","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Appartamento (feat. Frah Quintale)","Venerus","Magica Musica","2021-02-19",208000,51,0.316,0.696,0.751,0,0.0833,-6.516,0.171,89.981,0,0,208000,0.729,4,"3s9ZBjLh7E00qLtqlEPrRi","indie rock italiano","italian hip hop","italian indie pop","italian pop","milan indie","r&b italiano","rome indie",NA,NA,NA,NA,NA,NA
"The Difference","Flume","The Difference","2020-03-11",139662,72,0.255,0.56,0.865,0.000153,0.083,-1.148,0.0909,159.96,1,1,139662,0.424,4,"4nlvKIIetOWGIMyhjQXgOZ","australian dance","australian electropop","australian indie","downtempo","edm","indietronica",NA,NA,NA,NA,NA,NA,NA
"Cooks","Still Woozy","Cooks","2017-07-16",174105,68,0.434,0.45,0.583,0.0126,0.244,-10.49,0.0811,77.066,4,0,174105,0.701,4,"75TDPu9k7Yv3IovdYaNCwk","bedroom pop","oakland indie","pov: indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blatte","Colombre","Pulviscolo","2017-03-17",236333,29,0.688,0.636,0.549,0.00134,0.0933,-6.762,0.0512,71.407,11,0,236333,0.418,4,"5rU8jSdCxh8Yg9GdrTh6Im","italian alternative","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piano Astrale","Ceri Wax","WAXTAPE","2022-08-31",270230,6,0.00415,0.892,0.863,0.379,0.0852,-6.155,0.0707,124.009,1,0,270230,0.45,4,"6sK7Y76PWdGUS6pfFEKhMY","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
