"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13"
"Blue Coloured Mountain","Szymon","Blue Coloured Mountain","2019-11-08",135680,62,0.41,0.811,0.498,0.0142,0.286,-10.282,0.127,131.998,0,1,135680,0.689,4,"1H13QHTCzJrCcOgZT7aatf","folktronica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"take it back (feat. Beck)","JAWNY","take it back (feat. Beck)","2022-06-17",145718,42,0.0516,0.631,0.908,4.36e-06,0.16,-1.556,0.115,129.988,9,1,145718,0.513,4,"3CBYEnqoS93EUKx4XrHYUE","bedroom pop","pov: indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Gold (feat. Tame Impala and Bootie Brown)","Gorillaz","New Gold (feat. Tame Impala and Bootie Brown)","2022-08-31",215149,68,0.0425,0.695,0.923,0.0469,0.116,-3.93,0.0522,108.014,1,0,215149,0.551,3,"64dLd6rVqDLtkXFYrEUHIU","alternative hip hop","modern rock","rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jungle","Fred again..","Jungle","2022-06-29",198805,72,0.00984,0.665,0.727,0.394,0.172,-8.073,0.0391,133.922,1,0,198805,0.397,4,"31B7wLv4yvtjDoTTmbnxeE","edm","house","stutter house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sei acqua (feat. Calibro 35)","Venerus","Magica Musica","2021-02-19",298645,50,0.535,0.537,0.773,0.242,0.0859,-8.593,0.0628,144.018,4,1,298645,0.387,4,"5cab2PPIUblXYqv1tptoK4","indie rock italiano","italian hip hop","italian indie pop","italian pop","milan indie","r&b italiano","rome indie",NA,NA,NA,NA,NA,NA
"mathematics","bbno$","mathematics","2022-04-08",147000,39,0.0575,0.759,0.842,1.54e-05,0.25,-2.842,0.271,169.883,3,0,147000,0.875,4,"0mQfkI8dXCAX9rBCBhzWjX","canadian hip hop","dark trap","meme rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Under The Weather","Mac Miller","Blue Slide Park","2011-11-08",260972,56,0.132,0.715,0.794,0,0.361,-5.426,0.163,119.994,10,1,260972,0.606,4,"7qdaW0GN4jcAhZg3hSozrY","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimera","Tatum Rush","Drinks Alchemici","2020-02-13",182327,29,0.31,0.636,0.775,0,0.222,-7.289,0.493,115.652,2,0,182327,0.528,4,"05qQijNHYmfDV9n10hbkkF","r&b italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Where I Belong","Joey Bada$$","Where I Belong","2022-07-01",188386,43,0.254,0.48,0.902,0,0.357,-4.618,0.411,148.869,1,1,188386,0.701,4,"1PwY8OpvFFt7CmnpnPAw7O","conscious hip hop","hip hop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alghero","Giuni Russo","Voce Che Grida (Priate Edition)","2009-08-17",252630,48,0.122,0.731,0.688,1.8e-05,0.143,-6.267,0.0319,132.067,7,1,252630,0.849,4,"6AwhIO5zZQzBCq6C8uVodW","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Straniero (with BOSS DOMS & SERYO)","Bianca Atzei","Straniero (with BOSS DOMS & SERYO)","2021-07-07",153920,21,0.062,0.501,0.885,0,0.097,-3.322,0.189,202.147,1,1,153920,0.696,4,"6jVvX2MdA4tmrKUvTooT6H","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAROLINA","Fuera","CIRCO MEZZALUNA","2022-05-27",393213,27,0.443,0.566,0.571,0.0772,0.134,-10.133,0.0487,90.527,10,0,393213,0.172,4,"1fmw20yJKifoOu4SmlUJXM","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tidal Wave","Tom Misch","What Kinda Music","2020-04-24",249427,57,0.0458,0.533,0.487,0.833,0.113,-8.79,0.052,141.427,4,0,249427,0.339,3,"4Goj7amQLl2PiPYaiB0VlV","indie soul","jazz pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Is There Someone Else?","The Weeknd","Dawn FM","2022-01-06",199111,87,0.0388,0.702,0.586,7.27e-05,0.156,-7.83,0.0313,134.951,9,0,199111,0.608,4,"0mL82sxCRjrs3br407IdJh","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"God's Plan","Drake","Scorpion","2018-06-29",198973,87,0.0332,0.754,0.449,8.29e-05,0.552,-9.211,0.109,77.169,7,1,198973,0.357,4,"6DCZcSspjsKoFjzjrWoCdn","canadian hip hop","canadian pop","hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA
