"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Curious","Hayley Kiyoko","Expectations","2018-03-30",183280,54,0.0753,0.788,0.703,6.13e-05,0.333,-5.986,0.127,104.049,1,0,183280,0.442,4,"5btaVjrLBxTvXNmCv5DrW2","alt z","indie poptimism","pop",NA,NA,NA
"Cruel Summer","Taylor Swift","Lover","2019-08-23",178426,100,0.117,0.552,0.702,2.06e-05,0.105,-5.707,0.157,169.994,9,1,178426,0.564,4,"1BxfuPKGuaTgP7aM0Bbdwr","pop",NA,NA,NA,NA,NA
"Take A Slice","Glass Animals","How To Be A Human Being","2016-08-26",229717,69,0.0212,0.623,0.661,0.000229,0.267,-7,0.1,151.97,9,1,229717,0.63,4,"37adYGaYaAWTGhBaOzX4Fh","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA
"Walls Could Talk","Halsey","hopeless fountain kingdom (Deluxe)","2017-06-02",101789,78,0.128,0.626,0.423,0,0.18,-6.035,0.0513,95.162,1,1,101789,0.571,4,"5ln5yQdUywVbf8HhFsOcd6","electropop","etherpop","indie poptimism","pop",NA,NA
"Woman","Doja Cat","Planet Her","2021-06-25",172626,87,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,5,0,172626,0.881,4,"6Uj1ctrBOjOas8xZXGqKk4","dance pop","pop",NA,NA,NA,NA
"I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)","Taylor Swift","Red (Taylor's Version)","2021-11-12",285106,77,0.167,0.391,0.715,0,0.183,-4.516,0.0495,149.654,0,1,285106,0.473,3,"4CkgMiMqZ5JzW9iYXSTMTL","pop",NA,NA,NA,NA,NA
"The Other Side Of Paradise","Glass Animals","How To Be A Human Being","2016-08-26",320654,72,0.349,0.689,0.338,5.7e-05,0.0649,-7.634,0.0629,128.012,11,0,320654,0.568,4,"0rRjGruFonCGOt0S5zAJNQ","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA
"LA FAMA","ROSALÍA","MOTOMAMI","2022-03-18",188106,79,0.947,0.766,0.295,4.44e-05,0.119,-7.893,0.0464,136.016,0,0,188106,0.805,4,"6Y46tOTRhkBamosyuWa6YX","latin viral pop","pop","r&b en espanol",NA,NA,NA
"Title","Meghan Trainor","Title (Deluxe)","2015-01-09",174733,69,0.343,0.779,0.754,2.6e-06,0.0965,-4.358,0.0966,89.998,5,1,174733,0.883,4,"0k5hoseEJnCAbpRh38dNoI","hip pop","pop",NA,NA,NA,NA
"Delicate","Taylor Swift","reputation","2017-11-10",232253,88,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,9,0,232253,0.0499,4,"6NFyWDv5CjfwuzoCkw47Xf","pop",NA,NA,NA,NA,NA
"Youth","Glass Animals","How To Be A Human Being","2016-08-26",230693,71,0.129,0.648,0.718,0.00156,0.112,-7.765,0.0298,96.017,9,0,230693,0.785,4,"1LPGwuFgIzbJoShfDdw7MY","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA
"New Rules","Dua Lipa","Dua Lipa (Deluxe)","2017-06-02",209320,83,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,9,0,209320,0.608,4,"2ekn2ttSfGqwhhate0LSR0","dance pop","pop","uk pop",NA,NA,NA
