"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"Tramonto Occidentale - 2008 Remaster","Franco Battiato","Orizzonti Perduti (2008 Remastered Edition)","1983",195253,27,0.0444,0.656,0.68,1.34e-06,0.325,-7.433,0.0409,98.018,3,0,195253,0.54,4,"7Ga6i3SEXNbID1IfbaTnQ6","classic italian pop","experimental","italian adult pop",NA,NA,NA,NA
"Due mondi - Ripresa","Lucio Battisti","Anima latina","1974",69666,35,0.812,0.379,0.105,0,0.0873,-19.83,0.0815,83.803,5,1,69666,0.29,4,"1y9rUdJLxGsiFNHX7itygS","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA
"Amanda Lear","Baustelle","L'amore e la violenza","2017-01-13",264360,41,0.00894,0.526,0.909,0.00302,0.106,-3.328,0.0347,129.967,3,1,264360,0.32,4,"2ipc1OACP7BEltKn0g3t7C","italian adult pop","italian alternative",NA,NA,NA,NA,NA
"Questo nostro grande amore","I Cani","Aurora","2016-01-29",190040,44,0.648,0.37,0.488,0,0.257,-7.316,0.0393,78.853,4,1,190040,0.19,4,"3USTT2XAeWrO2ytAqsc1pe","italian alternative","italian indie pop","rome indie",NA,NA,NA,NA
"Up Patriots To Arms - Remastered 2008","Franco Battiato","Patriots (2008 Remastered Edition)","1980",305266,39,0.107,0.651,0.712,2.66e-05,0.0965,-6.835,0.0386,117.905,4,1,305266,0.714,4,"4K3cElW740S6w5wbjBjRbt","classic italian pop","experimental","italian adult pop",NA,NA,NA,NA
"Foresteria","Gomma","Vacanza","2017-11-06",187682,29,9.87e-05,0.269,0.833,4.6e-06,0.324,-4.706,0.0477,101.301,9,1,187682,0.577,4,"2oEqq1p0nQoQH5LdL7633V","italian alternative","italian emo","italian indie pop",NA,NA,NA,NA
"Rire","Nu Genea","Bar Mediterraneo","2022-05-13",263000,39,0.072,0.458,0.878,0.321,0.175,-5.643,0.0457,112.45,10,0,263000,0.981,5,"6aBOPEuZFUUlISWI8A8657","indie napoletano","neapolitan funk",NA,NA,NA,NA,NA
"Stormi","Iosonouncane","DIE","2015-03-30",249733,46,0.0287,0.53,0.621,0,0.356,-7.693,0.0525,104.977,7,1,249733,0.114,4,"6SQItrDKcga0XDL5EsLgRW","indie folk italiano","italian alternative","italian indie pop",NA,NA,NA,NA
"Le Aquile - Remastered 2008","Franco Battiato","Patriots (2008 Remastered Edition)","1980",250653,23,0.161,0.614,0.626,0.00391,0.0678,-8.08,0.0297,123.198,2,1,250653,0.532,4,"5RvojOmq8Yrvg2FNKbRmlN","classic italian pop","experimental","italian adult pop",NA,NA,NA,NA
"Cosa Faremo Da Grandi?","Lucio Corsi","Cosa Faremo Da Grandi?","2020-01-17",180997,36,0.423,0.457,0.619,0,0.215,-7.08,0.045,169.754,2,1,180997,0.63,4,"1fi6WJYdiFQ7gEtAtJ8NH6","italian alternative","italian indie pop",NA,NA,NA,NA,NA
"Je Vulesse","Nu Genea","Nuova Napoli","2018-05-01",288280,48,0.269,0.756,0.829,0.0352,0.383,-6.088,0.0491,117.626,11,0,288280,0.88,4,"7FPtdpiBHIFyiUoFTEDfRd","indie napoletano","neapolitan funk",NA,NA,NA,NA,NA
"Hai messo in cinta una scema","Giovanni Truppi","Giovanni Truppi","2015-01-23",196600,30,0.907,0.566,0.125,0,0.0895,-15.806,0.101,148.774,1,1,196600,0.332,4,"0gMBRdHcQ0jVBQE0vRqMnE","italian alternative","italian indie pop",NA,NA,NA,NA,NA
"Anonimo","Lucio Battisti","Anima latina","1974",424360,29,0.67,0.37,0.345,0.0648,0.537,-16.26,0.0557,149.952,2,1,424360,0.105,3,"4DbQMoS5g46pMcmNj9u8k6","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA
"Lover / / Over the Moon","Alice Phoebe Lou","Glow","2021-03-19",207048,54,0.893,0.524,0.151,0,0.184,-9.548,0.0511,77,4,1,207048,0.301,4,"5hGzYOXKT3YxJu2qcDTc44","south african alternative",NA,NA,NA,NA,NA,NA
"CALMI","GIALLORENZO","SUPER SOFT RESET","2022-04-08",137853,15,0.265,0.388,0.673,0.125,0.173,-9.999,0.0555,186.67,0,1,137853,0.32,4,"11e830eTMrExk20UCGtLr2","italian indie pop",NA,NA,NA,NA,NA,NA
"Zone Depresse - 2008 Remaster","Franco Battiato","Orizzonti Perduti (2008 Remastered Edition)","1983",213159,21,0.318,0.625,0.431,0.000447,0.0554,-9.59,0.0557,112.547,10,1,213159,0.771,4,"3pt0Gu0WephGk9I5xUk6Oi","classic italian pop","experimental","italian adult pop",NA,NA,NA,NA
"Cicciona","Marco Castello","Contenta tu","2021-02-05",205630,30,0.135,0.674,0.745,5.24e-05,0.126,-7.503,0.0473,153.818,9,1,205630,0.885,4,"1ekAzqy7Jq50oliWGsfQl3",NA,NA,NA,NA,NA,NA,NA
