"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13"
"CASTELLI DI LENZUOLA","ARIETE","SPECCHIO","2022-02-24",184253,53,0.589,0.602,0.556,0,0.185,-5.967,0.0337,99.977,0,1,184253,0.186,4,"6hLEPly11XS3mFlG9AyO4T","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sulla Giostra","Fabri Fibra","Caos","2022-03-18",205026,41,0.019,0.629,0.576,0,0.104,-7.735,0.156,79.112,5,0,205026,0.765,4,"01l8BJl6CoFQaR3RFliOD9","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Di nascosto","Albert","Di nascosto","2022-05-06",165537,17,0.567,0.869,0.689,1.41e-06,0.0633,-5.19,0.125,115.945,6,1,165537,0.931,4,"3KlHmSAsL45GRkuJ2UmVWG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chega","Gaia","Nuova Genesi","2020-05-22",184706,52,0.583,0.838,0.563,2.58e-06,0.134,-6.415,0.114,140.037,9,0,184706,0.764,4,"76w5oLSdgYvA0Bt4dTUe0Z","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abcdefu","GAYLE","abcdefu","2021-08-13",168601,82,0.299,0.695,0.54,0,0.367,-5.692,0.0493,121.932,4,1,168601,0.415,4,"4fouWK6XVHhzl78KzQ1UjL","modern alternative pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pronti Al Peggio","Fabri Fibra","Caos","2022-03-18",204973,43,0.0501,0.652,0.815,0,0.368,-6.345,0.0439,140.056,9,0,204973,0.447,4,"1OCDA2RhtGn6HRvpqq7FgV","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dove sei","Neffa","Molto calmo","2013-06-18",239946,55,0.142,0.41,0.787,0,0.181,-6.573,0.0425,84.836,5,0,239946,0.627,4,"694LrzNH8SUIpNumvdOyAW","italian adult pop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senza Una Direzione","Cranio Randagio","COME IL RE LEONE","2018-10-30",223893,36,0.0606,0.681,0.788,0,0.0917,-7.181,0.22,99.889,6,0,223893,0.594,4,"7i2QnxezaiCtoDoZBkbPSV","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramenez la coupe à la maison","Vegedream","Ramenez la coupe à la maison","2018-07-19",235555,71,0.0358,0.808,0.661,0,0.138,-6.237,0.0395,107.992,0,0,235555,0.804,4,"45eY7Qi2PDUs8WJEhjGWdN","french hip hop","pop urbaine","r&b francais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mamma Non Mi Parla","NASKA","REBEL (Deluxe)","2022-09-23",169764,38,0.000519,0.42,0.947,0,0.0905,-3.277,0.172,84.72,11,1,169764,0.334,4,"6oeVsiBAeioivlD0i1T3au","emo rap italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caffè","Bresh","ORO BLU","2022-03-04",189025,56,0.0291,0.644,0.755,0,0.0809,-6.768,0.0422,94.529,8,1,189025,0.58,4,"2WoqekZTPdDdiJ1RgSldUT","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Domani smetto","Articolo 31","Domani smetto","2002-03-22",157640,57,0.296,0.655,0.956,0,0.445,-2.632,0.142,97.991,0,1,157640,0.946,4,"138buFk4Rh1sVSs5iysbYz","italian adult pop","italian underground hip hop","rap italiano old school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rituali","Angelina Mango","Rituali","2022-10-14",174886,49,0.0716,0.656,0.719,1.79e-05,0.219,-7.458,0.0838,175.973,1,1,174886,0.665,4,"12fveSAiznR97Gemr3MsGW","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUTTE LE SERE (feat. ARIETE)","bnkr44","FARSI MALE A NOI VA BENE","2021-11-25",185053,44,0.312,0.535,0.659,0,0.12,-6.013,0.0442,159.849,0,0,185053,0.55,4,"4sJ4ZAKEuMe2qtvOtN7UcB","hyperpop italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Margherita","Dígame","Margherita","2020-03-20",171126,32,0.537,0.854,0.544,0,0.0877,-7.916,0.0547,92.041,10,1,171126,0.897,4,"0kqkg9z52Oxu1KmfuxHSEf","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Love/Hate Letter To Alcohol (with Fleet Foxes)","Post Malone","Twelve Carat Toothache (Deluxe)","2022-06-07",183816,26,0.045,0.3,0.566,0.004,0.281,-7.044,0.0378,107.99,4,0,183816,0.0394,4,"2qNR3D19mC0nbODSm84DUX","dfw rap","melodic rap","pop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Intro (Cielo)","Fabri Fibra","Caos","2022-03-18",144520,48,0.0768,0.325,0.629,0,0.243,-5.782,0.0822,86.693,2,0,144520,0.171,4,"7luFLdyoCkAyNZm3BEGAAT","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L'ultima notte","ARIETE","L'ultima notte","2021-05-03",157566,65,0.268,0.618,0.687,0,0.126,-5.603,0.0446,94.037,2,1,157566,0.398,4,"63mdY4U0KvnbMkUEc7FHN8","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mezzanotte in Punto (con Franco126, Ketama126 & Bresh)","Night Skinny","Botox","2022-10-04",237656,51,0.441,0.484,0.575,7.98e-06,0.137,-7.326,0.129,83.802,7,1,237656,0.333,4,"2ppZvuaUPZftMUZ5PZQ1Qd","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non lasciarmi cadere","chiello","OCEANO PARADISO","2021-10-14",146223,48,0.86,0.437,0.309,0,0.155,-9.561,0.0405,131.012,2,1,146223,0.309,4,"3j6JJZs12M8UBx8b9GZ9T1","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIMBO (feat. Gemitaiz)","Lazza","J","2020-07-16",159154,53,0.186,0.866,0.653,1.62e-05,0.087,-5.389,0.163,134.039,4,0,159154,0.514,4,"0xs15y7PkGlS49he9RbUZu","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Notti In Bianco","BLANCO","Notti In Bianco","2020-07-23",176400,58,0.355,0.58,0.778,0,0.0769,-4.141,0.0473,150.096,6,1,176400,0.612,4,"38UoVEHcZ85EGBo6k79643","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fake (con Geolier & Luchè)","Night Skinny","Botox","2022-10-04",177504,50,0.102,0.54,0.651,1.01e-06,0.182,-8.327,0.276,79.011,11,0,177504,0.225,4,"1eOMMRfHqMQHqirJ7JNoVb","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
