"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"Strawberry Blond","Mitski","Retired from Sad, New Career in Business","2013-08-01",114277,70,0.839,0.51,0.545,0,0.061,-8.299,0.0928,77.92,0,1,114277,0.941,4,"1EO9dn7V0ufwPHJngZThO5","brooklyn indie","pov: indie",NA,NA,NA,NA,NA,NA,NA
"Verdi: Un ballo in maschera, Act 2: Preludio","Giuseppe Verdi","Verdi: Un ballo in maschera (1956 - Votto) - Callas Remastered","1957",145400,2,0.97,0.196,0.248,0.826,0.127,-14.233,0.0408,82.424,2,1,145400,0.19,4,"4idQ75sWd3SyaLVEWZMX9a","classical","italian opera","italian romanticism","late romantic era",NA,NA,NA,NA,NA
"Lavender Haze","Taylor Swift","Midnights (3am Edition)","2022-10-22",202395,72,0.204,0.735,0.444,0.0012,0.17,-10.519,0.0684,97.038,10,1,202395,0.0984,4,"4g2c7NoTWAOSYDy44l9nub","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Granada","Simon Dinnigan","Favourite Guitar Works","1998-07-16",315693,25,0.994,0.378,0.0159,0.875,0.0764,-31.211,0.0402,99.913,4,1,315693,0.0399,4,"4rNbUpAsK5IxhoJS1yAW4k","classical guitar",NA,NA,NA,NA,NA,NA,NA,NA
"Rimmel","Francesco De Gregori","Rimmel","1975-11-27",220640,59,0.62,0.5,0.405,7.81e-06,0.106,-14.525,0.0544,83.457,1,1,220640,0.416,4,"515XcapFOMtOOiGU31UqNp","canzone d'autore","classic italian pop","folk rock italiano","italian adult pop",NA,NA,NA,NA,NA
"Puccini: La bohème, Act 2: ""Quando me'n vo soletta"" (Musetta/Marcellop/Alcindoro/Mimì/Rodolfo/Schaunard/Colline)","Giacomo Puccini","La Bohème - Puccini","1958",280226,30,0.978,0.334,0.179,0.000331,0.182,-16.247,0.0536,131.942,9,1,280226,0.164,5,"3udHAti4qpoKGnMymuNZZd","classical","italian opera","italian romanticism","post-romantic era",NA,NA,NA,NA,NA
"Forever Winter (Taylor's Version) (From The Vault)","Taylor Swift","Red (Taylor's Version)","2021-11-12",263533,70,0.256,0.611,0.552,0,0.134,-5.828,0.031,116.012,7,1,263533,0.41,4,"3oGVx9RBmiYGv5ZCecWLkx","pop",NA,NA,NA,NA,NA,NA,NA,NA
"To the Mountains","Lizzy McAlpine","Give Me A Minute","2020-08-13",193800,67,0.918,0.461,0.147,0.000638,0.0846,-14.022,0.033,78.809,4,1,193800,0.267,1,"4jLxibvYRtzEAiTDvbL9fO","alt z","boston folk","indie pop","singer-songwriter pop",NA,NA,NA,NA,NA
"Un bel di vedremo (Madame Butterfly)","Renata Tebaldi","Lebendige Vergangenheit - Renata Tebaldi","2006-08-14",292533,26,0.982,0.249,0.159,0,0.109,-12.266,0.04,94.218,1,1,292533,0.0659,4,"3asyS9IMGkZb5HrbEnrwpH","classical soprano","italian soprano","opera",NA,NA,NA,NA,NA,NA
"50 Ways to Leave Your Lover","Paul Simon","Still Crazy After All These Years","1975-10-25",217346,73,0.166,0.815,0.372,0.000116,0.0767,-12.814,0.0752,101.684,7,1,217346,0.293,4,"6Qb7gtV6Q4MnUjSbkFcopl","classic rock","folk","folk rock","mellow gold","permanent wave","rock","singer-songwriter","soft rock",NA
"State Of Grace (Taylor's Version)","Taylor Swift","Red (Taylor's Version)","2021-11-12",295413,73,0.000328,0.594,0.713,0,0.114,-5.314,0.0503,129.958,9,1,295413,0.328,4,"6lzc0Al0zfZOIFsFvBS1ki","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Il Trovatore: D'amor sull' ali rosee (Recorded 1918)","Rosa Ponselle","Ponselle Vol. 2","1993-01-01",240000,2,0.995,0.272,0.1,0.11,0.378,-25.382,0.0484,103.952,7,1,240000,0.137,4,"21RYR6aIMdzCDtNfSrf3eC","vintage classical singing",NA,NA,NA,NA,NA,NA,NA,NA
"Brividi","Mahmood","Brividi","2022-02-02",199146,65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,7,1,199146,0.342,4,"1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"Ciao","Cesare Cremonini","2C2C","2019-12-06",248386,32,0.0244,0.731,0.317,1.79e-05,0.117,-10.634,0.0389,116.067,5,1,248386,0.161,4,"16Ih950AFbu0VcQY2aMaQg","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"London Boy","Taylor Swift","Lover","2019-08-23",190240,81,0.0246,0.695,0.71,0.000104,0.133,-6.639,0.05,157.925,1,1,190240,0.557,4,"1LLXZFeAHK9R4xUramtUKw","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Landslide","Fleetwood Mac","Fleetwood Mac","1975-07-11",199493,81,0.883,0.414,0.161,0.000223,0.117,-22.32,0.0318,159.375,7,0,199493,0.423,4,"5ihS6UUlyQAfmp48eSkxuQ","album rock","classic rock","rock","soft rock","yacht rock",NA,NA,NA,NA
"Carmen, WD 31 / Act I: ""L'amour est un oiseau rebelle"" (Havanaise)","Elina Garanca","Habanera","2010-01-01",282986,29,0.99,0.391,0.0508,5.25e-06,0.0833,-22.528,0.0551,117.088,7,1,282986,0.178,4,"2Z6cboXjX5doFEjwvMzML2","classical mezzo-soprano","opera",NA,NA,NA,NA,NA,NA,NA
"MoonWalk","Cesare Cremonini","La Ragazza Del Futuro","2022-02-24",285626,39,0.135,0.513,0.437,0,0.127,-7.685,0.0288,134.998,9,1,285626,0.521,3,"6ZG2FNiJ6e4KRMbIFx83qT","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"You're On Your Own, Kid","Taylor Swift","Midnights","2022-10-21",194206,85,0.401,0.696,0.396,5.2e-06,0.125,-10.289,0.0656,120.041,2,1,194206,0.38,4,"4D7BCuvgdJlYvlX5WlN54t","pop",NA,NA,NA,NA,NA,NA,NA,NA
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in G Minor. Allegro (Orch. Schmeling)","Johannes Brahms","Brahms: 21 Hungarian Dances","1984-01-01",138706,62,0.899,0.358,0.167,0.96,0.103,-16,0.0354,144.561,7,0,138706,0.601,4,"2oLjhx7w8Hyd3gry9cCXr7","classical","german romanticism","late romantic era",NA,NA,NA,NA,NA,NA
"Ulysses and the Sea","Papooz","Papooz","2015-01-19",120165,65,0.913,0.882,0.161,0,0.128,-9.385,0.0458,106.105,8,0,120165,0.698,4,"1YmPS3jF3RMCTajDYgTD2q","french indie pop","french indietronica",NA,NA,NA,NA,NA,NA,NA
"Me and Bobby McGee","Janis Joplin","Pearl (Legacy Edition)","1971-01-11",271333,72,0.303,0.43,0.463,5.84e-05,0.152,-10.96,0.0442,93.405,2,1,271333,0.66,4,"1IqFh00G2kvvMm8pRMpehA","album rock","classic rock","hard rock","psychedelic rock","rock",NA,NA,NA,NA
"Karma","Taylor Swift","Midnights (3am Edition)","2022-10-22",204852,76,0.074,0.649,0.622,0,0.594,-7.054,0.0582,90.024,8,1,204852,0.106,4,"5oqDgw5VGBln5dSIOPWyBq","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Music For a Sushi Restaurant","Harry Styles","Harry's House","2022-05-20",193813,79,0.258,0.72,0.715,0.0568,0.107,-4.652,0.04,107.041,11,1,193813,0.357,4,"5LYMamLv12UPbemOaTPyeV","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Cavalleria rusticana: ""Voi lo sapete, o mamma""","Elina Garanca","Revive","2016-11-04",218400,34,0.982,0.207,0.181,0.000332,0.167,-17.19,0.0483,167.621,4,0,218400,0.0395,3,"6tEZyaOnTWUby6MvelM4CU","classical mezzo-soprano","opera",NA,NA,NA,NA,NA,NA,NA
""" La Traviata "" : Amami Alfredo (Act II) - Digitally Remastered","Maria Callas","Grandiose Stimmen: Maria Callas","2013-02-15",131933,38,0.993,0.364,0.275,0.0284,0.293,-11.832,0.043,86.096,5,1,131933,0.0394,4,"0wtpkz93wATDkUExJVuXEl","classical","classical soprano","opera",NA,NA,NA,NA,NA,NA
"Getaway Car","Taylor Swift","reputation","2017-11-10",233626,88,0.00465,0.562,0.689,2.23e-06,0.0888,-6.745,0.127,172.054,2,1,233626,0.351,4,"0VE4kBnHJUgtMf0dy6DRmW","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Easy","Commodores","Commodores","1977-01-01",256426,79,0.112,0.589,0.384,2.8e-05,0.0596,-15.075,0.0332,132.909,10,0,256426,0.354,4,"1JQ6Xm1JrvHfvAqhl5pwaA","adult standards","disco","funk","mellow gold","motown","quiet storm","soft rock","soul",NA
"I'll Have To Say I Love You In A Song","Jim Croce","I Got a Name","1973-12-01",154626,69,0.833,0.536,0.446,0.0103,0.106,-14.98,0.029,133.785,9,1,154626,0.707,4,"4t8tx6o7oM6Ax66ZUU361y","classic rock","country rock","folk","folk rock","heartland rock","mellow gold","singer-songwriter","soft rock",NA
"Pastello Bianco","Pinguini Tattici Nucleari","AHIA!","2020-12-04",236417,71,0.451,0.546,0.652,0,0.123,-3.852,0.0339,139.875,0,1,236417,0.378,4,"0bKDQionn4VKcgNKbs4SWX","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA,NA,NA
"Starlight (Taylor's Version)","Taylor Swift","Red (Taylor's Version)","2021-11-12",220413,70,0.00324,0.628,0.685,0,0.18,-5.864,0.0358,126.014,4,1,220413,0.605,4,"7A2cNLRT0YJc1yjxHlKihs","pop",NA,NA,NA,NA,NA,NA,NA,NA
"You Can Call Me Al","Paul Simon","Graceland (25th Anniversary Deluxe Edition)","1986-08-12",280000,77,0.182,0.776,0.763,0.00647,0.077,-8.124,0.0534,128.433,5,1,280000,0.82,4,"0qxYx4F3vm1AOnfux6dDxP","classic rock","folk","folk rock","mellow gold","permanent wave","rock","singer-songwriter","soft rock",NA
"Prelude in B minor, BWV 855a (Arr. by Alexander Siloti)","Johann Sebastian Bach","Prelude in B minor, BWV 855a (Arr. by Alexander Siloti)","2021-11-12",241803,60,0.987,0.182,0.0377,0.957,0.0804,-33.748,0.0391,100.482,11,0,241803,0.0923,4,"18JxYMTSFKZlxqdNFrOs1r","baroque","classical","early music","german baroque",NA,NA,NA,NA,NA
"You've Got a Friend - 2019 Remaster","James Taylor","Mud Slide Slim and the Blue Horizon (2019 Remaster)","1971-04-01",268866,69,0.795,0.689,0.2,0.0327,0.0893,-18.634,0.0309,91.787,9,1,268866,0.478,4,"6zV8IpLvw0tkRSVCFQJB1y","classic rock","folk","folk rock","heartland rock","mellow gold","singer-songwriter","soft rock",NA,NA
"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift","Red (Taylor's Version)","2021-11-12",613026,87,0.274,0.631,0.518,0,0.088,-8.771,0.0303,93.023,0,1,613026,0.205,4,"5enxwA8aAbwZbf5qCHORXi","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Cat's in the Cradle","Harry Chapin","Verities & Balderdash","1974",222951,68,0.234,0.489,0.578,0,0.123,-9.766,0.0418,78.111,10,1,222951,0.511,4,"2obblQ6tcePeOEVJV6nEGD","classic rock","country rock","folk","folk rock","heartland rock","mellow gold","singer-songwriter","soft rock",NA
"Someone Else","Dylan","No Romeo EP","2022-04-08",191053,49,0.00312,0.476,0.859,0,0.0709,-4.096,0.12,173.769,6,1,191053,0.433,4,"4ynh8feOVCjMV6QhCj4mQ6","alt z","uk pop",NA,NA,NA,NA,NA,NA,NA
"I Got a Name - Stereo Version","Jim Croce","I Got a Name","1973-12-01",194493,69,0.81,0.553,0.652,1.71e-05,0.115,-11.625,0.0403,86.988,4,1,194493,0.66,4,"38llcrfX1arUqrEe0DRRzW","classic rock","country rock","folk","folk rock","heartland rock","mellow gold","singer-songwriter","soft rock",NA
"the lakes - bonus track","Taylor Swift","folklore (deluxe version)","2020-08-18",211813,74,0.842,0.313,0.258,1.3e-06,0.0948,-11.532,0.0383,179.947,2,1,211813,0.268,4,"0eFQWVz0qIxDOvhLpZ40P7","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Summer Breeze","Seals and Crofts","Summer Breeze","1972",205480,71,0.553,0.49,0.581,0.0177,0.0764,-6.566,0.0388,88.718,5,1,205480,0.318,4,"3B0ms7Xlxl16tRztKHpcu9","album rock","classic rock","folk rock","mellow gold","singer-songwriter","soft rock","yacht rock",NA,NA
"Sister Golden Hair","America","Hearts","1975",199573,74,0.13,0.441,0.547,0.000143,0.109,-12.222,0.0337,134.753,4,1,199573,0.716,4,"5VSAonaAPhhGn0G7hMYwWK","album rock","classic rock","folk rock","heartland rock","mellow gold","soft rock",NA,NA,NA
"Rocky Mountain High","John Denver","Rocky Mountain High","1972-09-15",283640,70,0.314,0.455,0.437,0,0.501,-11.411,0.0278,81.396,4,1,283640,0.724,4,"1ne9wOtDF2jM6Cm8WBkaER","classic country pop","folk","folk rock","mellow gold","singer-songwriter","soft rock",NA,NA,NA
"I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)","Taylor Swift","Red (Taylor's Version)","2021-11-12",285106,77,0.167,0.391,0.715,0,0.183,-4.516,0.0495,149.654,0,1,285106,0.473,3,"4CkgMiMqZ5JzW9iYXSTMTL","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Sylvie","Lucio Dalla","12000 lune","2006-10-06",195786,17,0.412,0.242,0.749,0,0.147,-5.966,0.146,169.611,9,0,195786,0.493,4,"7dbBEYOhi91qDhMJ960nmd","canzone d'autore","classic italian pop","italian adult pop","italian pop",NA,NA,NA,NA,NA
"Hotel California - Live On MTV, 1994","Eagles","Hell Freezes Over (Remaster 2018)","1994-11-08",432040,66,0.368,0.55,0.49,9.96e-05,0.917,-10.732,0.0572,74.656,2,1,432040,0.609,4,"2GpBrAoCwt48fxjgjlzMd4","album rock","classic rock","heartland rock","mellow gold","rock","soft rock","yacht rock",NA,NA
"Mrs. Robinson - From ""The Graduate"" Soundtrack","Simon & Garfunkel","Bookends","1968-04-03",244026,78,0.713,0.606,0.457,2.53e-05,0.0747,-14.035,0.0497,92.033,6,0,244026,0.813,4,"0iOZM63lendWRTTeKhZBSC","classic rock","folk","folk rock","melancholia","mellow gold","rock","soft rock",NA,NA
"Sad Beautiful Tragic (Taylor's Version)","Taylor Swift","Red (Taylor's Version)","2021-11-12",284773,73,0.622,0.601,0.406,9.19e-05,0.133,-11.827,0.0275,130.059,7,1,284773,0.232,3,"73qMN9bXy7MSPwwGfH3wQr","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Giulia","Pinguini Tattici Nucleari","AHIA!","2020-12-04",186823,62,0.536,0.682,0.644,0,0.143,-4.84,0.0258,108.019,7,1,186823,0.609,4,"2tBJjWPeVthyObVtca2ZeY","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA,NA,NA
"Lucrezia Borgia / Act II: ""Il segreto per esser felici""","Elina Garanca","Bel Canto","2009-01-01",165120,7,0.974,0.481,0.141,0.000709,0.0626,-20.167,0.0574,111.392,0,1,165120,0.287,4,"7eaDPaevKEcxFv4kT4gNVh","classical mezzo-soprano","opera",NA,NA,NA,NA,NA,NA,NA
"La bohème, SC 67 / Act 2: ""Quando m'en vo'"" (Musetta's Waltz)","Giacomo Puccini","Puccini: La Bohème","1973-01-01",321506,35,0.964,0.328,0.317,0.085,0.44,-14.729,0.0654,71.1,9,1,321506,0.0862,1,"50rLDfcJA7ngUFhfRGhau8","classical","italian opera","italian romanticism","post-romantic era",NA,NA,NA,NA,NA
"The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)","Taylor Swift","Red (Taylor's Version)","2021-11-12",299080,74,0.0399,0.502,0.534,0,0.0977,-5.954,0.0278,94.05,2,1,299080,0.155,4,"0y6kdSRCVQhSsHSpWvTUm7","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Late Night Talking","Harry Styles","Harry's House","2022-05-20",177954,86,0.298,0.714,0.728,0,0.106,-4.595,0.0468,114.996,10,1,177954,0.901,4,"1qEmFfgcLObUfQm0j1W2CK","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Ringo Starr","Pinguini Tattici Nucleari","Fuori dall'Hype Ringo Starr","2020-02-07",183333,65,0.304,0.754,0.925,0,0.313,-2.912,0.0512,114.077,4,0,183333,0.857,4,"5yfE6GXTuJaAlepKoE0wJE","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA,NA,NA
"Il Comico (Sai Che Risate)","Cesare Cremonini","La Teoria Dei Colori","2012-01-01",257866,55,0.353,0.499,0.906,0,0.151,-5.831,0.0616,112.033,0,1,257866,0.277,4,"6hyruZsp4aAmCNHoumdoHS","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"Anti-Hero","Taylor Swift","Midnights","2022-10-21",200690,93,0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,4,1,200690,0.533,4,"0V3wPSX9ygBnCm8psDIegu","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Watermelon Sugar","Harry Styles","Fine Line","2019-12-13",174000,89,0.122,0.548,0.816,0,0.335,-4.209,0.0465,95.39,0,1,174000,0.557,4,"6UelLqGlWMcVH1E5c4H7lY","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Tosca / Act 3: ""E lucevan le stelle""","Giacomo Puccini","Puccini: Tosca","1976",264400,27,0.976,0.156,0.114,0.0446,0.134,-15.955,0.0424,79.41,11,0,264400,0.0378,3,"4tYEeCxtXJUDcUxSajoiY3","classical","italian opera","italian romanticism","post-romantic era",NA,NA,NA,NA,NA
"La Ragazza Del Futuro","Cesare Cremonini","La Ragazza Del Futuro","2022-01-18",289146,44,0.141,0.667,0.691,6.35e-06,0.056,-7.441,0.0337,117.984,5,1,289146,0.611,4,"0FtrvYyXf77Rs6MOYl5McD","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"Cruel Summer","Taylor Swift","Lover","2019-08-23",178426,100,0.117,0.552,0.702,2.06e-05,0.105,-5.707,0.157,169.994,9,1,178426,0.564,4,"1BxfuPKGuaTgP7aM0Bbdwr","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Coup de tête","Bon Entendeur","Aller-retour","2019-12-13",233480,49,0.087,0.608,0.664,0.427,0.0474,-8.786,0.0357,107.001,5,1,233480,0.123,4,"70BytYu52Hnt0w8GfcOR7b","french indie pop","new french touch",NA,NA,NA,NA,NA,NA,NA
"Ya'aburnee","Halsey","Love And Power EP: Love","2021-12-21",188413,26,0.742,0.717,0.184,1.01e-05,0.0968,-13.578,0.0417,131.938,7,1,188413,0.21,4,"4epMVOgyeKzJm3UScEOOlo","electropop","etherpop","indie poptimism","pop",NA,NA,NA,NA,NA
"Fire and Rain - 2019 Remaster","James Taylor","Sweet Baby James (2019 Remaster)","1970-02-01",203613,74,0.766,0.597,0.271,0.0119,0.0933,-17.293,0.0394,76.271,5,1,203613,0.338,4,"1oht5GevPN9t1T3kG1m1GO","classic rock","folk","folk rock","heartland rock","mellow gold","singer-songwriter","soft rock",NA,NA
"champagne problems","Taylor Swift","evermore","2020-12-11",244000,83,0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,0,1,244000,0.32,4,"0sY6ZUTh4yoctD8VIXz339","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Everything I Own","Bread","Baby I'm-a Want You","1972",187000,73,0.735,0.365,0.338,0,0.104,-13.406,0.0322,79.241,2,1,187000,0.446,4,"52VIdyKqp1pJRSyUQaxKUA","folk rock","mellow gold","singer-songwriter","soft rock",NA,NA,NA,NA,NA
"L'amour, l'amour, l'amour","Bon Entendeur","Aller-retour","2019-12-13",187360,60,0.532,0.581,0.623,0.0116,0.0919,-7.767,0.0887,98.052,2,0,187360,0.382,4,"6OGpURRDL26WAeouxgnfX9","french indie pop","new french touch",NA,NA,NA,NA,NA,NA,NA
"12 Études, Op. 10: No. 12 in C Minor","Frédéric Chopin","Chopin: Études","2013-01-01",166000,27,0.984,0.315,0.184,0.839,0.141,-18.419,0.033,67.03,1,1,166000,0.151,4,"0jqaIOXeq0YiJEVJLWFCLk","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA
"Better Man (Taylor's Version) (From The Vault)","Taylor Swift","Red (Taylor's Version)","2021-11-12",297013,74,0.214,0.473,0.579,0,0.0877,-5.824,0.0384,73.942,4,1,297013,0.255,4,"4OmFmE0fzcMG6g0Y8p4eSD","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Sunfair Sundown","Courtney Barnett","Things Take Time, Take Time","2021-11-12",165312,31,0.0284,0.663,0.725,0.0758,0.169,-7.569,0.0276,99.215,7,1,165312,0.896,4,"3UGtkPoHVrWoEutAPkEuko","art pop","australian indie","chamber pop","indie pop","indie rock","melbourne indie","noise pop","seattle indie","singer-songwriter"
"El Barberillo de Lavapiés: Canción de Paloma","Elina Garanca","Habanera","2010-01-01",181733,12,0.968,0.551,0.18,0.0125,0.0718,-20.744,0.0631,141.819,9,1,181733,0.561,3,"2Pdq8j9fJuk8hdrdfjfhY5","classical mezzo-soprano","opera",NA,NA,NA,NA,NA,NA,NA
"Sweet Baby James - 2019 Remaster","James Taylor","Sweet Baby James (2019 Remaster)","1970-02-01",173733,61,0.882,0.539,0.114,0.00902,0.106,-20.575,0.0346,141.378,2,1,173733,0.608,3,"17PXXzOygMyXXUNLngVN5u","classic rock","folk","folk rock","heartland rock","mellow gold","singer-songwriter","soft rock",NA,NA
"I Almost Do (Taylor's Version)","Taylor Swift","Red (Taylor's Version)","2021-11-12",244586,72,0.0167,0.511,0.559,0,0.113,-6.587,0.0264,145.88,4,1,244586,0.248,4,"2r9CbjYgFhtAmcFv1cSquB","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Bye, Bye Baby","Big Brother & The Holding Company","Big Brother & The Holding Company","1967",157200,44,0.182,0.672,0.336,0.126,0.0974,-13.737,0.0366,105.753,0,1,157200,0.639,1,"7E6RJ05OosW2yd7mv3EwpN","blues","blues rock","folk rock","psychedelic rock",NA,NA,NA,NA,NA
"Time in a Bottle","Jim Croce","You Don't Mess Around With Jim","1972-04-01",146175,78,0.848,0.544,0.265,0,0.196,-11.952,0.035,133.837,2,1,146175,0.7,3,"561F1zqRwGPCTMRsLsXVtL","classic rock","country rock","folk","folk rock","heartland rock","mellow gold","singer-songwriter","soft rock",NA
"Il barbiere di Siviglia / Act 1: Questa bestia di soldato","Gioachino Rossini","Rossini: Il Barbiere di Siviglia","1989-01-01",76160,5,0.957,0.558,0.391,1.27e-06,0.0768,-18.29,0.338,108.367,0,1,76160,0.189,5,"1hhoTeF0pLo5UF4sNZFzd3","classical","italian opera","italian romanticism",NA,NA,NA,NA,NA,NA
"The Very First Night (Taylor's Version) (From The Vault)","Taylor Swift","Red (Taylor's Version)","2021-11-12",200280,77,0.00115,0.678,0.733,0,0.104,-5.025,0.0281,121.009,7,1,200280,0.581,4,"6pYNq0ZwpPVazKzsqpf0G8","pop",NA,NA,NA,NA,NA,NA,NA,NA
