"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Tieni duro! - 2022 Remastered","Mondo Marcio","Mondo Marcio (2022 Remastered)","2004-05-01",42,0.0691,0.704,0.746,7.17e-06,0.388,-3.586,0.218,92.066,11,1,235733,0.534,3,"1Uw9UJ25oqXVbld6BbmIsk","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"Vengo Anch'Io No Tu No","Enzo Jannacci","No, Tu No","1997-09-29",41,0.49,0.698,0.51,0,0.111,-11.93,0.0825,109.535,4,0,183266,0.927,4,"7DUs0muJGnpQ4g8N4xC35S","canzone d'autore","classic italian pop","folk rock italiano","italian adult pop","musica lombarda",NA,NA,NA,NA,NA
"Comfortably Numb - 2011 Remastered Version","Pink Floyd","The Wall (Remastered)","1979-11-30",70,0.153,0.479,0.309,0.22,0.134,-14.751,0.0299,127.155,11,0,379213,0.182,4,"7Fg4jpwpkdkGCvq1rrXnvx","album rock","art rock","classic rock","progressive rock","psychedelic rock","rock","symphonic rock",NA,NA,NA
"Un matto - Dietro Ogni Scemo C'è Un Villaggio","Fabrizio De André","Non Al Denaro, Non All'Amore, Ne Al Cielo","1971-10-17",47,0.62,0.513,0.468,1.63e-05,0.13,-13.042,0.0976,117.067,11,1,155880,0.884,4,"6MCNOQr2m6Efzkj7S1Qrnh","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA,NA
"Take Five","The Dave Brubeck Quartet","Time Out","1959-12-14",70,0.539,0.454,0.26,0.00078,0.0675,-13.193,0.0401,174.322,8,0,324133,0.598,5,"1YQWosTIljIvxAgHWTp7KP","bebop","jazz","jazz quartet",NA,NA,NA,NA,NA,NA,NA
"This Is The Life","Amy Macdonald","This Is The Life (eDeluxe)","2007-01-01",81,0.259,0.628,0.882,0,0.065,-5.024,0.0323,95.083,1,0,184413,0.853,4,"2T3jgoAMbBXiMMD8pSc6QL","scottish singer-songwriter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minnie the Moocher (From ""The Blues Brothers"")","London Theatre Orchestra & Cast","Shows: West End","2015-04-01",34,0.0728,0.593,0.559,0,0.376,-6.336,0.0647,104.178,4,0,190960,0.659,4,"7tvelxS6JoQwjuz244yJiU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Morte","Fabrizio De André","Volume 1","1967",31,0.861,0.587,0.129,7.32e-05,0.485,-18.138,0.335,81.47,1,0,142146,0.639,4,"38qc1rExP2T0ySIEvmCWpz","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA,NA
"Riders In The Sky","Lawrence Welk","The Lawrence Welk Collection: Lawrence Welk & His Champagne Music 1938-62","2019-03-08",44,0.177,0.429,0.761,0.768,0.746,-10.341,0.0486,141.988,10,1,114520,0.697,4,"3bFBK6fbAERXYDtdBKCQOn","easy listening","polka",NA,NA,NA,NA,NA,NA,NA,NA
"L'altro mondo","Mondo Marcio","Cose dell'altro Mondo Marcio (Special Edition)","2013-06-25",19,0.258,0.667,0.575,0.000891,0.112,-8.023,0.291,189.979,6,1,245200,0.477,4,"5SOcCqU9SnBYcgu4XUofKm","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"Bodega","Noyz Narcos","Non Dormire","2005-01-01",37,0.00552,0.684,0.784,0,0.137,-5.434,0.364,94.87,2,1,221300,0.746,4,"3DbmgQpNuK61GkSjZNB4f3","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA
