"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"Clap Back","Ja Rule","Blood In My Eye","2003-01-01",63,0.0415,0.632,0.786,1.2e-05,0.0527,-5.596,0.354,94.499,9,1,296466,0.699,4,"1FK0sZfZzCAIDUn7htCemp","dance pop","east coast hip hop","gangster rap","hip hop","hip pop","pop rap","queens hip hop","rap","urban contemporary"
"Memories (feat. Kid Cudi)","David Guetta","One More Love","2010-11-22",79,0.00144,0.546,0.916,4.34e-06,0.251,-3.932,0.255,129.983,8,1,210853,0.375,4,"5xYC48nOppVemY6U5GRGTb","big room","dance pop","edm","pop","pop dance",NA,NA,NA,NA
"Do We Have A Problem?","Nicki Minaj","Do We Have A Problem?","2022-02-04",61,0.472,0.842,0.505,0.000322,0.117,-8.627,0.402,119.993,1,0,207065,0.538,4,"1PNs0uGru3TcrA94kpyGnc","hip pop","pop","queens hip hop","rap",NA,NA,NA,NA,NA
"Find a Way","A Tribe Called Quest","The Love Movement","1998-09-29",67,0.0352,0.773,0.581,0,0.485,-8.466,0.432,94.093,8,1,203066,0.711,4,"2MAaiV0bbeq4FpSwPe2rR8","conscious hip hop","east coast hip hop","golden age hip hop","hip hop","jazz rap","queens hip hop",NA,NA,NA
"Freedom (feat. Kendrick Lamar)","Beyoncé","Lemonade","2016-04-23",63,0.0376,0.437,0.803,0,0.683,-6.412,0.305,84.378,2,1,289760,0.406,4,"7aBxcRw77817BrkdPChAGY","pop","r&b",NA,NA,NA,NA,NA,NA,NA
"Say My Name","Destiny's Child","The Writing's On The Wall","1999-07-27",80,0.273,0.713,0.678,0,0.149,-3.525,0.102,138.009,5,0,271333,0.734,4,"7H6ev70Weq6DdpZyyTmUXk","dance pop","girl group","pop","r&b","urban contemporary",NA,NA,NA,NA
"Girls Want Girls (with Lil Baby)","Drake","Certified Lover Boy","2021-09-03",79,0.181,0.767,0.438,0,0.142,-8.726,0.29,86.975,7,0,221979,0.381,4,"37Nqx7iavZpotJSDXZWbJ3","canadian hip hop","canadian pop","hip hop","pop rap","rap",NA,NA,NA,NA
"DUBBI","Marracash","NOI, LORO, GLI ALTRI","2021-11-19",66,0.57,0.727,0.698,0,0.11,-9.676,0.365,92.915,8,1,234446,0.356,4,"4gxRyOZefp95AXZFaztdtO","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA,NA
"Daddy Lessons","Beyoncé","Lemonade","2016-04-23",64,0.273,0.643,0.503,0,0.349,-8.37,0.216,90.886,7,1,287986,0.598,4,"71OvX5NNLrmz7rpq1ANTQn","pop","r&b",NA,NA,NA,NA,NA,NA,NA
"Just A Dream","Nelly","5.0","2010-11-12",77,0.0421,0.531,0.752,0,0.12,-6.161,0.0305,89.917,1,1,237800,0.103,4,"3ZdJffjzJWFimSQyxgGIxN","dance pop","gangster rap","hip hop","pop rap","rap","st louis rap","urban contemporary",NA,NA
