"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Obsesion","Aventura","We Broke The Rules","2002-06-01",79,0.416,0.804,0.56,0,0.0608,-6.912,0.0397,133.682,1,0,254720,0.768,4,"65H6t1WQBim6q93yM8fEwn","bachata","bachata dominicana","latin hip hop","latin pop","tropical","urbano latino"
"LAPROVINCE #2","Rhove","PROVINCIALE","2022-07-21",58,0.323,0.805,0.588,0,0.126,-6.573,0.301,76.203,1,1,116500,0.666,4,"19K6cNyRncbtR4SA78bIHa","italian hip hop","italian pop","trap italiana",NA,NA,NA
"Me Emborracharè - Bachata Version","Grupo Extra","The Movie (La Verdadera Pelicula - Bachata Is Taking Over)","2018-01-19",52,0.133,0.698,0.881,0,0.315,-3.106,0.0688,123.991,11,0,239439,0.83,4,"1UfwgZfophLh5xIuFRwQdX","bachata","bachata dominicana","cubaton",NA,NA,NA
"Ricordi","Pinguini Tattici Nucleari","Ricordi","2022-09-23",61,0.101,0.678,0.656,0,0.227,-5.97,0.0349,135.012,9,1,202560,0.597,4,"6Tj82tvIsDmfMTskuomuEq","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA
"Ferrari","James Hype","Ferrari","2022-04-01",84,0.0127,0.847,0.69,6e-05,0.0526,-7.877,0.0493,125.004,1,0,186661,0.692,4,"4zN21mbAuaD0WqtmaTZZeP","deep groove house","house","pop dance","uk dance",NA,NA
"Ciao Ciao","La rappresentante di lista","Ciao Ciao","2022-02-02",58,0.125,0.747,0.819,2.61e-06,0.331,-4.602,0.134,117.994,4,0,184311,0.637,4,"0jLeyuu6mtsD384054xLah","indie siciliano","italian adult pop","italian alternative","italian indie pop","italian pop",NA
"Extasi","Fred De Palma","Extasi","2022-06-17",67,0.0508,0.859,0.776,1.07e-06,0.0263,-4.028,0.0749,130.008,0,1,157846,0.222,4,"6ojrj2NSj3EkMm05yiuaMG","italian adult pop","italian pop",NA,NA,NA,NA
"INSUPERABILE","Rkomi","TAXI DRIVER","2022-02-24",61,0.0344,0.667,0.848,0,0.183,-5.195,0.0851,122.035,4,0,172461,0.84,4,"3nNxdeQX9iFeuosMcFEeDd","italian hip hop","italian pop",NA,NA,NA,NA
"O Forse Sei Tu","Elisa","Ritorno Al Futuro / Back To The Future","2022-05-05",59,0.469,0.505,0.542,0,0.102,-5.705,0.0334,124.19,2,1,233577,0.137,3,"2MHFnAw5nAjTXnBFO0Y8s9","italian adult pop","italian pop",NA,NA,NA,NA
"Ritmo","Raffa Fl","Ritmo","2021-08-13",67,0.000832,0.777,0.867,0.000655,0.374,-5.16,0.0936,124.005,7,0,183810,0.698,4,"4FHXsehfIbyPCJLP7fCnIF","italian tech house","tech house",NA,NA,NA,NA
"París","Ingratax","París","2021-07-09",69,0.441,0.57,0.455,0.000746,0.0654,-5.748,0.0996,167.933,1,0,151428,0.399,4,"4bF2y8rR7GUjrd5LNEvej3","concurso de talentos argentino","latin viral pop","urbano mexicano",NA,NA,NA
"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Riton","Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit]","2021-01-15",81,0.0076,0.824,0.862,0.000132,0.303,-3.424,0.126,122.98,2,1,169153,0.801,4,"4cG7HUWYHBV6R6tHn1gxrl","house","pop dance","uk dance",NA,NA,NA
"Copacabana","Rhove","PROVINCIALE","2022-07-21",43,0.227,0.805,0.471,0,0.0914,-6.895,0.307,160.116,2,1,169937,0.422,4,"5S7fTiSn3bpJF9UMCp9j97","italian hip hop","italian pop","trap italiana",NA,NA,NA
"Sobredosis (feat. Ozuna)","Romeo Santos","Golden","2017-07-21",77,0.207,0.759,0.639,0,0.23,-8.085,0.0511,128.01,4,0,198332,0.682,4,"1WbXIpiGBJkCiv3hn40iPB","bachata","latin hip hop","latin pop","urbano latino",NA,NA
