"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Please Don't Make Me Cry","Lianne La Havas","Lianne La Havas","2020-07-17",51,0.118,0.611,0.605,0.00012,0.0856,-9.151,0.0858,147.971,6,1,314973,0.45,4,"45RztUROkc4H1pHoCtRR6c","alternative r&b","british soul","indie soul","neo soul","pop soul","soul",NA,NA,NA,NA
"Unknown Song","Milky Chance","Unknown Song","2022-01-21",63,0.0898,0.74,0.503,0.0665,0.118,-11.347,0.0522,118.026,1,1,250521,0.548,4,"2zR85boqjMOKPygjdDbGbC","german pop","modern rock",NA,NA,NA,NA,NA,NA,NA,NA
"Happen To Me","BENEE","Hey u x","2020-11-13",50,0.168,0.661,0.643,0.0034,0.0966,-7.655,0.0319,148.994,0,1,231700,0.36,4,"4Kjo34blxmLG5HNUKEvHRM","alt z","nz pop",NA,NA,NA,NA,NA,NA,NA,NA
"Part of Me","¿Téo?","¿Téo?","2018-09-13",46,0.0358,0.637,0.566,0.465,0.128,-9.041,0.035,95.006,1,1,228999,0.313,4,"0wzK2m89t22oOayHYfV75U","latinx alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Same Damn Luck","Nilüfer Yanya","Feeling Lucky?","2020-12-11",37,0.171,0.867,0.508,0.00022,0.118,-7.737,0.0348,97.988,6,1,206540,0.89,4,"1fe27iHrEI70G4Mwo0DHc6","art pop","uk alternative pop",NA,NA,NA,NA,NA,NA,NA,NA
"Story To Tell","Ambar Lucid","Garden of Lucid","2020-04-10",39,0.113,0.595,0.519,0.000565,0.0811,-7.063,0.0387,93.978,0,1,195239,0.367,4,"7vEQ7hcDYobr5p4OkejYGK","bedroom pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Go","The Black Keys","Go / Eagle Birds / Lo/Hi","2019-05-16",40,0.0428,0.478,0.666,0.725,0.336,-7.766,0.0566,149.974,1,1,146596,0.718,4,"1IWom0fqK0dJKITk1H95BB","alternative rock","blues rock","garage rock","indie rock","indietronica","modern blues rock","modern rock","punk blues","rock","roots rock"
"No More Parties In LA","Kanye West","The Life Of Pablo","2016-06-10",75,0.246,0.508,0.921,0,0.221,-1.644,0.303,93.058,5,1,374413,0.681,4,"0zLClc0emc6qUeV1p5nc99","chicago rap","hip hop","rap",NA,NA,NA,NA,NA,NA,NA
"Pool","Still Woozy","Pool","2022-03-17",59,0.394,0.664,0.477,4.15e-05,0.136,-10.53,0.0551,100.046,0,1,223000,0.273,4,"1ZP4Qxb7USL3EezbxfpOVF","bedroom pop","oakland indie","pov: indie",NA,NA,NA,NA,NA,NA,NA
"CANDY","ROSALÍA","MOTOMAMI","2022-03-18",66,0.885,0.638,0.49,0.0116,0.156,-5.726,0.226,179.905,4,0,193480,0.403,4,"70AYiGbc4mWZGEqiipBBDb","latin viral pop","pop","r&b en espanol",NA,NA,NA,NA,NA,NA,NA
