"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Dingue","PLK","Polak","2019-02-01",58,0.149,0.675,0.675,0.000116,0.307,-4.714,0.1,164.045,8,0,177876,0.718,4,"4a4cTUsFiyPN8jaHt2xf18","french hip hop","pop urbaine","rap conscient","rap francais",NA,NA
"Bateau sur l'eau","Loris Giuliano","Bateau sur l'eau","2022-05-24",37,0.202,0.755,0.629,0,0.0932,-7.006,0.107,149.992,11,0,173584,0.498,4,"40IxFrQbJgb7gpRyS7o03F",NA,NA,NA,NA,NA,NA
"TEE (feat. Loski)","JAY1","TEE (feat. Loski)","2020-07-29",50,0.0176,0.914,0.513,0,0.2,-8.637,0.287,142.05,1,0,180845,0.719,4,"0U5yNRr9SZTupENUtOCsvf","uk hip hop",NA,NA,NA,NA,NA
"En face","Népal","Adios Bahamas","2020-01-10",60,0.759,0.517,0.552,0,0.115,-9.819,0.378,86.892,5,0,213694,0.18,4,"32AuP8jYvzvV5fAUuaHrnn","french hip hop",NA,NA,NA,NA,NA
"Train de vie (feat. PLK)","Leto","Virus: avant l'album","2020-04-17",58,0.314,0.739,0.585,0,0.0998,-7.605,0.195,143.849,1,1,187146,0.708,4,"2VXeQ7moo4zfT6EFO3Cwse","french hip hop","pop urbaine","rap francais",NA,NA,NA
"La bombe","Hugo TSR","La bombe h","2005-03-25",36,0.545,0.903,0.627,0,0.334,-8.213,0.358,94.99,10,0,152500,0.803,4,"0eUEiflOFVozgr8TvdPAFm","french hip hop","rap conscient",NA,NA,NA,NA
"Die","Lujipeka","L.U.J.I.","2020-05-22",22,0.435,0.792,0.571,0,0.168,-5.947,0.0546,129.161,0,0,139466,0.396,4,"2TeW1YQjnuyVduGtGF8Dip","french hip hop","rap calme",NA,NA,NA,NA
"À Montréal","Grand Corps Malade","3ème temps","2010-10-18",23,0.466,0.535,0.622,0.00107,0.0951,-8.318,0.114,138.698,7,0,188640,0.38,4,"7ikgEINd19Z3T9CDw9QkFL","chanson","french pop",NA,NA,NA,NA
"DIE","Gazo","KMT","2022-07-01",75,0.229,0.695,0.63,0,0.118,-7.16,0.035,130.968,8,0,240413,0.55,4,"3D29kjUyWxsT3jUUTtARVQ","drill francais","french hip hop","pop urbaine","r&b francais","rap francais",NA
"Swimming Pools (Drank)","Kendrick Lamar","Swimming Pools (Drank)","2012-01-01",81,0.00627,0.577,0.447,0.00022,0.0899,-5.892,0.277,74.236,8,1,247800,0.189,4,"6REbwUNlppTfcnV4d4ZoZi","conscious hip hop","hip hop","rap","west coast rap",NA,NA
"La vie est belle","Seyté","La vie est belle","2018-05-18",46,0.926,0.784,0.539,0,0.138,-5.712,0.0481,105.987,11,1,145491,0.804,4,"4zFM2jL5OmDZAoIr3vwcZh","belgian hip hop","french hip hop",NA,NA,NA,NA
