"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Living For The City","Stevie Wonder","The Definitive Collection","2002-10-29",26,0.0882,0.59,0.592,0,0.116,-9.972,0.0769,99.551,11,1,445173,0.431,4,"7MCnNALct4XnB1jCxV1sHk","motown","soul",NA,NA,NA,NA,NA,NA,NA,NA
"Andante spianato et Grande polonaise brillante, Op. 22: Grande Polonaise in E-flat Major. Molto allegro","Frédéric Chopin","The Pianist (Original Motion Picture Soundtrack)","1995",37,0.984,0.347,0.153,0.895,0.149,-21.856,0.0322,108.513,3,1,561573,0.15,3,"65TEwHlI7fv7G6ndDNN6jR","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Das Wohltemperierte Klavier: Book 1, BWV 846-869: Fuga 20 a 4","Johann Sebastian Bach","Bach, J.S.: The well-tempered Clavier","2009-01-01",8,0.995,0.368,0.285,0.895,0.126,-21.416,0.032,98.783,9,0,226773,0.72,4,"7HjfVVxxUeiLg1HG3NymUq","baroque","classical","early music","german baroque",NA,NA,NA,NA,NA,NA
"6 Épigraphes antiques, L.131: 4. Pour la danseuse aux crotales","Claude Debussy","Debussy: Complete Piano Works","2018-02-16",0,0.995,0.422,0.0281,0.86,0.0766,-27.596,0.0399,101.958,0,1,114013,0.322,4,"4fuUxGzSZWF3d57EQA742D","classical","impressionism","post-romantic era",NA,NA,NA,NA,NA,NA,NA
"Requiem, K. 626: III. Sequentia: f. Lacrimosa (Compl. Süssmayr, Orch. Beyer) - Live","Wolfgang Amadeus Mozart","Mozart: Requiem","1999-01-01",53,0.981,0.184,0.0915,0.734,0.222,-20.03,0.0413,119.375,2,0,173000,0.0387,3,"6izxDWP8kx2yErjuHOdhHV","classical","classical era",NA,NA,NA,NA,NA,NA,NA,NA
"Watermelon Man - Remastered","Herbie Hancock","Takin' Off (Expanded Edition)","1962-05-28",58,0.727,0.612,0.526,0.0331,0.183,-8.558,0.0272,129.341,0,0,429266,0.594,4,"38xcUjiTP1ivfb7ObwjyGA","contemporary post-bop","instrumental funk","jazz","jazz funk","jazz fusion","jazz piano",NA,NA,NA,NA
"Nocturne No. 17 In B, Op. 62 No. 1","Frédéric Chopin","Chopin: Nocturnes","2005-01-01",41,0.994,0.205,0.0146,0.9,0.114,-34.283,0.0428,72.705,11,1,358986,0.0584,4,"3UhDV3GnefK0y3CUjRBim9","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Suite bergamasque, L. 75: IV. Passepied","Claude Debussy","Debussy","2017-11-17",24,0.994,0.362,0.0287,0.924,0.114,-31.134,0.0346,94.162,6,0,235160,0.18,4,"5S6OWl8l28CrrTyyK6VOAW","classical","impressionism","post-romantic era",NA,NA,NA,NA,NA,NA,NA
"5 Studies, Anh.1a/1: V. Chaconne (After Violin Partita No. 2 in D Minor, BWV 1004 by J.S. Bach, Arr. for Piano)","Daniil Trifonov","BACH: The Art of Life (Encore Edition)","2022-02-11",14,0.989,0.253,0.15,0.885,0.128,-19.962,0.0404,130.304,2,1,900693,0.07,4,"1ogPGQsuaDiLFqCmCIX10q","classical piano","russian classical piano",NA,NA,NA,NA,NA,NA,NA,NA
"Zungguzungguguzungguzeng","Yellowman","Most Wanted Series - Yellowman","2007",52,0.0497,0.75,0.474,0.0013,0.0896,-10.641,0.243,164.889,6,0,387306,0.425,4,"4czopM9AcLjrH4IunzRoBg","dub","reggae","roots reggae",NA,NA,NA,NA,NA,NA,NA
"24 Préludes, Op. 28: 1. In C Major - 1974 Recording","Frédéric Chopin","Chopin: Preludes Op.28","1980",30,0.992,0.201,0.167,0.866,0.0935,-21.536,0.0352,70.551,0,1,39773,0.375,3,"57dUBdsYxmnKaW9plDtdIe","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"6 Fairy Tales, Op. 51: No. 2, Cantabile, tranquillo","Nikolai Medtner","Medtner: Solo Piano Works, Vol. 1","2021-04-16",1,0.987,0.315,0.0253,0.927,0.0609,-28.773,0.0448,71.248,4,0,213333,0.172,4,"5JHTTFNIuosKF9xRaXZ6DR","early modern classical","russian romanticism",NA,NA,NA,NA,NA,NA,NA,NA
"The Thrill Is Gone","B.B. King","B.B. King & Friends - 80","2005-01-01",52,0.16,0.561,0.681,0.0132,0.106,-7.633,0.0299,87.262,9,0,301453,0.62,4,"4kyKnNbxFe86MMeV4xpDL8","blues","blues rock","classic rock","electric blues","jazz blues","soul blues","traditional blues",NA,NA,NA
"Piano Concerto No. 3 in D Minor, Op. 30: 2. Intermezzo. Adagio - Live","Martha Argerich","Rachmaninov: Piano Concerto No.3 / Tchaikovsky: Piano Concerto No.1","1995-01-01",41,0.989,0.256,0.13,0.922,0.341,-20.391,0.033,83.547,8,1,676954,0.0375,4,"27bPptO4UqvFq1MZCh76UO","classical","classical performance","classical piano","latin american classical piano",NA,NA,NA,NA,NA,NA
"Nocturne No. 18 In E, Op. 62 No. 2","Frédéric Chopin","Chopin: Nocturnes","2005-01-01",41,0.994,0.248,0.0312,0.915,0.126,-30.215,0.0349,73.394,1,0,316840,0.0941,4,"4PKNFBtURS8wuOyJoA5I1S","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Korngold: Violin Concerto in D Major, Op. 35: I. Moderato nobile","Itzhak Perlman","Korngold & Goldmark: Violin Concertos","2008-02-04",2,0.915,0.214,0.226,0.00437,0.147,-15.786,0.0445,73.212,2,1,513346,0.188,3,"7cRIqCzrlDQansTTLZLazK","classical","classical performance","violin",NA,NA,NA,NA,NA,NA,NA
"8 Mood Pictures, Op. 1: No. 1, Prologue. Andante cantabile","Nikolai Medtner","Medtner: Solo Piano Works, Vol. 1","2021-04-16",1,0.955,0.268,0.0181,0.904,0.0824,-29.568,0.0358,71.007,4,1,283039,0.0924,4,"46VSqIBkrHOajpIWKcuWAO","early modern classical","russian romanticism",NA,NA,NA,NA,NA,NA,NA,NA
"Poison","Klaus Veen","Lekker Setje Beats","2020-07-09",58,0.0428,0.826,0.925,0.00621,0.0689,-6.441,0.254,126.505,1,1,191772,0.726,4,"4kdnniHBTCnzaYXrnsweSf","dutch tech house",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nocturne No. 6 In G Minor, Op. 15 No. 3","Frédéric Chopin","Chopin: Nocturnes","2005-01-01",46,0.995,0.384,0.00866,0.882,0.0679,-28.837,0.0545,104.57,2,0,251933,0.122,3,"5PHajk1v9B4z9ubkhDrFj6","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Sir Duke","Stevie Wonder","The Definitive Collection","2002-10-29",38,0.203,0.593,0.555,0,0.154,-10.082,0.0729,106.738,6,1,233573,0.96,4,"0dvnR86wsdc0WAKA5CWRBl","motown","soul",NA,NA,NA,NA,NA,NA,NA,NA
"My Humps","Joshwa","My Humps","2021-10-29",66,0.0418,0.862,0.79,0.00615,0.0746,-8.412,0.0672,129.005,4,0,186124,0.587,4,"3BbD2sqk7P7Rc9V0KF9o4s","tech house","uk tech house",NA,NA,NA,NA,NA,NA,NA,NA
