"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"53","Sowing The Seeds Of Love","Tears For Fears","The Seeds Of Love","1989","Autumn",66,0.00715,0.334,0.767,8.63e-05,0.338,-7.574,0.036,87.027,"7","0",379333,0.644,"4","62vx6uOYO7PrqKqKTKg9RY","new romantic","new wave","new wave pop","permanent wave","rock","sophisti-pop","synthpop",NA
"54","The Hills","The Weeknd","Beauty Behind The Madness","2015","Summer",89,0.0671,0.585,0.564,0,0.135,-7.063,0.0515,113.003,"0","0",242253,0.137,"4","7fBv7CLKzipRk6EC6TWHOB","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA
"55","Wonderwall - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","1995","Autumn",81,0.000452,0.378,0.896,0,0.194,-4.066,0.0407,174.302,"2","1",258773,0.469,"4","5qqabIl2vWzo9ApSC317sa","beatlesque","britpop","madchester","permanent wave","rock",NA,NA,NA
"56","Vertigini","Tedua","Mowgli","2018","Spring",65,0.164,0.579,0.774,0,0.131,-6.34,0.164,133.722,"5","0",203040,0.476,"4","1Oou7m2VuxCDSOdqsu07TU","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA
"57","Just a Little","Wellmess","Haul You Down","2020","Winter",8,0.0269,0.479,0.813,0.0191,0.391,-3.354,0.0356,120.042,"11","1",225047,0.522,"4","2JEinbWMhSaId9vTHHoO93",NA,NA,NA,NA,NA,NA,NA,NA
"58","Feel My Needs - Even Shorter Version","WEISS","Feel My Needs (Turn Around) [Even Shorter Version]","2018","Autumn",61,0.00563,0.678,0.708,0.765,0.13,-5.697,0.0347,121.983,"3","0",155409,0.683,"4","0zRPtmev0t91HHwOdQRcHi","house","tech house","uk dance","uk house",NA,NA,NA,NA
"59","San Frandisco","Dom Dolla","San Frandisco","2019","Autumn",62,0.0443,0.779,0.937,0.101,0.0912,-6.269,0.0496,125.025,"9","0",185000,0.49,"4","3T00mhdOYUuM5yiuPs3xhs","australian house","deep groove house","house",NA,NA,NA,NA,NA
"60","Losing It","FISHER","Losing It","2018","Summer",75,0.00181,0.76,0.964,0.703,0.0975,-5.844,0.0577,125.003,"2","1",248035,0.643,"4","6ho0GyrWZN3mhi9zVRW7xi","australian house","house",NA,NA,NA,NA,NA,NA
"61","Reload - Radio Edit","Sebastian Ingrosso","Reload (Vocal Version / Radio Edit)","2013","Winter",69,0.0736,0.485,0.724,0,0.0631,-4.633,0.0521,128.045,"9","0",221272,0.433,"4","5jyUBKpmaH670zrXrE0wmO","dutch house","edm","electro house","pop dance","progressive electro house","progressive house",NA,NA
"62","Feel My Needs - Purple Disco Machine Remix","WEISS","Feel My Needs (Purple Disco Machine Remix)","2018","Summer",66,0.0127,0.707,0.896,0.859,0.0182,-5.157,0.0538,122.011,"3","0",230163,0.903,"4","3RiRFyvasDtAv8n0AQUKFG","house","tech house","uk dance","uk house",NA,NA,NA,NA
"63","sw1n6o - feat. Salmo","thasup","23 6451","2020","Summer",46,0.122,0.569,0.828,7.05e-06,0.785,-5.554,0.0857,169.987,"0","0",184037,0.786,"4","76RvHRIMHDT0CcifsIHzQY","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA
"64","Alors On Danse - DubDogz Remix","Stromae","Alors On Danse (DubDogz Remix)","2019","Spring",73,0.027,0.789,0.752,2.69e-05,0.613,-4.274,0.164,122.98,"1","0",168576,0.739,"4","19eIZmuXlBmLTha1lPHef7","belgian pop","g-house",NA,NA,NA,NA,NA,NA
"65","Club Can't Handle Me (feat. David Guetta)","Flo Rida","Only One Flo (Part 1)","2010","Autumn",80,0.0283,0.616,0.869,0,0.064,-3.911,0.0327,127.966,"0","1",234560,0.473,"4","6ebkx7Q5tTxrCxKq4GYj0Y","dance pop","miami hip hop","pop","pop rap",NA,NA,NA,NA
"66","Cold Heart - PNAU Remix","Elton John","Cold Heart (PNAU Remix)","2021","Summer",86,0.034,0.796,0.798,4.19e-05,0.0952,-6.312,0.0317,116.032,"1","1",202735,0.942,"4","6zSpb8dQRaw0M1dK8PBwQz","glam rock","mellow gold","piano rock","rock",NA,NA,NA,NA
"67","Hold On","Czechmate","Hold On","2021","Winter",3,0.0014,0.846,0.693,0.00078,0.464,-7.767,0.0584,126.039,"9","1",205714,0.749,"4","3BsOmi9N7Chu6hOWuoIq5c",NA,NA,NA,NA,NA,NA,NA,NA
"68","Easy Love","Sigala","Brighter Days","2018","Autumn",67,0.175,0.68,0.942,0.0013,0.117,-4.208,0.0631,123.976,"9","1",229813,0.647,"4","5s7xgzXtmY4gMjeSlgisjy","dance pop","edm","pop dance","uk dance","uk pop",NA,NA,NA
"69","Replay","Iyaz","Replay","2009","Summer",79,0.173,0.706,0.751,0,0.168,-6.323,0.0708,91.031,"9","1",182306,0.195,"4","4E5P1XyAFtrjpiIxkydly4","dance pop","pop rap","post-teen pop",NA,NA,NA,NA,NA
"70","The Monster","Eminem","The Marshall Mathers LP2","2013","Autumn",81,0.0525,0.781,0.853,0,0.12,-3.68,0.0715,110.049,"1","0",250188,0.624,"4","48RrDBpOSSl1aLVCalGl5C","detroit hip hop","hip hop","rap",NA,NA,NA,NA,NA
"71","Blame (feat. John Newman)","Calvin Harris","Motion","2014","Autumn",80,0.0287,0.414,0.857,0.00574,0.343,-4.078,0.0808,128.024,"0","0",212960,0.348,"4","07nH4ifBxUB4lZcsf44Brn","dance pop","edm","electro house","house","pop","pop dance","progressive house","uk dance"
"72","Ink","Coldplay","Ghost Stories","2014","Spring",63,0.0647,0.688,0.705,0.124,0.118,-7.311,0.0323,112.019,"6","1",228373,0.696,"4","6c6W25YoDGjTq3qSPOga5t","permanent wave","pop",NA,NA,NA,NA,NA,NA
"73","10 RAGAZZE (con ERNIA)","Rkomi","TAXI DRIVER","2021","Autumn",61,0.261,0.707,0.674,0,0.145,-5.717,0.193,83.066,"0","0",174727,0.824,"4","45OsJpk7HMJKOnMVf2eQsV","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"74","STAY (with Justin Bieber)","The Kid LAROI","STAY (with Justin Bieber)","2021","Summer",86,0.0383,0.591,0.764,0,0.103,-5.484,0.0483,169.928,"1","1",141805,0.478,"4","5HCyWlXZPP0y6Gqq8TgA20","australian hip hop",NA,NA,NA,NA,NA,NA,NA
"75","Whatever It Takes","Various Artists","Long Distance","2021","Spring",8,0.0428,0.67,0.658,0,0.129,-5.005,0.0321,134.936,"1","1",201240,0.558,"4","5QS1uHq948EdOQ42y2expQ",NA,NA,NA,NA,NA,NA,NA,NA
"76","Year of the Cat - 2001 Remaster","Al Stewart","Year of the Cat","1991","Spring",65,0.0114,0.531,0.607,0.00511,0.121,-9.602,0.0328,116.652,"4","0",401400,0.534,"4","5jYYumalS1qELrcChOCZrK","art rock","folk rock","mellow gold","progressive rock","singer-songwriter","soft rock","symphonic rock",NA
"77","Music Sounds Better With You","Stardust","Music Sounds Better With You","1998","Summer",73,0.00105,0.735,0.72,0.15,0.382,-7.04,0.336,124.174,"1","1",403293,0.364,"4","303ccTay2FiDTZ9fZ2AdBt","filter house",NA,NA,NA,NA,NA,NA,NA
"78","Firework","Katy Perry","Teenage Dream: The Complete Confection","2012","Spring",73,0.139,0.638,0.826,0,0.0803,-4.968,0.0479,124.072,"8","1",227880,0.649,"4","4lCv7b86sLynZbXhfScfm2","pop",NA,NA,NA,NA,NA,NA,NA
"79","Poker Face","Lady Gaga","The Fame","2008","Winter",83,0.118,0.851,0.806,1.64e-06,0.121,-4.62,0.0787,118.999,"4","1",237200,0.787,"4","1QV6tiMFM6fSOKOGLMHYYg","art pop","dance pop","pop",NA,NA,NA,NA,NA
"80","Dancin (feat. Luvli) - Krono Remix","Aaron Smith","Dancin (feat. Luvli) [Krono Remix]","2014","Autumn",80,0.101,0.72,0.741,1.41e-05,0.289,-6.529,0.0287,119.896,"10","0",198053,0.357,"4","6WkJ2OK163XXS2oARUC9JM","chicago house",NA,NA,NA,NA,NA,NA,NA
"81","Fatality - Quintino Edit","Pep & Rash","Fatality (Quintino Edit)","2014","Autumn",26,0.00541,0.689,0.925,0.222,0.213,-3.55,0.0466,124.989,"8","0",249626,0.56,"4","1Yg5WbUroqch3kbPLRev1p","dutch edm","dutch house","electro house","future house","house","progressive electro house",NA,NA
"82","More Than You Know","Axwell /\ Ingrosso","More Than You Know","2017","Summer",82,0.0275,0.646,0.741,0,0.312,-4.973,0.034,123.077,"5","0",203000,0.571,"4","6h5PAsRni4IRlxWr6uDPTP","edm","pop dance",NA,NA,NA,NA,NA,NA
"83","Lush Life","Zara Larsson","So Good","2017","Spring",81,0.132,0.694,0.712,0,0.211,-3.923,0.046,98.023,"7","0",201122,0.799,"4","1rIKgCH4H52lrvDcz50hS8","pop","scandipop","swedish electropop","swedish pop",NA,NA,NA,NA
"84","Cool - Sonny Alven Remix","Alesso","Cool (Sonny Alven Remix)","2015","Spring",38,0.0404,0.661,0.741,1.9e-05,0.413,-6.882,0.0591,125.992,"6","1",227706,0.145,"4","2X7kWAhkyadjjOf0o4UCPF","dance pop","edm","pop","pop dance","progressive electro house",NA,NA,NA
"85","Happier","Marshmello","Happier","2018","Summer",83,0.191,0.687,0.792,0,0.167,-2.749,0.0452,100.011,"5","1",214289,0.671,"4","7BqHUALzNBTanL6OvsqmC1","brostep","edm","pop","progressive electro house",NA,NA,NA,NA
"86","Yah Mo B There","James Ingram","It's Your Night","1983","Winter",56,0.183,0.818,0.512,4.2e-06,0.0439,-12.491,0.0363,117.842,"0","1",279413,0.96,"4","5edioRF5SIeNzZafgd1Py1","quiet storm",NA,NA,NA,NA,NA,NA,NA
"87","Pumped Up Kicks","Foster The People","Torches","2011","Spring",86,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,127.975,"5","0",239600,0.965,"4","7w87IxuO7BDcJ3YUqCyMTT","indietronica","modern alternative rock","modern rock","rock",NA,NA,NA,NA
"88","Blame","EAUXMAR","Blame","2018","Autumn",24,0.0164,0.808,0.462,0.00572,0.0648,-7.372,0.202,115.98,"6","0",140689,0.622,"4","5eh6H5D8MrYROFiBYKBZjs","dutch edm",NA,NA,NA,NA,NA,NA,NA
"89","Prisoner (feat. Dua Lipa)","Miley Cyrus","Plastic Hearts","2020","Autumn",79,0.0103,0.781,0.67,0,0.0761,-3.912,0.0452,127.99,"3","0",169333,0.595,"4","2Oycxb8QbPkpHTo8ZrmG0B","pop",NA,NA,NA,NA,NA,NA,NA
"90","Good Feeling","Flo Rida","Wild Ones","2012","Summer",81,0.0588,0.706,0.89,0.00286,0.306,-4.444,0.0688,128.011,"1","0",248133,0.684,"4","2LEF1A8DOZ9wRYikWgVlZ8","dance pop","miami hip hop","pop","pop rap",NA,NA,NA,NA
"91","Lucciole","BLANCO","Blu Celeste","2021","Autumn",54,0.852,0.737,0.435,0,0.0987,-7.301,0.0546,123.082,"1","0",176097,0.466,"4","7HmgMA9PqikUtSG4eusHy2","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"92","M' Manc (con Geolier & Sfera Ebbasta)","Shablo","M' Manc (con Geolier & Sfera Ebbasta)","2020","Summer",72,0.048,0.703,0.704,0,0.41,-6.117,0.0641,139.933,"6","0",180000,0.725,"4","0MLu1cFYL4ikdRTdasCQT9","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"93","Open Bar","Il Pagante","Open Bar","2021","Summer",53,0.088,0.843,0.879,0,0.056,-4.046,0.151,122.019,"11","0",190327,0.824,"4","3EyZw5sCXxOkE8EWsOIkB1","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA
"94","Gimme Gimme Gimme (a man after midnight)","Syzz","Gimme Gimme Gimme (a man after midnight)","2020","Winter",61,0.0255,0.592,0.898,0.00223,0.703,-1.855,0.0456,123.124,"10","1",152682,0.374,"4","0e1q6FXRsGMdBgOe4qLHXe","sky room",NA,NA,NA,NA,NA,NA,NA
"95","Tunnel Of Love - Live At Hammersmith Odeon, London/1983","Dire Straits","Alchemy: Dire Straits Live","1984","Spring",46,0.442,0.341,0.752,0.163,0.969,-7.269,0.038,143.879,"5","1",869400,0.238,"4","0Ay49mCPSJe5C4DSApR0sb","album rock","classic rock","mellow gold","rock",NA,NA,NA,NA
"96","Let's Groove","Earth, Wind & Fire","Raise!","1981","Autumn",78,0.121,0.869,0.648,2.17e-05,0.126,-8.698,0.0633,125.035,"11","0",339320,0.9,"4","3koCCeSaVUyrRo3N2gHrd8","disco","funk","jazz funk","soul",NA,NA,NA,NA
"97","let you","iann dior","on to better things","2022","Winter",55,0.262,0.598,0.838,0,0.122,-5.513,0.0881,170.191,"7","0",151733,0.704,"4","5bQHJT0MZXTXccO84VpNQP","melodic rap",NA,NA,NA,NA,NA,NA,NA
"98","Heartbeat - Original Mix","Droplex","Heartbeat","2020","Spring",25,0.0384,0.83,0.772,0.707,0.0817,-6.951,0.163,128.016,"0","1",315000,0.666,"4","3swa8am7YTX3Wi0P9RD3Wp","hard minimal techno","hungarian edm","hungarian techno","melbourne bounce international",NA,NA,NA,NA
"99","Hymn for the Weekend - Seeb Remix","Coldplay","Hymn for the Weekend (Seeb Remix)","2016","Spring",69,0.00868,0.565,0.849,4.68e-06,0.12,-3.516,0.0517,102.034,"0","0",212647,0.427,"4","6s3GEN8wK0OMzzzZbXj0fu","permanent wave","pop",NA,NA,NA,NA,NA,NA
"100","Watch Out For This (Bumaye)","Major Lazer","Free the Universe","2013","Spring",62,0.0193,0.817,0.754,6.69e-06,0.0585,-4.128,0.156,107.999,"10","0",269146,0.86,"4","5StvAhgmgCOpCPHHNfS8bx","dance pop","edm","electro house","moombahton","pop","pop dance",NA,NA
"101","Like A G6","Far East Movement","Free Wired","2010","Winter",76,0.00676,0.435,0.837,0,0.117,-8.126,0.449,124.913,"3","1",216893,0.778,"4","5AyL2kgLtTWEu3qO3B9SqK","asian american hip hop","dance pop","pop rap",NA,NA,NA,NA,NA
