"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"45","Nights","Frank Ocean","Blonde","2016","Summer",81,0.427,0.457,0.551,1.15e-06,0.113,-9.36,0.167,89.87,"5","0",307151,0.428,"4","7eqoqGkKwgOaWNNHx90uEZ","lgbtq+ hip hop","neo soul",NA,NA,NA,NA,NA,NA
"46","Sign of the Times","Harry Styles","Harry Styles","2017","Spring",85,0.0275,0.516,0.595,0,0.109,-4.63,0.0313,119.972,"5","1",340706,0.222,"4","5Ohxk2dO5COHF1krpoPigN","pop",NA,NA,NA,NA,NA,NA,NA
"47","3 Nights","Dominic Fike","Don't Forget About Me, Demos","2018","Autumn",76,0.223,0.815,0.518,0,0.104,-6.594,0.0897,151.891,"7","0",177666,0.877,"4","1tNJrcVe6gwLEiZCtprs1u","alternative pop rock","pov: indie",NA,NA,NA,NA,NA,NA
"48","Another Love","Tom Odell","Long Way Down (Deluxe)","2013","Summer",92,0.695,0.445,0.537,1.65e-05,0.0944,-8.532,0.04,122.769,"4","0",244360,0.131,"4","3JvKfv6T31zO0ini8iNItO","chill pop",NA,NA,NA,NA,NA,NA,NA
"49","Use Somebody","Kings of Leon","Only By The Night","2008","Autumn",69,0.00552,0.276,0.715,0.000417,0.201,-5.356,0.0432,137.028,"0","1",230760,0.173,"4","2TYC9SaRhYypUQzB1ZVTG2","modern rock","rock",NA,NA,NA,NA,NA,NA
"50","With Or Without You","U2","The Joshua Tree (Super Deluxe)","1987","Spring",83,0.000202,0.54,0.429,0.355,0.141,-11.822,0.0285,110.171,"2","1",295515,0.113,"4","6ADSaE87h8Y3lccZlBJdXH","irish rock","permanent wave","rock",NA,NA,NA,NA,NA
"51","Hell N Back","Bakar","Hell N Back","2019","Summer",81,0.312,0.584,0.684,9.05e-05,0.112,-4.314,0.567,210.164,"10","0",213573,0.72,"4","3NRql0A1Ef4RCvT473iqgD","uk alternative hip hop",NA,NA,NA,NA,NA,NA,NA
"52","Trebles Finals: Bright Lights Bigger City/Magic","Various Artists","Pitch Perfect Soundtrack","2012","Winter",57,0.201,0.574,0.525,0,0.0826,-7.257,0.234,112.948,"9","0",154560,0.465,"4","7zgveKrOxukG95vxIO3KHd",NA,NA,NA,NA,NA,NA,NA,NA
"53","Cooler Than Me - Single Mix","Mike Posner","31 Minutes to Takeoff","2010","missing",64,0.146,0.75,0.818,0,0.686,-4.601,0.0551,129.963,"7","0",213293,0.652,"4","495O1Affo7AurEPQcvcr18","dance pop","pop","pop dance","pop rap",NA,NA,NA,NA
"54","bad idea!","girl in red","bad idea!","2019","Autumn",77,0.0289,0.513,0.807,0.0548,0.246,-6.095,0.0481,162.026,"1","1",219638,0.419,"4","57j65yC2HggQfmYNc6rdOK","bedroom pop","indie pop","norwegian indie","pov: indie",NA,NA,NA,NA
"55","Someone You Loved","Lewis Capaldi","Divinely Uninspired To A Hellish Extent","2019","Spring",91,0.751,0.501,0.405,0,0.105,-5.679,0.0319,109.891,"1","1",182160,0.446,"4","7qEHsqek33rTcFNT9PFqLf","pop","uk pop",NA,NA,NA,NA,NA,NA
"56","Don't Look Back In Anger - Remastered","Oasis","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","1995","missing",74,0.0665,0.328,0.936,2.61e-06,0.165,-3.254,0.0628,162.97,"0","1",289560,0.31,"4","12dU3vAh6AFoJkisorfoUl","beatlesque","britpop","madchester","permanent wave","rock",NA,NA,NA
"57","Day 'N' Nite (Nightmare)","Kid Cudi","Man On The Moon: The End Of Day (Int'l Version)","2009","Winter",75,0.462,0.88,0.443,7.13e-06,0.122,-6.359,0.0653,138.018,"11","0",221240,0.803,"4","60PAzFNW3vAiAiVK6DRJfB","hip hop","ohio hip hop","pop rap","rap",NA,NA,NA,NA
"58","Love Of My Life","Harry Styles","Harry's House","2022","Spring",78,0.669,0.555,0.536,0,0.0623,-8.233,0.0452,118.057,"7","1",191638,0.203,"4","1mw0RgNXIpYRyyCdBQbLgA","pop",NA,NA,NA,NA,NA,NA,NA
"59","Hot N Cold","Katy Perry","One Of The Boys","2008","Summer",78,7.95e-05,0.706,0.841,0,0.0688,-3.956,0.0418,132.032,"7","1",220226,0.861,"4","0iGckQFyv6svOfAbAY9aWJ","pop",NA,NA,NA,NA,NA,NA,NA
"60","Bruises","Lewis Capaldi","Divinely Uninspired To A Hellish Extent","2019","Spring",83,0.946,0.736,0.308,0,0.186,-7.83,0.0677,111.202,"4","1",220492,0.361,"4","4Of7rzpRpV1mWRbhp5rAqG","pop","uk pop",NA,NA,NA,NA,NA,NA
"61","Falling","Harry Styles","Fine Line","2019","Winter",85,0.839,0.567,0.267,1.46e-06,0.089,-6.502,0.0299,110.011,"4","1",240133,0.0592,"4","1ZMiCix7XSAbfAJlEZWMCp","pop",NA,NA,NA,NA,NA,NA,NA
"62","Since U Been Gone","Various Artists","Pitch Perfect Soundtrack","2012","Winter",55,0.481,0.703,0.481,0,0.194,-7.728,0.126,140.06,"9","0",146173,0.549,"4","5iazUEBq5x9yJCbrjVQoca",NA,NA,NA,NA,NA,NA,NA,NA
"63","Summer Of '69","Bryan Adams","Reckless (30th Anniversary / Deluxe Edition)","1984","Autumn",85,0.0183,0.508,0.834,0,0.0732,-6.205,0.0386,139.131,"2","1",216053,0.774,"4","0GONea6G2XdnHWjNZd6zt3","canadian pop","canadian singer-songwriter","classic canadian rock","heartland rock","mellow gold","soft rock",NA,NA
"64","Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA","Voulez-Vous","1979","missing",83,0.02,0.749,0.491,0.00899,0.159,-9.655,0.0403,119.528,"10","1",292613,0.536,"4","3vkQ5DAB1qQMYO4Mr9zJN6","europop","swedish pop",NA,NA,NA,NA,NA,NA
"65","The Nights","Avicii","The Days / Nights","2014","Winter",88,0.0166,0.527,0.835,0,0.249,-5.298,0.0433,125.983,"6","1",176658,0.654,"4","0ct6r3EGTcMLPtrXHDvVjc","dance pop","edm","pop","pop dance",NA,NA,NA,NA
"66","Chelsea Dagger","The Fratellis","Costello Music","2006","Winter",71,0.0491,0.511,0.815,0,0.0826,-3.14,0.144,154.514,"7","1",215306,0.586,"4","1bCmvezFg5MRcENzCGG1Cy","garage rock","modern rock","scottish rock",NA,NA,NA,NA,NA
"67","iSpy (feat. Lil Yachty)","KYLE","iSpy (feat. Lil Yachty)","2016","Winter",73,0.378,0.746,0.653,0,0.229,-6.745,0.289,75.016,"7","1",253106,0.672,"4","2EEeOnHehOozLq4aS0n6SL","deep underground hip hop","indie pop rap","pop r&b","pop rap","viral trap",NA,NA,NA
"68","Love Story (Taylor’s Version)","Taylor Swift","Love Story (Taylor’s Version)","2021","Winter",86,0.135,0.626,0.79,3.97e-06,0.0989,-4.302,0.0311,119.082,"2","1",235766,0.416,"4","3CeCwYWvdfXbZLXFhBrbnf","pop",NA,NA,NA,NA,NA,NA,NA
"69","Why'd You Only Call Me When You're High?","Arctic Monkeys","AM","2013","Autumn",90,0.0483,0.691,0.631,1.13e-05,0.104,-6.478,0.0368,92.004,"2","1",161123,0.8,"4","086myS9r57YsLbJpU0TgK9","garage rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA
"70","A Sky Full of Stars","Coldplay","Ghost Stories","2014","Spring",87,0.00617,0.545,0.675,0.00197,0.209,-6.474,0.0279,124.97,"6","1",267866,0.162,"4","0FDzzruyVECATHXKHFs9eJ","permanent wave","pop",NA,NA,NA,NA,NA,NA
"71","Shake It","Metro Station","Metro Station","2007","missing",55,0.00212,0.619,0.958,2.23e-06,0.622,-3.83,0.0776,150.025,"4","1",179946,0.819,"4","46SFeuNs1K5D76D9vCwFuR","electropowerpop","neon pop punk","pixie","pop punk",NA,NA,NA,NA
"72","You Belong With Me","Taylor Swift","Fearless (Big Machine Radio Release Special)","2008","Autumn",77,0.178,0.687,0.745,1.59e-05,0.111,-4.432,0.0379,129.966,"6","1",232120,0.435,"4","1GEBsLDvJGw7kviySRI6GX","pop",NA,NA,NA,NA,NA,NA,NA
"73","9 to 5","Dolly Parton","9 To 5 And Odd Jobs","1980","missing",80,0.416,0.554,0.783,1.54e-06,0.631,-5.852,0.0457,105.39,"6","1",162466,0.813,"4","4w3tQBXhn5345eUXDGBWZG","classic country pop","country","country dawn",NA,NA,NA,NA,NA
"74","Like a Prayer","Madonna","Celebration (double disc version)","2009","Autumn",75,0.264,0.624,0.842,2.11e-05,0.181,-5.285,0.0376,111.037,"5","1",342680,0.257,"4","1z3ugFmUKoCzGsI6jdY4Ci","dance pop","pop",NA,NA,NA,NA,NA,NA
"75","Viva La Vida","Coldplay","Viva La Vida or Death and All His Friends","2008","Summer",73,0.0954,0.486,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,"5","0",242373,0.417,"4","4zOfy9kqJlG0ZXvcaSh4gv","permanent wave","pop",NA,NA,NA,NA,NA,NA
"76","I Bet You Look Good On The Dancefloor","Arctic Monkeys","Whatever People Say I Am, That's What I'm Not","2006","Winter",78,0.00225,0.535,0.948,0,0.376,-4.19,0.0356,103.183,"6","0",173680,0.778,"4","3DQVgcqaP3iSMbaKsd57l5","garage rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA
"77","Escape (The Pina Colada Song)","Rupert Holmes","Escape...The Best Of","1998","Winter",59,0.24,0.824,0.739,1.43e-06,0.0866,-7.198,0.0602,139.344,"0","1",275293,0.954,"4","5I9zIwGB6f0edpjO5oX2b9","yacht rock",NA,NA,NA,NA,NA,NA,NA
"78","Be Alright","Dean Lewis","Be Alright","2018","Summer",81,0.697,0.553,0.586,0,0.0813,-6.319,0.0362,126.684,"11","1",196373,0.443,"4","3EPXxR3ImUwfayaurPi3cm","australian pop","pop",NA,NA,NA,NA,NA,NA
"79","Bad Habit","Steve Lacy","Gemini Rights","2022","Summer",84,0.613,0.686,0.494,5.8e-05,0.402,-7.093,0.0355,168.946,"1","1",232066,0.7,"4","4k6Uh1HXdhtusDW5y8Gbvy","afrofuturism",NA,NA,NA,NA,NA,NA,NA
"80","All I Need","khai dreams","Nice Colors","2018","Spring",53,0.00018,0.452,0.718,0.756,0.294,-7.385,0.0423,108.723,"7","1",147966,0.393,"4","3oskfuB8woAgGFHSypaElq","lo-fi rap","pov: indie",NA,NA,NA,NA,NA,NA
