"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"36","LA CODA DEL DIAVOLO (con ELODIE)","Rkomi","TAXI DRIVER",2021,"Autumn",68,0.132,0.481,0.748,7.77e-06,0.126,-6.007,0.356,128.777,"6","0",188975,0.549,"4","6oYcyS6salzWI1ysjEScFh","italian hip hop","italian pop",NA,NA,NA
"37","THE LONELIEST","Måneskin","THE LONELIEST",2022,"Autumn",77,0.00151,0.519,0.595,0,0.0762,-5.001,0.0283,129.786,"2","1",247067,0.237,"4","1Ame8XTX6QHY0l0ahqUhgv","indie rock italiano","italian pop",NA,NA,NA
"38","HENTAI (feat. Ghali & Tony Effe)","Sick Luke","X2",2022,"Winter",42,0.107,0.836,0.475,1.09e-06,0.17,-6.252,0.133,120,"11","1",197893,0.571,"4","5CC5dsU0CurUw9JixBSzs2","italian hip hop","trap italiana",NA,NA,NA
"39","Aglio e olio","Fulminacci","Tante care cose e altri successi",2022,"Spring",59,0.535,0.735,0.529,0,0.19,-7.982,0.05,93.028,"11","1",225826,0.537,"4","3AvqtcseWAUMjxuHeUAfsn","italian indie pop","italian pop","rome indie",NA,NA
"40","Metaverso","chiamamifaro","Post Nostalgia",2022,"Summer",27,0.0734,0.732,0.858,1.48e-06,0.0522,-3.262,0.112,144.979,"9","0",185501,0.771,"4","4dCMB4V9Zyncd8oFAzWRSZ",NA,NA,NA,NA,NA
"41","looney","rovere","dalla terra a marte",2022,"Winter",28,0.00431,0.492,0.937,0,0.421,-4.455,0.0672,173.787,"11","1",205600,0.534,"4","5iYyPap3wN9D2W0gCYmaMi","italian indie pop",NA,NA,NA,NA
"42","LA STREGA DEL FRUTTETO (feat. chiello & Madame)","Sick Luke","X2",2022,"Winter",50,0.214,0.776,0.839,0,0.313,-5.919,0.0541,120.014,"9","1",185031,0.671,"4","4JapIg9Dn9WjItbFJVHLFu","italian hip hop","trap italiana",NA,NA,NA
"43","Veleno","Guè","GVESVS",2021,"Winter",62,0.24,0.793,0.772,3.15e-06,0.145,-6.005,0.0422,94.998,"2","1",194106,0.674,"4","5b5LAmQZx3mKmhL7PQGegi","italian hip hop","italian pop",NA,NA,NA
"44","Ridere","Pinguini Tattici Nucleari","Fuori dall'Hype Ringo Starr",2020,"Winter",70,0.0493,0.713,0.902,0,0.0781,-3.009,0.0378,116.909,"9","1",214733,0.72,"4","5LZVK19ieaV8Mk9FsqTL3F","bergamo indie","italian indie pop","italian pop","milan indie",NA
"45","Brutte compagnie","Fulminacci","Tante care cose e altri successi",2022,"Spring",47,0.211,0.921,0.764,6.31e-06,0.309,-5.778,0.0581,122.968,"5","0",189035,0.918,"4","6bZjyG9pjF3YeKleRaODGI","italian indie pop","italian pop","rome indie",NA,NA
