"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"19","Comptine D'un Autre Été, L'après-Midi - Amelie Movie Theme","Jonas Kvarnström","Best of Piano Movie Themes (21st Century Film Music)",2012,"Spring",61,0.955,0.281,0.188,0.917,0.103,-17.51,0.0413,183.873,"2","1",290594,0.213,"4","5oyxj5UC4z7mLP8NzMZr0c",NA,NA,NA,NA,NA,NA
"20","Tití Me Preguntó","Bad Bunny","Un Verano Sin Ti",2022,"Spring",87,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,"5","0",243716,0.187,"4","1IHWl5LamUGEuP4ozKQSXZ","reggaeton","trap latino","urbano latino",NA,NA,NA
"21","fake love don't last (feat. iann dior)","Machine Gun Kelly","mainstream sellout",2022,"Spring",64,0.0226,0.659,0.733,0,0.205,-4.878,0.0577,146.053,"8","1",143204,0.763,"4","4UHyrGQCHu0Orh2utUxbNY","ohio hip hop","pop rap",NA,NA,NA,NA
"22","Matilda","Harry Styles","Harry's House",2022,"Spring",83,0.896,0.507,0.294,1.97e-05,0.0966,-10,0.04,114.199,"2","1",245964,0.386,"4","6uvh0In7u1Xn4HgxOfAn8O","pop",NA,NA,NA,NA,NA
"23","All I Want","Kodaline","In A Perfect World (Expanded Edition)",2013,"Summer",83,0.174,0.188,0.411,0.153,0.0843,-9.733,0.0484,187.376,"0","1",305746,0.159,"3","0NlGoUyOJSuSHmngoibVAs","irish pop","modern rock",NA,NA,NA,NA
"24","La Corriente","Bad Bunny","Un Verano Sin Ti",2022,"Spring",81,0.229,0.663,0.786,0,0.219,-3.51,0.195,196.12,"11","0",198367,0.579,"4","1797zYiX4cKosMH836X9Gt","reggaeton","trap latino","urbano latino",NA,NA,NA
"25","Heal","Tom Odell","Long Way Down (Deluxe)",2013,"Summer",76,0.952,0.445,0.179,0.00056,0.107,-12.938,0.0396,72.246,"1","1",193080,0.119,"4","4KlL5Bwlm4yHYxr0B2rHci","chill pop",NA,NA,NA,NA,NA
"26","As It Was","Harry Styles","Harry's House",2022,"Spring",95,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,"6","0",167303,0.662,"4","4Dvkj6JhhA12EX05fT7y2e","pop",NA,NA,NA,NA,NA
"27","Cuando Ella Sale","Morad","Cuando Ella Sale",2021,"Autumn",65,0.519,0.789,0.543,0.000705,0.105,-6.382,0.0748,91.996,"7","1",222798,0.463,"4","0bxzF2Kyql0pQ58Mymztue","drill espanol","urbano espanol",NA,NA,NA,NA
"28","Me Porto Bonito","Bad Bunny","Un Verano Sin Ti",2022,"Spring",90,0.0901,0.911,0.712,2.68e-05,0.0933,-5.105,0.0817,92.005,"1","0",178567,0.425,"4","6Sq7ltF9Qa7SNFBsV5Cogx","reggaeton","trap latino","urbano latino",NA,NA,NA
"29","July","Noah Cyrus","THE END OF EVERYTHING",2020,"Spring",84,0.868,0.708,0.186,0,0.0779,-8.953,0.042,72.541,"9","0",156106,0.322,"4","6J2LdBN97cDWn0MLxYh9HB","alt z","pop",NA,NA,NA,NA
"30","Anchor","Novo Amor","Bathing Beach",2017,"Spring",80,0.805,0.457,0.407,0.884,0.126,-11.475,0.0308,117.053,"9","1",257533,0.126,"4","7qH9Z4dJEN0l9bidizW7fq","ambient folk","indie anthem-folk","indie folk","modern indie folk",NA,NA
