"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"67","Destri","Gazzelle","OK","2021","Winter",69,0.126,0.459,0.696,0,0.198,-4.953,0.0406,85.819,"8","1",185503,0.422,"4","7nRFsITVaSHko2Fw2Gcy59","italian adult pop","italian pop","rome indie",NA,NA
"68","TRISTI E SOLI","PSICOLOGI","MILLENNIUM BUG","2020","Summer",28,0.0307,0.65,0.72,0,0.376,-5.632,0.0387,149.985,"9","0",143186,0.526,"4","7o70FbE71TAtuzpyOfKOwO","italian hip hop","italian pop","rome indie",NA,NA
"69","Papa Boys","lowlow","Scusate per il sangue","2014","Autumn",33,0.03,0.765,0.734,0,0.0912,-9.343,0.241,104.027,"11","0",161538,0.384,"4","0dMO5ZHTIgmd6udtJVGJo5","italian hip hop","italian pop","rome indie",NA,NA
"70","Blue Sky","Gemitaiz","Kepler","2014","Spring",62,0.0435,0.795,0.769,0,0.114,-4.948,0.0529,130.042,"10","0",187615,0.345,"4","1WOeWKKfUxx8hlH8RSRjfV","italian hip hop",NA,NA,NA,NA
"71","Freaks","Surf Curse","Freaks","2021","Spring",86,3.84e-05,0.345,0.941,0.633,0.0511,-9.918,0.0466,179.626,"9","1",147062,0.407,"4","7EkWXAI1wn8Ii883ecd9xr","dreamo","indie surf","pov: indie","surf punk","vegas indie"
"72","CANADA","PSICOLOGI","MILLENNIUM BUG","2020","Summer",42,0.718,0.352,0.411,0,0.109,-9.279,0.147,197.773,"10","1",150787,0.446,"4","2LO45A3DsKRF2Fe5HwwkkX","italian hip hop","italian pop","rome indie",NA,NA
"73","Arirang","lowlow","Redenzione","2017","Winter",33,0.0465,0.587,0.7,0,0.0708,-7.7,0.355,83.25,"1","1",265266,0.803,"4","64y99LLpmYg1wRmH4vtLcf","italian hip hop","italian pop","rome indie",NA,NA
"74","Neve","Ernia","No Hooks","2016","Autumn",50,0.332,0.751,0.839,0,0.0918,-7.179,0.281,105.212,"9","0",192000,0.166,"4","6cBH5hLQFzmsuyU2iOdVA2","italian hip hop","italian pop","milan indie",NA,NA
"75","DIO PERDONAMI (64 Bars)","Various Artists","Red Bull 64 Bars, The Album","2021","Spring",56,0.348,0.707,0.803,0,0.178,-4.071,0.265,119.628,"7","1",150250,0.645,"4","5O6w2iUCO0z1n7jXXF0H8b",NA,NA,NA,NA,NA
"76","Vestiti D’Odio (con PSICOLOGI)","Tredici Pietro","Vestiti D’Odio (con PSICOLOGI)","2020","Winter",57,0.299,0.708,0.678,0,0.14,-7.492,0.129,128.037,"9","1",171093,0.211,"4","3NLE4ioQE8aWxoJjk2IQTC","italian hip hop",NA,NA,NA,NA
