"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11"
"59","Ridere di te","Vasco Rossi","C'è Chi Dice No (Remastered)","2004","Spring",52,0.559,0.578,0.586,0.0777,0.0486,-7.149,0.0298,78.24,"2","1",334773,0.383,"4","0eihkugCsSDceQoyG9CTJr","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Strawberry Fields Forever - Remastered 2009","The Beatles","Magical Mystery Tour (Remastered)","1967","Autumn",70,0.336,0.39,0.502,0.000138,0.0713,-12.277,0.178,97.871,"10","1",247320,0.289,"4","3Am0IbOxmvlSXro7N5iSfZ","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"61","Cornerstone","Arctic Monkeys","Humbug","2009","Summer",72,0.00764,0.287,0.721,0,0.328,-5.81,0.0387,169.252,"9","1",197973,0.763,"4","5bsnLiT00hG37qd8p2jdVl","garage rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA,NA,NA,NA
"62","Money For Nothing - Remastered 1996","Dire Straits","Brothers In Arms (Remastered 1996)","1985","Spring",70,0.0456,0.674,0.649,0.000766,0.0644,-9.321,0.0356,134.212,"2","0",505333,0.645,"4","4nFNJmjfgBF7jwv2oBC45b","album rock","classic rock","mellow gold","rock",NA,NA,NA,NA,NA,NA,NA
"63","Quanto ti vorrei","chiello","Quanto ti vorrei","2021","Autumn",51,0.00721,0.476,0.711,1.81e-06,0.0842,-5.769,0.0336,185.996,"2","1",180342,0.756,"4","1AC9rHDPQC3QoC3iYPeSEI","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","A Hard Day's Night - Remastered 2009","The Beatles","A Hard Day's Night (Remastered)","1964","Summer",71,0.137,0.59,0.805,0,0.0996,-6.481,0.0371,138.514,"0","1",154200,0.797,"4","5J2CHimS7dWYMImCHkEFaJ","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"65","(I Can't Get No) Satisfaction - Mono Version","The Rolling Stones","Out Of Our Heads","1965","Summer",80,0.0383,0.723,0.863,0.0317,0.128,-7.89,0.0338,136.302,"2","1",222813,0.931,"4","2PzU4IB8Dr6mxV3lHuaG34","album rock","british invasion","classic rock","rock",NA,NA,NA,NA,NA,NA,NA
"66","Parco Sempione","Elio e le Storie Tese","Studentessi","2008","Winter",44,0.596,0.761,0.643,1.16e-06,0.305,-8.592,0.21,154.619,"0","1",298893,0.816,"3","4WfpFXJJJW8IFXzTOJWGfh","italian adult pop","italian alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Sing","Travis","The Invisible Band","2001","Summer",71,0.000233,0.33,0.905,8.14e-06,0.0712,-5.047,0.0497,163.142,"4","1",228800,0.259,"4","4yA2SM7XCLkSgkBUSoZb5S","britpop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","I Want To Hold Your Hand - Remastered 2015","The Beatles","1 (Remastered)","2000","Autumn",70,0.386,0.49,0.715,0,0.311,-5.549,0.0476,130.726,"7","1",145746,0.866,"4","4pbG9SUmWIvsROVLF0zF9s","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
