"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"81","Mistiche Vibre - Remastered 2021","Neffa","Arrivi E Partenze (Remastered 2021)","2001","missing",16,0.668,0.694,0.336,0.000326,0.101,-8.037,0.0346,137.989,"1","1",267986,0.396,"4","4pEqasZaBOGVpms8berXNu","italian adult pop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA,NA
"82","Grace Kelly","MIKA","Life In Cartoon Motion","2006","Winter",75,0.0242,0.675,0.828,0.0102,0.364,-5.799,0.0454,122.229,"0","1",187733,0.669,"4","2SDx0PooHZI1SQKR0y44bs","electropop",NA,NA,NA,NA,NA,NA,NA,NA
"83","Time Moves Slow","BADBADNOTGOOD","IV","2016","Summer",70,0.478,0.591,0.376,0.0282,0.101,-10.832,0.0543,140.026,"11","0",273864,0.308,"4","1IqF5PUDUnaykHLs0RWbDO","canadian modern jazz","indie soul",NA,NA,NA,NA,NA,NA,NA
"84","Some","Steve Lacy","Some","2016","Autumn",84,0.00548,0.784,0.554,0.254,0.0995,-6.417,0.03,104.01,"7","1",118393,0.634,"4","4riDfclV7kPDT9D58FpmHd","afrofuturism",NA,NA,NA,NA,NA,NA,NA,NA
"85","Daisy","Ashnikko","DEMIDEVIL","2021","Winter",73,0.235,0.834,0.663,0,0.372,-6.143,0.133,121.876,"8","1",146523,0.774,"4","2g1KggY9PKvsoEAOaiz4xx","alt z","escape room",NA,NA,NA,NA,NA,NA,NA
"86","Get Up, Get Out","3kelves","Get Up, Get Out","2022","Winter",26,0.00415,0.766,0.937,0.074,0.111,-6.998,0.0879,125.997,"5","0",202577,0.622,"4","4wMEf9tBAUqvekUIoJLyOG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Player - 2019 Disco Rework","Mooqee","Bombstrikes: 15 Years (Curated by Mooqee & Beatvandals)","2019","Summer",40,0.00035,0.818,0.772,0.204,0.0699,-5.871,0.0361,122.017,"4","0",240000,0.738,"4","3C3xDj61g8PLEkko0q5Lbf","funky breaks",NA,NA,NA,NA,NA,NA,NA,NA
"88","Emboscada","Vico C","Emboscada","2002","Winter",46,0.00762,0.707,0.772,0.000901,0.0837,-4.18,0.34,114.972,"8","1",262292,0.714,"4","7tP7Kzc5mu4iBHPvHTL3DB","reggaeton",NA,NA,NA,NA,NA,NA,NA,NA
"89","Afterglow","THE DRIVER ERA","X","2019","Summer",41,0.443,0.704,0.599,0,0.147,-7.349,0.0536,128.023,"6","1",191008,0.789,"4","2U38XVprnVmJs5k46fMYyg","modern alternative rock",NA,NA,NA,NA,NA,NA,NA,NA
"90","Gioia Infinita","Negrita","Helldorado","2008","Autumn",55,0.272,0.663,0.663,2.2e-06,0.299,-6.766,0.0269,103.001,"9","1",259706,0.744,"4","3rWfpRVd3d2d0tVZvvicMh","italian adult pop",NA,NA,NA,NA,NA,NA,NA,NA
"91","If I Ever Feel Better","Phoenix","United","2000","Spring",66,0.0492,0.755,0.553,0.00607,0.0646,-9.449,0.107,119.7,"6","0",266600,0.836,"4","3AA8xNhDC0MpqwkGX3EP5V","alternative dance","indie rock","modern rock","neo-synthpop","new rave","rock independant francais","shimmer pop",NA,NA
"92","Sunny","Boney M.","Take The Heat Off Me","1976","missing",73,0.088,0.647,0.868,0.124,0.129,-6.427,0.106,121.82,"0","0",242240,0.804,"4","3pf96IFggfQuT6Gafqx2rt","europop",NA,NA,NA,NA,NA,NA,NA,NA
"93","Tom's Diner","AnnenMayKantereit","Tom's Diner","2019","Summer",76,0.376,0.68,0.428,0.000344,0.355,-8.107,0.135,98.222,"6","0",269333,0.334,"4","0oA9wBGDY4uyILLg4GymWP","cologne indie","german singer-songwriter",NA,NA,NA,NA,NA,NA,NA
"94","Borderline","Tame Impala","The Slow Rush","2020","Winter",84,0.0406,0.621,0.873,9.1e-06,0.0824,-3.067,0.0369,97.96,"5","0",237800,0.873,"4","5hM5arv9KDbCHS0k9uqwjr","australian psych","modern rock","neo-psychedelic","rock",NA,NA,NA,NA,NA
"95","Hot Rod","Dayglow","Fuzzybrain","2019","Autumn",73,0.0279,0.707,0.768,0.000292,0.169,-7.072,0.0323,139.985,"7","1",204014,0.832,"4","5euumi7eqEgmxvCIJw2pSp","austindie","indie rock","pov: indie",NA,NA,NA,NA,NA,NA
"96","FORMATIONS","Mild Minds","MOOD","2020","Spring",72,0.361,0.765,0.727,0.0741,0.0983,-8.444,0.0768,114.022,"4","0",177089,0.0961,"4","1DRLIUG8HFTBfJOFYaByZn","australian dance",NA,NA,NA,NA,NA,NA,NA,NA
"97","Show Me Love - Emmaculate Remix","Robin S","Show Me Love (Remixed by Emmaculate)","2021","Winter",32,0.00745,0.825,0.729,7.15e-05,0.0518,-5.866,0.057,123.015,"2","1",361974,0.822,"4","1Uh50JCkzmtXUZKBMAshYO","diva house",NA,NA,NA,NA,NA,NA,NA,NA
"98","Vamos a bailar (Esta vida nueva) - Festivalbar Cut","Paola & Chiara","Television","2000","missing",54,0.0683,0.669,0.902,8.65e-06,0.107,-5.013,0.0379,116.021,"2","0",245373,0.515,"4","29cDz9LLpr0qOur3ZkhNsg","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"99","Splendido splendente","Donatella Rettore","Brivido divino (Gli Indimenticabili)","1982","Summer",33,0.219,0.829,0.843,0,0.151,-6.357,0.0336,118.813,"4","0",207400,0.97,"4","4djSKkGTA9ZtI22q96L1Tn","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"100","Toxic","Britney Spears","In The Zone","2003","Autumn",85,0.0249,0.774,0.838,0.025,0.242,-3.914,0.114,143.04,"5","0",198800,0.924,"4","6I9VzXrHxO9rA9A5euc8Ak","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"101","Stop It","FISHER","Oi Oi","2017","Autumn",66,0.0242,0.859,0.824,0.66,0.205,-7.207,0.0512,124.015,"8","1",163790,0.882,"4","627JZ3dVd88Xc5IoHOeNT5","australian house","house",NA,NA,NA,NA,NA,NA,NA
