"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"39","La canzone di Marinella","Fabrizio De André","Volume 3","1968","missing",51,0.811,0.439,0.351,4.85e-06,0.115,-10.04,0.032,82.192,"9","0",198013,0.503,"4","5HU5zuyBMUYqIC2wPV3aq7","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA
"40","Non Abbiamo Età","Luchè","Potere","2018","Summer",69,0.0522,0.372,0.689,0,0.154,-4.711,0.243,193.259,"6","1",181661,0.191,"4","0NwuXciw6eQc4edjwSBnV3","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA,NA
"41","Stanza Singola (feat. Tommaso Paradiso)","Franco126","Stanza Singola","2019","Winter",61,0.599,0.676,0.47,0,0.209,-7.831,0.0582,129.916,"10","1",196615,0.543,"4","23hpOtox5sIuRqVBVVJxsO","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA
"42","Left Outside Alone","Anastacia","Pieces of A Dream","1999","missing",62,0.0959,0.668,0.744,0,0.0918,-3.554,0.0349,102.845,"2","0",258800,0.325,"4","2uNq2hKb4X1S30hBgoywOF",NA,NA,NA,NA,NA,NA,NA,NA
"43","Amore che vieni, amore che vai","Fabrizio De André","Volume 3","1968","missing",55,0.773,0.398,0.362,0.0128,0.155,-10.892,0.0294,98.87,"8","0",168173,0.509,"3","6C7oJFOk0WX01wH1KMebaY","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA
"44","Fed Up","Ghostemane","ANTI-ICON","2020","Autumn",75,0.499,0.849,0.758,0.695,0.147,-7.498,0.256,115.058,"8","1",151625,0.0684,"4","0BV0AYGLVlu2SdjN3J9twp","cloud rap","dark trap","florida rap",NA,NA,NA,NA,NA
"45","The Devil in I","Slipknot",".5: The Gray Chapter (Special Edition)","2014","Autumn",74,0.00591,0.398,0.939,0.000881,0.357,-2.865,0.0648,92.027,"9","0",342821,0.235,"4","5hheGdf1cb4rK0FNiedCfK","alternative metal","nu metal","rap metal","rock",NA,NA,NA,NA
"46","everything i wanted","Billie Eilish","everything i wanted","2019","Autumn",86,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006,"6","0",245425,0.243,"4","3ZCTVFBt2Brf31RLEnCkWJ","art pop","pop",NA,NA,NA,NA,NA,NA
"47","Un giudice","Fabrizio De André","Non Al Denaro, Non All'Amore, Ne Al Cielo","1971","Autumn",52,0.89,0.627,0.157,9e-04,0.0846,-16.367,0.106,156.135,"9","0",175880,0.677,"3","4UsYN68FV4laJT0ppCswS3","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA
"48","The Dope Show","Marilyn Manson","Mechanical Animals","1998","Autumn",64,8.73e-06,0.562,0.671,0.000491,0.792,-7.801,0.0379,134.962,"4","0",226733,0.376,"4","1KQxH1Z1BiSo3MMukVpRfl","alternative metal","hard rock","industrial","industrial metal","industrial rock","nu metal","post-grunge","rock"
"49","E' Tardi","Caparezza","Museica","2014","Winter",33,0.0669,0.765,0.849,6.76e-06,0.612,-7.469,0.24,93.835,"8","1",274040,0.717,"4","3xAoCJhe3jgtGzSfMuNVEV","italian adult pop","italian pop","italian reggae",NA,NA,NA,NA,NA
"50","Brivido","Guè","Bravo Ragazzo (Royal Edition)","2013","Winter",69,0.237,0.628,0.69,0,0.0899,-6.273,0.338,82.285,"7","0",227693,0.431,"4","7fH13hSOyNoeiDGbjEnTUC","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"51","Geordie","Fabrizio De André","Peccati Di Gioventu","2000","Winter",49,0.836,0.249,0.517,5.24e-06,0.473,-9.985,0.0394,174.564,"10","1",123160,0.741,"3","34EYtmNSISD59rEVGNWN3X","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA
"52","God's Gonna Cut You Down","Marilyn Manson","God's Gonna Cut You Down","2019","Autumn",59,0.139,0.504,0.754,0,0.126,-5.182,0.0424,82.009,"8","1",160538,0.583,"4","0FkcmHJOsWE80rlpzfT0Pq","alternative metal","hard rock","industrial","industrial metal","industrial rock","nu metal","post-grunge","rock"
"53","Sfogati","Caparezza","Museica","2014","Winter",32,0.0331,0.691,0.868,4.07e-06,0.472,-5.571,0.108,100.983,"11","0",215653,0.657,"4","46ijQrJFycR7kb7TY3PCBF","italian adult pop","italian pop","italian reggae",NA,NA,NA,NA,NA
"54","POLKA","Rosa Chemical","FOREVER","2020","Spring",50,0.276,0.786,0.717,0,0.266,-5.465,0.176,129.899,"11","1",170851,0.829,"4","6hcUMWNYcoRygbg7cdxrZL","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"55","Volta la carta","Fabrizio De André","Rimini","1978","Spring",52,0.333,0.545,0.879,1.77e-06,0.11,-7.234,0.0502,124.073,"0","1",229866,0.483,"4","51L755MgFBI5Eu0LlwPXM2","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA
"56","Mercury: Retrograde","Ghostemane","Hexada","2017","Autumn",76,0.0581,0.826,0.816,0.00938,0.0593,-7.345,0.345,156.995,"2","1",124538,0.43,"4","0UKzG4fJ1LXf6DInew5vcV","cloud rap","dark trap","florida rap",NA,NA,NA,NA,NA
"57","Ferma A Guardare (feat. Pinguini Tattici Nucleari)","Ernia","Gemelli","2021","Winter",68,0.445,0.585,0.724,0,0.1,-5.611,0.0967,162.05,"9","0",213542,0.547,"4","1eDC4NiUYgQSKpKDIvXxi4","italian hip hop","italian pop","milan indie",NA,NA,NA,NA,NA
"58","Psychosocial","Slipknot","All Hope Is Gone (10th Anniversary)","2008","Summer",79,0.00269,0.568,0.981,0.00275,0.0243,-3.889,0.0887,135.146,"2","1",284120,0.307,"4","3RAFcUBrCNaboRXoP3S5t1","alternative metal","nu metal","rap metal","rock",NA,NA,NA,NA
"59","This Is The New Shit","Marilyn Manson","The Golden Age Of Grotesque","2003","Winter",64,0.000916,0.566,0.869,0.00346,0.114,-6.084,0.1,178.113,"2","1",259666,0.647,"4","5P13mfqn9o3ToFPTxowEgO","alternative metal","hard rock","industrial","industrial metal","industrial rock","nu metal","post-grunge","rock"
"60","Another Love","Tom Odell","Long Way Down (Deluxe)","2013","Summer",92,0.695,0.445,0.537,1.65e-05,0.0944,-8.532,0.04,122.769,"4","0",244360,0.131,"4","3JvKfv6T31zO0ini8iNItO","chill pop",NA,NA,NA,NA,NA,NA,NA
"61","Maneater","Nelly Furtado","Loose","2006","Winter",85,0.0261,0.796,0.777,0.000358,0.121,-4.81,0.0397,132.722,"6","1",258893,0.787,"4","4wH4dJgrsxONID6KS2tDQM","canadian latin","canadian pop","dance pop","pop",NA,NA,NA,NA
"62","La Canzone Dell'Amore Perduto","Fabrizio De André","Peccati Di Gioventu","2000","Winter",47,0.889,0.246,0.375,0.0204,0.164,-10.433,0.0318,104.874,"9","1",219240,0.164,"3","7HqaGIzhPpHGTPnX8Cxbkt","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA
"63","The Nobodies","Marilyn Manson","Holy Wood","2000","Autumn",62,4.6e-05,0.431,0.823,3.45e-05,0.0447,-5.219,0.0638,150.072,"4","1",215426,0.271,"4","1x8sna2LV8WQ38NEtN5X46","alternative metal","hard rock","industrial","industrial metal","industrial rock","nu metal","post-grunge","rock"
"64","CRUDELIA - I nervi","Marracash","Persona","2020","Spring",65,0.149,0.547,0.554,0,0.344,-7.563,0.102,82.178,"7","1",230922,0.0702,"3","5dsz7MTrNdN9aMTrnp7sOG","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"65","Troppo Politico","Caparezza","Museica","2014","Winter",35,0.0348,0.708,0.856,0.000642,0.139,-7.273,0.0598,112.998,"11","0",215813,0.709,"4","3Rc1tk6C784t8cvHdxB9xL","italian adult pop","italian pop","italian reggae",NA,NA,NA,NA,NA
"66","Questa Notte","Ex-Otago","Corochinato","2019","Winter",43,0.036,0.586,0.626,0,0.303,-6.956,0.0295,74.98,"3","1",185786,0.319,"4","3IdTroaGVuTXyThBGFcXve","indie liguria","italian alternative","italian indie pop","italian pop","rap napoletano",NA,NA,NA
"67","Missili","Frah Quintale","Lungolinea.","2018","Summer",66,0.443,0.706,0.683,0,0.313,-5.402,0.105,90.039,"4","0",195349,0.676,"4","5dcyltc1ataieXIeTqhH3t","italian hip hop","italian indie pop","italian pop","milan indie",NA,NA,NA,NA
"68","Stanotte","PSICOLOGI","Stanotte","2019","Autumn",56,0.584,0.625,0.498,0,0.0684,-10.561,0.033,105.019,"9","1",170170,0.315,"4","6QYX8ZfG0ICSkqTaASvycX","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA
"69","Non Me Lo Posso Permettere","Caparezza","Museica","2014","Winter",47,0.00406,0.458,0.763,0.000462,0.214,-6.106,0.0683,137.756,"11","0",226373,0.503,"4","6HqJfzaStS9m7ln9Ec1ZK2","italian adult pop","italian pop","italian reggae",NA,NA,NA,NA,NA
"70","Ventitre","M.E.R.L.O.T","Ventitre","2019","Autumn",46,0.906,0.604,0.27,3.49e-06,0.0923,-17.041,0.14,140.915,"11","1",141363,0.543,"4","6vEFy7TE2d538IFaPtJ9Rz","italian indie pop",NA,NA,NA,NA,NA,NA,NA
"71","Bene","Gemitaiz","Nonostante Tutto","2016","Winter",59,0.0623,0.744,0.659,0,0.114,-7.191,0.142,136.089,"6","1",237250,0.746,"4","3Jfi1WRHzREEGBDsaCrIXD","italian hip hop",NA,NA,NA,NA,NA,NA,NA
"72","Non sei tu","Gazzelle","Superbattito","2017","Spring",66,0.487,0.577,0.592,1.77e-06,0.0806,-9.639,0.0448,140.057,"7","0",199200,0.141,"4","2YdOZTN2ElEYhEuq6zmwT8","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA
"73","Canzone A Metà","Caparezza","Museica","2014","Winter",32,0.00714,0.52,0.965,8.52e-05,0.841,-6.777,0.0818,151.112,"8","1",203226,0.443,"4","0USMTWeZXzQYRtz7sdWtQz","italian adult pop","italian pop","italian reggae",NA,NA,NA,NA,NA
"74","Solo Guai","Carl Brave x Franco126","Polaroid 2.0","2018","Winter",60,0.0627,0.535,0.671,0,0.0772,-7.542,0.315,154.737,"9","1",167225,0.442,"4","5kf8d9DoYJbQmiaYjsPobn","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA
"75","Cosa mi manchi a fare","Calcutta ","Mainstream (Deluxe Edition)","2016","Summer",70,0.214,0.79,0.471,1.4e-06,0.0632,-7.286,0.0311,117.038,"0","1",169306,0.746,"4","7L8cIUKXToCr6PV9hFoX3Q","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA
"76","Si, ah","Frah Quintale","Lungolinea.","2018","Summer",37,0.105,0.586,0.597,0,0.051,-6.422,0.355,106.556,"5","1",172850,0.961,"4","3NTxWOh6xqkmilknyF0SOU","italian hip hop","italian indie pop","italian pop","milan indie",NA,NA,NA,NA
"77","Pleasantville","Nitro","Suicidol","2015","Spring",66,0.00166,0.446,0.843,6.77e-06,0.186,-5.366,0.156,129.132,"11","0",349560,0.186,"4","4T7nI6RllPyFPXJtIAtC7l","italian hip hop",NA,NA,NA,NA,NA,NA,NA
"78","Per sentirmi vivo","Fasma","Io sono Fasma","2020","Winter",60,0.167,0.579,0.718,0,0.114,-5.05,0.293,168.279,"2","1",177880,0.211,"4","20v9X8TV0AgwNGFT71OX3w","emo rap italiano","italian hip hop","italian pop","pop virale italiano",NA,NA,NA,NA
"79","Smells Like Teen Spirit","Nirvana","Nevermind (Remastered)","1991","Autumn",85,2.55e-05,0.502,0.912,0.000173,0.106,-4.556,0.0564,116.761,"1","1",301920,0.72,"4","4CeeEOM32jQcH3eN9Q2dGj","grunge","permanent wave","rock",NA,NA,NA,NA,NA
"80","Vermilion, Pt. 2","Slipknot","Vol. 3: The Subliminal Verses","2004","missing",70,0.334,0.589,0.442,0.000424,0.0987,-8.517,0.0291,122.688,"4","1",224320,0.0904,"3","0O7lENhqOySbsL743G7PqD","alternative metal","nu metal","rap metal","rock",NA,NA,NA,NA
"81","MARYLEAN (feat. Marracash) - prod. Low Kidd","MACHETE","MACHETE MIXTAPE 4","2019","Summer",65,0.0776,0.722,0.646,0,0.594,-6.743,0.31,136.955,"2","0",144097,0.661,"4","28fRkU3vhqAJdl9i9458pQ","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA
"82","I Don't Like The Drugs (But The Drugs Like Me)","Marilyn Manson","Mechanical Animals","1998","Autumn",56,0.00129,0.564,0.834,0,0.886,-6.978,0.0384,93.906,"2","1",303466,0.534,"4","1XLDwj2XXXNPOJvpvjHOas","alternative metal","hard rock","industrial","industrial metal","industrial rock","nu metal","post-grunge","rock"
"83","You Know You're Right","Nirvana","Nirvana","2002","Autumn",72,0.0407,0.289,0.716,0.00123,0.135,-6.53,0.106,168.049,"5","0",217000,0.344,"4","5O8L4I2S4izFGDjvP7xAKv","grunge","permanent wave","rock",NA,NA,NA,NA,NA
"84","Duality","Slipknot","Vol. 3: The Subliminal Verses","2004","missing",82,0.000237,0.354,0.982,0.000294,0.204,-3.026,0.168,143.772,"4","0",252613,0.194,"4","61mWefnWQOLf90gepjOCb3","alternative metal","nu metal","rap metal","rock",NA,NA,NA,NA
"85","Simba","Ernia","68","2018","Autumn",53,0.038,0.752,0.5,0.00231,0.11,-7.143,0.142,97.963,"1","1",199000,0.43,"4","69d3X2Nv5AWHUeTktfOqpV","italian hip hop","italian pop","milan indie",NA,NA,NA,NA,NA
"86","KILL4ME","Marilyn Manson","Heaven Upside Down","2017","Autumn",60,0.0023,0.635,0.688,1.07e-05,0.507,-6.136,0.0346,107.989,"11","0",239240,0.389,"4","6UIo6YbaXihIZ72MWUpcGb","alternative metal","hard rock","industrial","industrial metal","industrial rock","nu metal","post-grunge","rock"
"87","La ballata del Miché","Fabrizio De André","Volume 3","1968","missing",45,0.331,0.372,0.31,0,0.0432,-13.369,0.127,199.772,"6","0",172213,0.556,"3","6BJNuw4us7jjIpJHFWbeKh","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA
"88","People = Shit","Slipknot","Iowa","2001","missing",71,5.8e-05,0.462,0.996,0.00377,0.139,-2.973,0.231,122.072,"11","0",215600,0.145,"4","0Y2i84QWPFiFHQfEQDgHya","alternative metal","nu metal","rap metal","rock",NA,NA,NA,NA
"89","Irene","Pinguini Tattici Nucleari","Gioventù brucata","2017","Spring",56,0.349,0.68,0.622,0,0.0942,-6.271,0.0417,120.016,"7","1",311253,0.535,"4","2JeQN06RJrdNTh5LpCPBHq","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA,NA
"90","mOBSCENE","Marilyn Manson","The Golden Age Of Grotesque","2003","Winter",58,5.49e-05,0.548,0.954,0.000137,0.245,-4.008,0.0806,130.086,"9","1",205720,0.488,"4","1YVuJrfHHmD4ilULhAVqPW","alternative metal","hard rock","industrial","industrial metal","industrial rock","nu metal","post-grunge","rock"
"91","Teste Di Modì","Caparezza","Museica","2014","Winter",41,0.00258,0.605,0.883,3.06e-05,0.189,-6.503,0.124,188.173,"8","1",226066,0.732,"4","2AghK6Zvdv2sqy0Z5ZIPMD","italian adult pop","italian pop","italian reggae",NA,NA,NA,NA,NA
"92","Wait and Bleed","Slipknot","Slipknot (10th Anniversary Edition)","2009","Autumn",76,0.00208,0.382,0.996,0,0.417,-4.119,0.104,93.345,"7","1",147840,0.327,"4","2gscB6kDOmrv1P6qs2KXE3","alternative metal","nu metal","rap metal","rock",NA,NA,NA,NA
"93","Occhiaie","Galeffi","Scudetto","2017","Autumn",45,0.0116,0.474,0.793,0,0.0592,-3.898,0.0476,145.108,"0","1",203100,0.411,"4","7i7iqHvilL3S95Np8Pg6iX","italian indie pop","rome indie",NA,NA,NA,NA,NA,NA
"94","Rock Is Dead","Marilyn Manson","Mechanical Animals","1998","Autumn",62,8.78e-06,0.509,0.91,0.102,0.404,-6.531,0.038,101.174,"11","0",189760,0.358,"3","4ukiv6Rp5N4tQZSBT9JRLo","alternative metal","hard rock","industrial","industrial metal","industrial rock","nu metal","post-grunge","rock"
"95","La legge di Murphy","CIMINI","ANCORA MEGLIO","2018","Spring",44,0.221,0.578,0.567,6.02e-06,0.103,-8.387,0.0315,75.999,"0","1",189875,0.329,"4","3gmJ7cZPgGLKFZFmkzCEfb","italian alternative","italian indie pop",NA,NA,NA,NA,NA,NA
"96","Tutta la vita","Gazzelle","Punk","2018","Autumn",46,0.129,0.646,0.575,8.34e-06,0.0969,-4.202,0.029,120.086,"5","1",185463,0.459,"4","6jfjt2OGDdVUECy47V4sqt","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA
"97","Non ci sei più","Mameli","Non ci sei più","2020","Winter",27,0.289,0.608,0.548,0,0.356,-5.898,0.0313,128.004,"0","1",180000,0.31,"4","32RmyMmhb4HMTJAYSIIqie","italian indie pop","italian pop",NA,NA,NA,NA,NA,NA
"98","Killing Strangers","Marilyn Manson","The Pale Emperor","2015","Winter",58,0.00989,0.593,0.55,2.94e-06,0.132,-5.946,0.0379,59.996,"5","1",336487,0.511,"4","2naBVHNHinneXOYmczG7xE","alternative metal","hard rock","industrial","industrial metal","industrial rock","nu metal","post-grunge","rock"
"99","Canzone All'uscita","Caparezza","Museica","2014","Winter",29,0.201,0.849,0.729,0,0.0879,-8.811,0.323,83.021,"1","1",114506,0.821,"4","3fwaWkziWykpaPDqgg0LeU","italian adult pop","italian pop","italian reggae",NA,NA,NA,NA,NA
"100","Destri","Gazzelle","OK","2021","Winter",69,0.126,0.459,0.696,0,0.198,-4.953,0.0406,85.819,"8","1",185503,0.422,"4","7nRFsITVaSHko2Fw2Gcy59","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA
