"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"33","Dentista Croazia","Pinguini Tattici Nucleari","Dentista Croazia",2022,"Summer",54,0.00407,0.587,0.804,0,0.252,-4.832,0.0298,142.017,"5","1",263454,0.435,"4","6aZzB0KaKW6C4W6LMT42LT","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA
"34","LA DOLCE VITA","Fedez","LA DOLCE VITA",2022,"Summer",62,0.0124,0.737,0.858,0,0.382,-3.589,0.0527,144.991,"8","1",187862,0.919,"4","0I0b7uTFfHhBz5bMkSDouF","italian adult pop","italian pop",NA,NA,NA,NA,NA
"35","SNAP - Italian","Rosa Linn","SNAP PACK",2022,"Autumn",58,0.114,0.562,0.746,0,0.231,-5.451,0.154,170.045,"0","1",180642,0.475,"4","2jLW0YomEl9zIal6P7QPpc","alt z",NA,NA,NA,NA,NA,NA
"36","Aglio e olio","Fulminacci","Tante care cose e altri successi",2022,"Spring",59,0.535,0.735,0.529,0,0.19,-7.982,0.05,93.028,"11","1",225826,0.537,"4","3AvqtcseWAUMjxuHeUAfsn","italian indie pop","italian pop","rome indie",NA,NA,NA,NA
"37","Cambiami La Vita","Diego Lazzari","Cambiami La Vita",2022,"Summer",44,0.565,0.723,0.643,8.45e-06,0.172,-4.979,0.0608,99.945,"6","0",175200,0.702,"4","0PnPBuAw3Vm1TsZiHqkKb0","italian pop","pop virale italiano",NA,NA,NA,NA,NA
"38","Te Quiero","Vale Pain","PAIN",2022,"Autumn",55,0.118,0.836,0.567,0,0.109,-9.116,0.155,133.989,"8","1",163624,0.89,"4","6wIcKY5pAYyhaVXQ8FCCZy","italian hip hop","trap italiana",NA,NA,NA,NA,NA
"39","Lei Vuole","Ludwig","Neverland",2021,"Summer",47,0.113,0.561,0.804,0,0.237,-3.893,0.159,102.971,"11","1",177339,0.781,"4","62CEAgKjC8lAjZl4DZEkxD","italian pop","pop virale italiano",NA,NA,NA,NA,NA
"40","Ferma A Guardare (feat. Pinguini Tattici Nucleari)","Ernia","Gemelli",2021,"Winter",68,0.445,0.585,0.724,0,0.1,-5.611,0.0967,162.05,"9","0",213542,0.547,"4","1eDC4NiUYgQSKpKDIvXxi4","italian hip hop","italian pop","milan indie",NA,NA,NA,NA
"41","Paranoie","Tancredi","Paranoie",2022,"Winter",33,0.0915,0.741,0.682,0,0.107,-6.047,0.0658,119.963,"2","0",150186,0.831,"4","6pRSnQ7NxpB9eCIa3N0Gqg","italian pop",NA,NA,NA,NA,NA,NA
"42","Soli assieme","Nashley","Soli assieme",2021,"Spring",51,0.473,0.621,0.616,0,0.554,-6.881,0.126,174.01,"4","1",162104,0.797,"4","6W8sIhqfWYgwzYvwRUQ9iG","italian hip hop",NA,NA,NA,NA,NA,NA
"43","Utopia","Eugenio In Via Di Gioia","Amore e Rivoluzione",2022,"Spring",26,0.714,0.648,0.721,1.45e-05,0.134,-5.114,0.0542,126.002,"4","0",227480,0.646,"4","3O0QiJTM93R0oHvPkacpIz","indie folk italiano","italian alternative","italian indie pop","turin indie",NA,NA,NA
"44","Divano Nostalgia","Galeffi","Divano Nostalgia",2022,"Spring",21,0.214,0.685,0.678,0,0.0911,-5.525,0.0284,127.887,"8","0",191718,0.919,"4","5CfYodVuyULDrRkWlf2C0v","italian indie pop","rome indie",NA,NA,NA,NA,NA
"45","Blessed (con Madame, Drast, thasup & ARIETE)","Night Skinny","Botox",2022,"Autumn",51,0.3,0.376,0.659,0,0.135,-6.468,0.212,83.862,"2","1",198888,0.492,"4","13Grq2Mq6QrvFGGbtNzxC5","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA
"46","Nostalgia","BLANCO","Nostalgia",2022,"Summer",64,0.0372,0.644,0.904,0,0.0767,-3.749,0.0605,130.061,"0","1",182307,0.562,"4","22gH5Qg5j5ZzF7LaR7Nrkj","italian hip hop","italian pop",NA,NA,NA,NA,NA
"47","Nonono","Pinguini Tattici Nucleari","Fuori dall'Hype",2019,"Spring",62,0.451,0.816,0.897,0,0.0803,-2.909,0.0682,95.005,"7","1",210893,0.83,"4","4sE5wzpPd4s8kTdtVC18lY","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA
"48","La più bella","Mecna","Bromance",2022,"Spring",52,0.371,0.753,0.705,1.61e-06,0.114,-5.393,0.114,108.007,"1","0",201250,0.613,"4","15GU1l3BnEJOxb3MJI1DzL","italian hip hop","r&b italiano",NA,NA,NA,NA,NA
"49","NoN La AsCoLTare - prod. Marz & Zef","Alfa","NoRd",2021,"Spring",45,0.119,0.688,0.657,0,0.14,-5.096,0.312,166.051,"2","1",150360,0.599,"4","0ayyaHPEo4CBbVJEpw0Nmq","pop virale italiano",NA,NA,NA,NA,NA,NA
"50","s!r! (feat. Lazza & Sfera Ebbasta)","thasup","c@ra++ere s?ec!@le",2022,"Autumn",64,0.387,0.675,0.739,0,0.177,-4.603,0.0524,149.959,"6","0",237701,0.338,"4","5Hjy8lyZ4h99OjrW8jzPQ8","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA
"51","Rubini (feat. Elisa)","Mahmood","Ghettolimpo",2021,"Summer",55,0.658,0.563,0.592,0,0.127,-6.096,0.0793,135.061,"0","1",228362,0.301,"4","0LgTs0nP7zgSaCMQHGsnEh","italian adult pop","italian pop",NA,NA,NA,NA,NA
"52","Sette Camicie","Eugenio In Via Di Gioia","Tsunami (forse vi ricorderete di noi per canzoni come)",2020,"Winter",20,0.337,0.688,0.794,0,0.245,-4.813,0.229,111.452,"4","1",164546,0.961,"4","4VNJcKUKbpzUfjK3epD7NB","indie folk italiano","italian alternative","italian indie pop","turin indie",NA,NA,NA
