"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"49","Walk","Foo Fighters","Wasting Light","2011","Spring",72,3.62e-05,0.234,0.865,0.000532,0.289,-5.131,0.0516,137.107,"9","1",255960,0.194,"4","76Je5Wklky23mVoxiRszcN","alternative metal","alternative rock","modern rock","permanent wave","post-grunge","rock",NA,NA,NA
"50","CANALE 5","MOBRICI","ANCHE LE SCIMMIE CADONO DAGLI ALBERI","2021","Autumn",29,0.0174,0.459,0.944,0,0.354,-3.564,0.0484,179.912,"7","1",135626,0.226,"4","4QizTPaQKQA2uWvTcYYgyt","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA
"51","Il Meno Possibile (feat. Gazzelle)","Marco Mengoni","MATERIA (TERRA)","2021","Winter",59,0.295,0.572,0.462,0,0.114,-8.289,0.0464,110.059,"5","1",179584,0.184,"4","40O0wgOTqcMr4UEDkbmBBz","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"52","Break Stuff","Limp Bizkit","Significant Other","1999","missing",83,0.0127,0.432,0.884,0.000527,0.166,-6.659,0.13,108.948,"8","1",166706,0.624,"4","5cZqsjVs6MevCnAkasbEOX","alternative metal","funk metal","nu metal","post-grunge","rap metal","rock",NA,NA,NA
"53","The Pretender","Foo Fighters","Echoes, Silence, Patience & Grace","2007","Autumn",82,0.000917,0.433,0.959,0,0.028,-4.04,0.0431,172.984,"9","1",269373,0.365,"4","7x8dCjCr0x6x2lXKujYD34","alternative metal","alternative rock","modern rock","permanent wave","post-grunge","rock",NA,NA,NA
"54","Shakespeare","Canova","Vivi Per Sempre","2019","Spring",25,0.00659,0.485,0.683,1.2e-05,0.212,-5.324,0.027,130.976,"5","1",185026,0.345,"4","58tgZuzn7EbKaZpxWCMbFS","italian alternative","italian indie pop","milan indie",NA,NA,NA,NA,NA,NA
"55","Freak On a Leash","Korn","Follow The Leader","1998","Summer",80,2.23e-05,0.353,0.898,0.105,0.39,-5.877,0.052,103.293,"2","1",255733,0.525,"4","6W21LNLz9Sw7sUSNWMSHRu","alternative metal","funk metal","hard rock","nu metal","post-grunge","rap metal","rock",NA,NA
"56","Rococò","Giorgio Poi","Gommapiuma","2021","Winter",32,0.0586,0.5,0.539,0.072,0.119,-7.548,0.0274,139.974,"0","1",233253,0.521,"4","43v8t5thnlDpfxYg4ct5y9","italian alternative","italian indie pop","rome indie",NA,NA,NA,NA,NA,NA
"57","Saliva","Calcutta ","Evergreen","2018","Spring",52,0.863,0.446,0.293,0,0.12,-10.354,0.0413,77.015,"0","1",146680,0.251,"4","0GbIrGsJQ8jCmZXNilAvhL","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA,NA
"58","So Far Away","Avenged Sevenfold","Nightmare","2010","Summer",68,0.00847,0.286,0.703,7.39e-05,0.142,-4.491,0.0348,151.297,"4","0",326813,0.259,"4","7Hr1Ignop7cymbE3FbOtXa","alternative metal","nu metal",NA,NA,NA,NA,NA,NA,NA
