"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"82","Tu si a fine do' munno","Angelo Famao","Tu si a fine do' munno","2018","Spring",65,0.444,0.758,0.855,0,0.0727,-5.958,0.0618,89.979,"8","1",180402,0.666,"4","0ZI9cTwtcaYeVcFjwT51ow","neomelodici",NA,NA,NA,NA
"83","Irene","Pinguini Tattici Nucleari","Gioventù brucata","2017","Spring",56,0.349,0.68,0.622,0,0.0942,-6.271,0.0417,120.016,"7","1",311253,0.535,"4","2JeQN06RJrdNTh5LpCPBHq","bergamo indie","italian indie pop","italian pop","milan indie",NA
"84","Non E' Mai Un Errore","Raf","Metamorfosi","2008","Autumn",41,0.634,0.545,0.508,0,0.0834,-6.433,0.0305,144.05,"5","1",268773,0.436,"4","37dNUeudi7oPWDYXl1y9jR","classic italian pop","italian adult pop",NA,NA,NA
"85","16 Marzo (feat. Gow Tribe)","Achille Lauro","1969 - Achille Idol Rebirth","2020","Autumn",61,0.214,0.49,0.61,0,0.127,-4.981,0.0297,129.91,"0","1",233492,0.226,"4","2kZV7d0A4BIN5I8iFBnbqp","italian adult pop","italian hip hop","italian pop",NA,NA
"86","Sei tu","Fabrizio Moro","Sei tu","2022","Winter",50,0.227,0.512,0.594,0,0.106,-7.126,0.036,134.31,"11","1",172813,0.324,"4","7fgEx5OxzDP1hw50mJeDMh","italian adult pop",NA,NA,NA,NA
"87","Indelebile","Fasma","Indelebile","2021","Spring",52,0.0525,0.511,0.732,0,0.112,-6.147,0.107,81.711,"10","1",168507,0.4,"4","0FJUY6StrBltgLCSMuSAS4","emo rap italiano","italian hip hop","italian pop","pop virale italiano",NA
"88","Solo","Ultimo","Solo","2021","Autumn",52,0.742,0.483,0.46,0,0.106,-7.815,0.144,151.749,"5","1",222480,0.122,"4","5mIemH3MAuvMetPDBxUfqr","italian adult pop","italian pop",NA,NA,NA
"89","A mano a mano","Rino Gaetano","Q Concert","1981","missing",46,0.0569,0.566,0.376,0,0.474,-11.643,0.0443,176.366,"0","1",217629,0.486,"4","5mA4wMDUbf9A2N0vzCR80R","canzone d'autore","classic italian pop","italian adult pop",NA,NA
"90","Siamo","Eros Ramazzotti","Vita Ce N'è","2018","Autumn",49,0.143,0.635,0.909,0,0.12,-3.165,0.0452,120.07,"5","0",218426,0.495,"4","7jkZflOcHyeFz0xzaOZRHw","italian adult pop","mexican pop",NA,NA,NA
"91","Perfetta Così","Aka 7even","Perfetta Così","2022","Winter",49,0.00482,0.636,0.751,5.98e-05,0.205,-6.24,0.0377,129.883,"11","0",169750,0.319,"4","3pC3gQ9YLBBVDgjzPdbF08","italian adult pop","italian pop",NA,NA,NA
