"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"84","Il bambino che contava le stelle","Ultimo","Solo","2021","Autumn",56,0.758,0.707,0.39,0,0.17,-6.81,0.0419,89.9,"6","0",147973,0.439,"4","06RGdoTHoxRRIadjK6l8hx","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"85","Tears On My Piano","Charlie Puth","CHARLIE","2022","Autumn",54,0.239,0.562,0.729,1.33e-05,0.111,-5.503,0.0926,192.168,"1","0",181385,0.831,"4","7mWBvNosCez1ry9f1ba197","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"86","Shakerando","Rhove","Shakerando","2021","Winter",66,0.764,0.855,0.805,0.00708,0.302,-5.651,0.191,135.009,"7","0",195555,0.469,"4","4EC028SvtlC25iHQSG2OIa","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA
"87","Hallucinate","Dua Lipa","Future Nostalgia","2020","Spring",68,0.033,0.627,0.69,0,0.0742,-5.396,0.139,122.053,"10","0",208505,0.627,"4","1nYeVF5vIBxMxfPoL0SIWg","dance pop","pop","uk pop",NA,NA,NA,NA,NA,NA
"88","L'unica forza che ho","Ultimo","Pianeti","2017","Autumn",57,0.804,0.48,0.415,0,0.109,-10.181,0.213,170.226,"2","1",243146,0.244,"4","2dlBfRhSt8Zpnb9IJ5eh3m","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"89","Senza Di Me (feat. Venerus & Franco126)","Gemitaiz","Senza Di Me","2018","Winter",66,0.167,0.698,0.636,0,0.125,-5.844,0.034,107.282,"8","1",201961,0.313,"3","3xGD5KhnizETt7KQwxtUAc","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"90","Home","Ricky Rosen","Home","2022","Spring",41,0.465,0.615,0.431,0,0.25,-8.003,0.124,137.718,"7","0",184774,0.426,"4","57oBl5Jzy76UWlmUazqzJx",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Beethoven","Kenndog","Beethoven","2021","Summer",64,0.15,0.874,0.652,6.34e-06,0.106,-8.915,0.114,102.963,"9","0",144587,0.503,"4","7rYCenkV4OXJgiUuKrhDCb","viral rap",NA,NA,NA,NA,NA,NA,NA,NA
"92","Buongiorno vita","Ultimo","Solo","2021","Autumn",51,0.59,0.559,0.541,0,0.152,-5.451,0.0431,145.169,"7","1",190840,0.48,"4","14rcy4M0wqiPHiCaT8U1Ju","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"93","Riflessi - Acoustic","Luigi Strangis","Strangis","2022","Summer",29,0.797,0.562,0.643,0,0.277,-4.974,0.127,65.716,"7","1",124373,0.67,"4","1lAnWVlaPuHF3b83GvDDQl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I","1995","Summer",70,0.639,0.651,0.402,7.73e-05,0.0765,-9.303,0.028,119.873,"11","1",345600,0.258,"4","3AoeaZs8dFemFJr3JdzOL0","r&b","soul",NA,NA,NA,NA,NA,NA,NA
"95","La più bella","Mecna","La più bella","2021","Autumn",53,0.371,0.753,0.705,1.61e-06,0.114,-5.393,0.114,108.007,"1","0",201250,0.613,"4","6mBrMo2CUoou15ZRqJpmI3","italian hip hop","r&b italiano",NA,NA,NA,NA,NA,NA,NA
"96","Ipocondria","Ultimo","Colpa Delle Favole","2019","Spring",61,0.343,0.711,0.567,0,0.161,-7,0.0798,119.99,"5","1",181301,0.718,"4","6YrDRkcDktxgsPcH8x77xm","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"97","okk@pp@","thasup","c@ra++ere s?ec!@le","2022","Autumn",52,0.0963,0.747,0.675,0.000342,0.345,-4.879,0.0422,106.96,"10","1",142373,0.683,"4","7zJed3rkONaRKANBROr7Zr","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA
"98","Phi","Ernia","68 (Till The End)","2019","Spring",56,0.0328,0.896,0.523,0.0243,0.123,-6.858,0.256,100.008,"1","1",174000,0.0662,"4","0E5bmLyxyiHsmc82D5gsiY","italian hip hop","italian pop","milan indie",NA,NA,NA,NA,NA,NA
"99","Up Down (Do This All Day) (feat. B.o.B)","T-Pain","Happy Hour: The Greatest Hits","2014","missing",71,0.256,0.778,0.498,0,0.295,-6.846,0.0562,96.995,"5","0",231093,0.464,"4","6lbhWl34Il0WXm5pX1fM9E","dance pop","gangster rap","hip hop","pop rap","r&b","rap","southern hip hop","trap","urban contemporary"
"100","Sul finale","Ultimo","Solo","2021","Autumn",55,0.371,0.542,0.674,0,0.114,-5.339,0.0476,147.759,"10","1",234960,0.296,"4","3yup5llqOkS6nYSqAggq1S","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"101","As I Am (feat. Khalid)","Justin Bieber","Justice","2021","Spring",62,0.131,0.608,0.547,0,0.0974,-8.151,0.0368,99.947,"11","1",174406,0.108,"4","4MmMxyew8yq1OEyJOMaX6M","canadian pop","pop",NA,NA,NA,NA,NA,NA,NA
