"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13"
"89","I'm Still Here (Jim's Theme) - From ""Treasure Planet""/Soundtrack Version","James Newton Howard","Treasure Planet","2002","Winter",61,0.000403,0.531,0.597,0.00105,0.063,-9.004,0.0324,110.791,"9","1",251466,0.33,"3","6BfOhpHADzrvKN2kMPTMPv","orchestral soundtrack","soundtrack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","La Mia Hit - feat. Max Pezzali","J-AX","La Mia Hit (feat. Max Pezzali)","2020","Winter",36,0.0623,0.689,0.853,0,0.26,-6.11,0.0742,100.078,"8","1",212640,0.701,"4","7weRU1RLH8sZDqLBQho082","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Tuttecose","Gazzelle","OK UN CAZZO","2021","Winter",63,0.198,0.661,0.64,0,0.125,-4.52,0.0479,83.027,"0","1",197956,0.659,"4","4c4uR3sZVgX9Y0OxCzhzwO","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Bolivia","Francesca Michielin","2640","2018","Winter",34,0.0883,0.617,0.745,5.66e-05,0.198,-5.083,0.0684,79.038,"1","0",216026,0.205,"4","0TRqqwkNZaJ6aJ6277kbbu","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Brividi","Mahmood","Brividi","2022","Winter",65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,"7","1",199146,0.342,"4","1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Mi Ci Metto","SWF","Mi Ci Metto","2020","Winter",8,0.524,0.764,0.775,0,0.0747,-5.206,0.105,159.99,"5","0",219617,0.738,"4","0ZuZdad9GPh8GYF87ngarh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Vacation","The Go-Go's","Vacation","1982","missing",57,0.0875,0.5,0.823,0,0.316,-8.64,0.0264,156.79,"4","1",179826,0.88,"4","0oc7YoWV783fGr2GbdcIrz","album rock","candy pop","classic rock","girl group","heartland rock","jangle pop","mellow gold","new romantic","new wave","new wave pop","permanent wave","singer-songwriter","soft rock"
"96","Piazze Di Spaccio","Niko Pandetta","RICORSO INAMMISSIBILE","2022","Autumn",37,0.189,0.779,0.597,0,0.167,-8.42,0.219,135.859,"10","0",159705,0.767,"4","5OM6WlodeEkDSByQf3tSt2","neomelodici",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Sai Cosa C’è","BLANCO","Blu Celeste","2021","Autumn",53,0.217,0.502,0.778,0,0.0756,-4.029,0.113,157.923,"3","1",149050,0.687,"4","3NI4VgVswVf503sOiZvv4m","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","7 su 7","NASKA","REBEL","2022","Spring",49,0.00246,0.443,0.895,0,0.318,-4.85,0.198,183.147,"11","1",147586,0.801,"4","2E27zWyPLrjq2d38bOC2Xn","emo rap italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Comunicare","Francesca Michielin","2640","2018","Winter",25,0.0547,0.66,0.898,0.000125,0.804,-5.157,0.2,169.962,"1","1",261346,0.532,"4","2sgyFHDeT1l5Qp5CukMHNp","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Ma il cielo è sempre più blu","Rino Gaetano","Istantanee & tabù","2021","Summer",57,0.14,0.648,0.69,0,0.232,-7.959,0.0518,145.781,"11","0",271560,0.723,"4","7vAzIVfyFp8hOVCOQChwA0","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","MANCARSI","Coma_Cose","HYPE AURA","2019","Spring",51,0.418,0.691,0.579,0,0.104,-5.076,0.0411,145.905,"2","1",229120,0.343,"4","0yWpMaNFL4IV5rUGqAjOGt","italian adult pop","italian alternative","italian indie pop","italian pop","milan indie",NA,NA,NA,NA,NA,NA,NA,NA
