"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"57","Abbi cura di te","Highsnob","Abbi cura di te",2022,"Winter",49,0.141,0.646,0.511,1.88e-06,0.165,-9.345,0.0674,111.629,"2","1",199509,0.12,"4","0GNs56eb5LSYISdi3akjeR","italian hip hop",NA,NA,NA,NA,NA
"58","LAUREA AD HONOREM (feat. Calcutta)","Marracash","NOI, LORO, GLI ALTRI",2021,"Autumn",64,0.485,0.614,0.464,0,0.0812,-8.473,0.0803,152.092,"9","1",195799,0.293,"4","0WgVvy1KelQxG6KBUukTWI","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA
"59","NON ERA VERO","Charles Muda","NON ERA VERO",2022,"Spring",2,0.695,0.722,0.625,8.42e-05,0.116,-9.62,0.377,98.014,"5","1",153061,0.728,"4","0Lw9M0FDS8x1KI9dDfvM9k",NA,NA,NA,NA,NA,NA
"60","Michelle Pfeiffer (feat. Tony Effe)","Rose Villain","Michelle Pfeiffer (feat. Tony Effe)",2022,"Spring",57,0.382,0.778,0.679,8.36e-06,0.178,-7.824,0.126,130.074,"5","0",180774,0.57,"4","1CGMJZj8kKIuK9kkO2TT7c","italian hip hop","italian pop","milan indie",NA,NA,NA
"61","CASA","Neima Ezza","CASA",2021,"Spring",60,0.138,0.356,0.76,0.109,0.234,-7.877,0.143,152.588,"8","1",197247,0.1,"5","4YhH8TVZAe2AUaz2oigGeQ","italian hip hop","trap italiana",NA,NA,NA,NA
"62","Il meglio di te","Bresh","Il meglio di te",2022,"Summer",53,0.104,0.722,0.592,9.89e-06,0.293,-6.161,0.0805,81.989,"4","0",157013,0.552,"4","2eTXrwuncNqUOAxw2YJ8lv","italian hip hop","italian pop","rap genovese",NA,NA,NA
"63","ORO (feat. Mecna)","Tredici Pietro","X Questa Notte",2021,"Spring",40,0.0733,0.877,0.579,0.012,0.148,-7.111,0.0815,100.017,"1","1",168000,0.229,"4","3vth4uMz2xpFEJOrttziH6","italian hip hop",NA,NA,NA,NA,NA
"64","No Love (feat. CoCo)","Luchè","Dove Volano Le Aquile",2022,"Spring",51,0.167,0.786,0.654,0,0.137,-7.089,0.0564,145.026,"1","0",227005,0.387,"4","6Y6mCBRLKOgd6P60YexwNb","italian hip hop","italian pop","rap napoletano",NA,NA,NA
"65","Tití Me Preguntó","Bad Bunny","Un Verano Sin Ti",2022,"Spring",87,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,"5","0",243716,0.187,"4","1IHWl5LamUGEuP4ozKQSXZ","reggaeton","trap latino","urbano latino",NA,NA,NA
"66","pretty toxic revolver","Machine Gun Kelly","lockdown sessions",2022,"Spring",62,0.189,0.701,0.406,0,0.195,-12.792,0.387,130.114,"11","0",166093,0.164,"4","28SCx38ziqfg3wwhnhFmvZ","ohio hip hop","pop rap",NA,NA,NA,NA
"67","Ghiaccio","Nayt","Un bacio (Deluxe Edition)",2016,"Spring",32,0.503,0.792,0.631,0,0.142,-11.908,0.0992,108.076,"10","1",141111,0.805,"4","3o5AiG9Omh5GWlBNKEVcA9","italian hip hop",NA,NA,NA,NA,NA
"68","LAPROVINCE #1","Rhove","LAPROVINCE #1",2022,"Winter",58,0.224,0.845,0.747,1.63e-05,0.0694,-6.239,0.197,105.871,"1","1",158372,0.51,"3","2Z9uQAn8v8m6ZPFh4bsqY4","italian hip hop","italian pop","trap italiana",NA,NA,NA
"69","Formula","Labrinth","Euphoria (Original Score from the HBO Series)",2019,"Autumn",86,0.0448,0.574,0.664,0.0553,0.146,-6.068,0.0409,144.654,"11","1",91869,0.226,"4","6EtKlIQmGPB9SX8UjDJG5s","indie poptimism","pop",NA,NA,NA,NA
"70","Ferrari - Remix","James Hype","Ferrari (Remix)",2022,"Autumn",66,0.0985,0.818,0.728,0,0.0917,-5.705,0.0724,124.974,"1","0",172000,0.597,"4","3XucsgiwXb8KPn9Csf9Zmu","deep groove house","house","pop dance","uk dance",NA,NA
"71","VORREI","PSICOLOGI","MILLENNIUM BUG",2020,"Summer",33,0.129,0.716,0.656,0,0.0843,-6.565,0.144,104.969,"6","0",168505,0.526,"4","420ebs5rimBgbzdRaKoNXR","italian hip hop","italian pop","rome indie",NA,NA,NA
"72","Wild Thoughts (feat. Rihanna)","DJ Khaled","Grateful",2017,"Summer",78,0.0329,0.671,0.672,0,0.118,-3.094,0.0688,97.979,"0","0",204173,0.632,"4","1OAh8uOEOvTDqkKFsKksCi","hip hop","miami hip hop","pop rap","rap",NA,NA
"73","PARTENOPE","LIBERATO","LIBERATO II",2022,"Spring",62,0.0652,0.692,0.552,0,0.19,-8.845,0.072,133.051,"0","1",217443,0.747,"4","60NC3OqjiISKBYbscb8vW3","italian hip hop","italian indie pop","italian pop","r&b italiano","rap napoletano",NA
"74","Ferrari","James Hype","Ferrari",2022,"Spring",84,0.0127,0.847,0.69,6e-05,0.0526,-7.877,0.0493,125.004,"1","0",186661,0.692,"4","4zN21mbAuaD0WqtmaTZZeP","deep groove house","house","pop dance","uk dance",NA,NA
"75","die in california (feat. Gunna, Young Thug & Landon Barker)","Machine Gun Kelly","mainstream sellout (life in pink deluxe)",2022,"Summer",45,0.238,0.765,0.606,4.14e-06,0.088,-7.495,0.0572,98.948,"2","1",207007,0.197,"4","0hJYOWbAoqYCICLXdx6rYH","ohio hip hop","pop rap",NA,NA,NA,NA
"76","Ma Jolie (feat. ANNA)","Medy","Ma Jolie (feat. ANNA)",2022,"Spring",62,0.0415,0.778,0.841,0,0.0934,-4.857,0.0581,129.979,"1","1",158769,0.822,"4","7J4FSE9i1mo3ZHtaMy27dy","italian hip hop","trap italiana",NA,NA,NA,NA
"77","TSO","Caffellatte","TSO",2022,"Winter",12,0.245,0.6,0.852,0,0.143,-4.207,0.0506,98.959,"7","1",189696,0.596,"4","361XEjtQol1QjvRNNKZisL","r&b italiano",NA,NA,NA,NA,NA
