"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"61","Non Abbiamo Età","Luchè","Potere",2018,"Summer",69,0.0522,0.372,0.689,0,0.154,-4.711,0.243,193.259,"6","1",181661,0.191,"4","0NwuXciw6eQc4edjwSBnV3","italian hip hop","italian pop","rap napoletano",NA,NA
"62","El Party","Jake La Furia","El Party",2017,"Summer",60,0.00387,0.672,0.804,0,0.0577,-5.746,0.0344,123.986,"6","0",211417,0.57,"4","19LRRuiMQ8a9jhqSf8jVip","italian hip hop","italian pop",NA,NA,NA
"63","Visti Dall'Alto (feat. Dardust)","Rkomi","Dove Gli Occhi Non Arrivano",2019,"Spring",52,0.139,0.44,0.587,0,0.0903,-8.337,0.0851,83.39,"10","0",196253,0.594,"4","50Im1CDeBfRbJUPacCEIOS","italian hip hop","italian pop",NA,NA,NA
"64","SLATT (feat. Capo Plaza)","Rondodasosa","GIOVANE RONDO",2020,"Autumn",62,0.0719,0.778,0.488,0,0.0935,-5.361,0.0489,133.052,"1","1",217443,0.457,"4","1YvhcTM8aIRTg03AavA2HJ","drill italiana","italian hip hop","trap italiana",NA,NA
"65","Cali","Vale Pain","2020",2020,"Winter",61,0.301,0.796,0.636,0,0.215,-10.58,0.225,97.953,"2","1",198367,0.563,"4","2Dlll94x7rzrrw2mN0PGjE","trap italiana",NA,NA,NA,NA
"66","Siamo uguali","Lorenzo Fragola","1995",2015,"Spring",49,0.0901,0.646,0.55,0,0.105,-7.597,0.0279,95.042,"0","1",250053,0.452,"4","1E646EbKhR5pVWZGswXta8","italian adult pop","italian pop",NA,NA,NA
"67","Boogie Nights (feat. Ghali)","Rkomi","Dove Gli Occhi Non Arrivano",2019,"Spring",46,0.101,0.885,0.601,0,0.157,-7.02,0.218,114.031,"3","0",180520,0.77,"4","4MmTsaYqv9QR3yzbMeiNS5","italian hip hop","italian pop",NA,NA,NA
"68","Ricchi x Sempre","Sfera Ebbasta","Rockstar",2018,"Winter",65,0.196,0.599,0.734,0,0.187,-7.568,0.413,211.842,"3","0",223786,0.133,"4","0kHTkvGavvk2MjBTSUtOZx","italian hip hop","italian pop","trap italiana","trap latino",NA
"69","Settimana Bianca","Il Pagante","Paninaro 2.0",2018,"Autumn",62,0.0785,0.695,0.898,1.97e-05,0.21,-1.635,0.0907,126.046,"2","0",160476,0.55,"4","5BqUbKq9rCMrCkRtAiz8XA","italian adult pop","italian pop",NA,NA,NA
"70","Scrivile Scemo","Pinguini Tattici Nucleari","AHIA!",2020,"Winter",68,0.123,0.617,0.916,0,0.183,-3.538,0.0317,135.091,"9","1",214926,0.552,"4","71r3UlkV7sWvUYjas5paqi","bergamo indie","italian indie pop","italian pop","milan indie",NA
"71","Pensando a lei","Shiva","Pensando a lei",2022,"Winter",59,0.0551,0.79,0.68,0,0.0761,-6.787,0.223,143.046,"1","1",176245,0.61,"4","4Yi4RRhp3nfKR1FDbXlHBp","italian hip hop","italian pop","trap italiana",NA,NA
"72","MUJER","Icy Subzero","MUJER",2022,"Summer",68,0.32,0.651,0.819,0,0.345,-4.695,0.175,92.003,"4","0",161739,0.513,"4","6K8MYTkn5mZzF6p14hV5cj","italian hip hop",NA,NA,NA,NA
"73","Hace Calor - Remix","Kaleb Di Masi","Hace Calor (Remix)",2022,"Summer",68,0.367,0.889,0.618,0.00438,0.105,-5.124,0.0627,130.021,"5","0",247384,0.444,"4","3h043RAJ7tKaG1HDFeet6w","cumbia 420","rkt",NA,NA,NA
"74","Twerk (con Boro)","MamboLosco","Arte",2019,"Autumn",60,0.0504,0.906,0.525,2.88e-06,0.0859,-7.482,0.305,96.005,"9","1",152440,0.365,"4","4jiCUUfjuJoG03gnw3jj1r","italian pop","trap italiana",NA,NA,NA
"75","Drippin' in Milano","ANNA","Drippin' in Milano",2021,"Summer",57,0.0964,0.841,0.772,0,0.136,-3.825,0.199,93.032,"6","0",159989,0.496,"4","1TrjxEcRPHvaLF3saKCSs4","italian hip hop","italian pop",NA,NA,NA
"76","FALENA (feat. Franco126, Coez & Ketama126)","Sick Luke","X2",2022,"Winter",57,0.161,0.595,0.68,0,0.198,-5.665,0.0553,95.89,"0","0",215016,0.235,"4","1FEAEKjVQLZuSeb0omUxep","italian hip hop","trap italiana",NA,NA,NA
"77","TOO MUCH","Il Pagante","Paninaro 2.0",2018,"Autumn",44,0.00722,0.745,0.833,0,0.0577,-4.697,0.179,140.066,"9","0",174000,0.554,"4","6bMJkRMl8ukFj6w3p2zouw","italian adult pop","italian pop",NA,NA,NA
"78","PISTOLE NELLA GUCCI","Janax","PISTOLE NELLA GUCCI",2021,"Spring",54,0.272,0.845,0.827,0.0025,0.138,-5.439,0.0583,127.975,"3","1",155637,0.699,"4","6Yr8GTr8sH2lXgYnTfY0Lc","rap siciliano",NA,NA,NA,NA
"79","5 Gocce (feat. Rkomi)","Irama","Il giorno in cui ho smesso di pensare",2022,"Winter",68,0.279,0.742,0.808,9.85e-06,0.325,-5.206,0.059,74.992,"4","1",160000,0.846,"4","3z0GeNGWyVduziP1cQ0mFN","italian adult pop","italian pop",NA,NA,NA
"80","LA DOLCE VITA","Fedez","LA DOLCE VITA",2022,"Summer",62,0.0124,0.737,0.858,0,0.382,-3.589,0.0527,144.991,"8","1",187862,0.919,"4","0I0b7uTFfHhBz5bMkSDouF","italian adult pop","italian pop",NA,NA,NA
"81","Senza Emotions (feat. ANNA)","Vale Pain","Senza Emotions (feat. ANNA)",2022,"Autumn",56,0.204,0.437,0.666,0,0.176,-8.535,0.146,139.906,"7","0",140050,0.515,"4","71LQrUFG59w2vjhYe8Epue","trap italiana",NA,NA,NA,NA
"82","North Face (feat. Vale Lambo & Yung Snapp)","Lele Blade","AMBIZIONE",2022,"Spring",50,0.181,0.774,0.587,0,0.126,-5.681,0.068,143.989,"1","1",217866,0.398,"4","6zOvAWsK27O0VDmCa6iy3h","italian hip hop","rap napoletano",NA,NA,NA
"83","Marciapiede (con Tony Effe, Ernia & Rkomi)","Night Skinny","Botox",2022,"Autumn",46,0.264,0.48,0.569,0,0.317,-7.514,0.187,87.115,"2","0",156827,0.32,"4","73vDLslbbGUsK4MvX99pWQ","italian hip hop","rap siciliano","trap italiana",NA,NA
"84","48H (feat. Sfera Ebbasta)","Izi","Aletheia",2019,"Spring",60,0.307,0.755,0.502,0,0.105,-9.08,0.0655,149.919,"5","0",198125,0.6,"4","05mrU7mN3c1822bpY58UBC","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"85","Louboutin","Vale Pain","Louboutin",2020,"Summer",53,0.0317,0.771,0.611,1.03e-06,0.112,-6.433,0.203,144.057,"10","0",240000,0.479,"4","7fzaDe7qR6IX2w275uX4Th","trap italiana",NA,NA,NA,NA
"86","Ma Jolie (feat. ANNA)","Medy","Ma Jolie (feat. ANNA)",2022,"Spring",62,0.0415,0.778,0.841,0,0.0934,-4.857,0.0581,129.979,"1","1",158769,0.822,"4","7J4FSE9i1mo3ZHtaMy27dy","italian hip hop","trap italiana",NA,NA,NA
"87","Propaganda","Fabri Fibra","Caos",2022,"Spring",57,0.0372,0.894,0.778,0,0.178,-3.868,0.0881,105.015,"4","0",213506,0.888,"4","6t0ovtgnoAq9orbnisSzZp","italian hip hop","italian pop","rap napoletano",NA,NA
"88","La zone (feat. Shiva)","Rhove","La zone (feat. Shiva)",2021,"Summer",63,0.0277,0.868,0.614,0,0.0868,-4.652,0.0607,130.01,"1","0",158769,0.9,"4","2Q1ICiLBk9lmLQz7GhMoWB","italian hip hop","italian pop","trap italiana",NA,NA
"89","PANICO (feat. Takagi & Ketra)","Lazza","SIRIO",2022,"Spring",71,0.0615,0.788,0.731,0,0.0997,-6.082,0.047,127.03,"4","0",188564,0.258,"4","0SsUOrXUM2gZxVLYizZfQZ","italian hip hop","italian pop","rap genovese","trap italiana",NA
"90","BABE","ANNA","LISTA 47",2022,"Summer",54,0.0404,0.73,0.921,4.17e-06,0.0907,-3.057,0.0756,109.024,"10","0",182758,0.418,"4","2CWHg8U4e8aMz4x2aL6P3O","italian hip hop","italian pop",NA,NA,NA
"91","m%n","thasup","c@ra++ere s?ec!@le",2022,"Autumn",50,0.517,0.767,0.669,0,0.0839,-4.666,0.0529,128.621,"10","0",174360,0.513,"4","7Ish6oOHNKDdQIgyOX5jsZ","italian hip hop","italian pop","trap italiana",NA,NA
"92","Non mi avete fatto niente","Ermal Meta","Non abbiamo armi",2018,"Winter",48,0.309,0.568,0.89,0,0.207,-4.612,0.0554,90.025,"6","1",208080,0.644,"4","6d3sJyECf0XccpnosXyxT7","italian adult pop",NA,NA,NA,NA
"93","Domani è un altro film","Dear Jack","Domani è un altro film (prima parte)",2014,"Spring",38,0.0119,0.379,0.637,0,0.0738,-5.533,0.0282,155.881,"0","1",216160,0.116,"4","5XeU0d5XZcxkkOagd8dzPr","italian adult pop","italian pop",NA,NA,NA
"94","BABY","Rondodasosa","GIOVANE RONDO",2020,"Autumn",52,0.0217,0.574,0.688,0,0.1,-6.403,0.0469,154.819,"5","0",189677,0.309,"4","2P0HB1i036c7N98ZrzH9Ar","drill italiana","italian hip hop","trap italiana",NA,NA
"95","Freddie","Pinguini Tattici Nucleari","Fuori dall'Hype",2019,"Spring",43,0.38,0.608,0.596,0,0.26,-3.829,0.0321,159.975,"7","1",297040,0.321,"3","4c1UZslwZemuKuNfA0MABu","bergamo indie","italian indie pop","italian pop","milan indie",NA
"96","Michelle Pfeiffer (feat. Tony Effe)","Rose Villain","Michelle Pfeiffer (feat. Tony Effe)",2022,"Spring",57,0.382,0.778,0.679,8.36e-06,0.178,-7.824,0.126,130.074,"5","0",180774,0.57,"4","1CGMJZj8kKIuK9kkO2TT7c","italian hip hop","italian pop","milan indie",NA,NA
"97","ESAGERATA","Tananai","ESAGERATA",2021,"Winter",43,0.0233,0.753,0.65,9.57e-05,0.104,-5.337,0.0545,115.013,"0","1",198782,0.407,"4","6yRqZK6gIT3zVu3y5JPcaF","italian pop",NA,NA,NA,NA
"98","c!ao (feat. Rondodasosa)","thasup","c@ra++ere s?ec!@le",2022,"Autumn",61,0.112,0.549,0.908,0,0.0993,-3.542,0.194,94.007,"2","1",212920,0.486,"4","63HrhoJeSnrEYjPMDQHCOv","italian hip hop","italian pop","trap italiana",NA,NA
"99","Insieme","VillaBanks","Sex Festival",2022,"Autumn",45,0.316,0.726,0.74,0,0.184,-7.225,0.218,98.016,"6","0",162229,0.536,"4","1R7sy7OoLOIagH2G2NZAEO","italian hip hop","italian pop","trap italiana",NA,NA
"100","Lo Stadio","Tiziano Ferro","TZN -The Best Of Tiziano Ferro (Deluxe)",2014,"Winter",53,0.0778,0.531,0.847,0,0.334,-2.78,0.0456,123.015,"10","1",225200,0.291,"4","6bnwDSHhHH0fIYof65JnEA","italian adult pop","italian pop",NA,NA,NA
"101","Stanza Singola (feat. Tommaso Paradiso)","Franco126","Stanza Singola",2019,"Winter",61,0.599,0.676,0.47,0,0.209,-7.831,0.0582,129.916,"10","1",196615,0.543,"4","23hpOtox5sIuRqVBVVJxsO","italian hip hop","italian pop","rome indie",NA,NA
