"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"82","Rain","The Script","Freedom Child","2017","Autumn",62,0.241,0.689,0.586,0,0.356,-7.61,0.107,93.02,"6","1",209346,0.611,"4","2QWP8NYYplOqEFBYGCcq0S","celtic rock","pop",NA,NA,NA,NA,NA,NA,NA
"83","Dove Sei","Federica Carta","Molto Più Di Un Film","2018","Spring",46,0.238,0.581,0.608,0,0.342,-4.918,0.0405,82.937,"0","0",194920,0.435,"4","7IogaeyA4ubZcmQw50T4Ut","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"84","Stability","Bobbylene","Stability","2021","Summer",21,0.329,0.685,0.472,0,0.335,-8.023,0.0519,121.988,"9","1",204780,0.5,"4","2glR3fWW1El1xpY9DuQtDN","acoustic cover",NA,NA,NA,NA,NA,NA,NA,NA
"85","Motivation","Sum 41","All Killer, No Filler","2001","Winter",62,0.000887,0.503,0.891,0,0.0651,-6.365,0.0982,168.336,"4","1",169960,0.87,"4","6joQ1zE0lhx0UazVTK05Xc","alternative metal","canadian pop punk","canadian punk","modern rock","nu metal","pop punk","post-grunge","punk","rock"
"86","Science & Faith","The Script","Science & Faith","2010","Autumn",53,0.00294,0.577,0.837,2.4e-06,0.334,-4.05,0.025,104.96,"1","1",259880,0.453,"4","0cnouzAiEjdjXB5xVVQ8Vo","celtic rock","pop",NA,NA,NA,NA,NA,NA,NA
"87","Afire Love","Ed Sheeran","x (Wembley Edition)","2015","Autumn",40,0.464,0.552,0.637,1.63e-05,0.136,-6.568,0.0445,97.97,"5","1",314280,0.333,"4","0jnNYYeMqMdreIsN22PzGk","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA,NA
"88","The Reason","Hoobastank","The Reason (15th Anniversary Deluxe)","2003","Winter",84,0.0129,0.472,0.671,0,0.159,-4.649,0.029,82.952,"4","1",232800,0.0681,"4","77loZpT5Y5PRP1S451P9Yz","alternative metal","funk metal","nu metal","pop rock","post-grunge",NA,NA,NA,NA
"89","We're All To Blame","Sum 41","Chuck","2004","Autumn",63,0.00173,0.204,0.891,0,0.0874,-4.958,0.0863,80.396,"8","0",218946,0.285,"4","2cYoayTRed9m3scuQzKq8Z","alternative metal","canadian pop punk","canadian punk","modern rock","nu metal","pop punk","post-grunge","punk","rock"
"90","If You Could See Me Now","The Script","#3 Deluxe Version","2012","Autumn",64,0.00569,0.602,0.758,0,0.145,-6.864,0.0399,100.017,"0","1",219546,0.368,"4","6EzSy7WxNCazx3csu7lxdV","celtic rock","pop",NA,NA,NA,NA,NA,NA,NA
"91","After All","Children of Indigo","After All","2021","Autumn",35,0.928,0.565,0.347,9.7e-05,0.114,-12.023,0.0342,123.801,"9","1",159942,0.377,"4","0BCc9pCOMD5wGhwIyC043w","modern indie folk","ottawa indie",NA,NA,NA,NA,NA,NA,NA
"92","Notti In Bianco","BLANCO","Notti In Bianco","2020","Summer",58,0.355,0.58,0.778,0,0.0769,-4.141,0.0473,150.096,"6","1",176400,0.612,"4","38UoVEHcZ85EGBo6k79643","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"93","Out For Blood","Sum 41","Order In Decline","2019","Summer",60,7.35e-05,0.553,0.868,0.0359,0.0934,-4.186,0.048,140.054,"6","0",216571,0.5,"4","30XUVaCG8ghAiE45SnXLhn","alternative metal","canadian pop punk","canadian punk","modern rock","nu metal","pop punk","post-grunge","punk","rock"
"94","No Good in Goodbye","The Script","No Sound Without Silence","2014","Autumn",54,0.0104,0.366,0.873,0,0.0839,-4.654,0.0436,156.03,"4","1",307680,0.216,"4","0Dv4DdNy1xnhNcCd9YVoiH","celtic rock","pop",NA,NA,NA,NA,NA,NA,NA
"95","Someone To You","BANNERS","Where The Shadow Ends","2019","Autumn",79,0.00517,0.52,0.903,0,0.254,-5.497,0.042,74.988,"2","1",219801,0.652,"4","2f0pn9DkEJwAzXApnFh5cr","indie poptimism",NA,NA,NA,NA,NA,NA,NA,NA
"96","Fly","Mona Lisa Tribe","Fly","2020","Summer",23,0.411,0.573,0.571,0,0.131,-5.462,0.0261,87.034,"2","1",263448,0.143,"4","0DLqnyo3kmEu8SkOr0uSvd",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Makes No Difference","Sum 41","Half Hour Of Power","2000","Summer",52,0.000206,0.5,0.896,4.11e-05,0.0478,-4.683,0.0536,107.791,"3","1",190426,0.604,"4","0dEKHXkMPrC5vQkjPtmOic","alternative metal","canadian pop punk","canadian punk","modern rock","nu metal","pop punk","post-grunge","punk","rock"
"98","True Colors","Artists Against","True Colors","2012","Autumn",36,0.131,0.563,0.585,0,0.288,-6.608,0.0346,75.089,"0","1",230053,0.353,"4","74zpVBJDeKHniaA8psl8ep","musical advocacy",NA,NA,NA,NA,NA,NA,NA,NA
"99","Talk You Down","The Script","The Script","2008","Summer",42,0.0535,0.537,0.906,0,0.155,-3.928,0.0425,136.036,"0","1",230693,0.386,"4","2iMHukOWdnvCB1G4kNxibG","celtic rock","pop",NA,NA,NA,NA,NA,NA,NA
"100","Ripple","Children of Indigo","Ripple","2021","Summer",35,0.783,0.577,0.538,0.000208,0.122,-7.72,0.0296,79.957,"2","1",225486,0.517,"4","6bpRnYGc1NLQKuRNBLR4Yp","modern indie folk","ottawa indie",NA,NA,NA,NA,NA,NA,NA
"101","My Direction","Sum 41","Does This Look Infected?","2002","Winter",46,0.000167,0.444,0.963,6.13e-05,0.0996,-4.045,0.115,164.027,"10","1",122693,0.788,"4","0JS5s9DeP9ycfzEIKTwMys","alternative metal","canadian pop punk","canadian punk","modern rock","nu metal","pop punk","post-grunge","punk","rock"
