"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"46","MIDDLE OF THE NIGHT","Elley Duhé","MIDDLE OF THE NIGHT","2020","Winter",85,0.0228,0.41,0.611,0,0.116,-8.271,0.0467,185.727,"4","0",184447,0.0899,"3","58HvfVOeJY7lUuCqF0m3ly","alt z",NA,NA,NA,NA,NA,NA,NA
"47","TEMPORALE (feat. Ketama126, Izi & Luche)","Sick Luke","X2","2022","Winter",48,0.279,0.639,0.86,0,0.166,-3.833,0.0357,151.927,"0","0",196046,0.334,"4","7JU00ScKFiTaZLFU2Nj6gc","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA
"48","Parli Di Me (feat. Rkomi)","Bresh","ORO BLU","2022","Spring",50,0.044,0.738,0.515,0,0.319,-7.93,0.156,97.013,"11","0",162500,0.664,"4","0hRc3InGWplN0WKV2VT06n","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"49","X (with KAROL G)","Jonas Brothers","XV","2020","Spring",61,0.0485,0.715,0.827,3.61e-05,0.321,-5.09,0.0617,117.977,"4","0",185277,0.75,"4","77fvnWALKJR0ws1VUx09CY","boy band","pop",NA,NA,NA,NA,NA,NA
"50","Robbery","Juice WRLD","Death Race For Love (Bonus Track Version)","2019","Spring",82,0.328,0.623,0.692,0,0.153,-5.122,0.0504,79.899,"2","1",240050,0.566,"4","6iaSML1PIYq936g62BDtBq","chicago rap","melodic rap","rap",NA,NA,NA,NA,NA
"51","One More Night","Maroon 5","Overexposed Track By Track","2012","Winter",80,0.0558,0.716,0.821,0,0.0844,-3.435,0.0314,92.997,"5","0",219546,0.618,"4","6cpk00i5TxCqSeqNi2HuIe","pop",NA,NA,NA,NA,NA,NA,NA
"52","Da Buttare (feat. Bresh, Disme)","Cromo","PuroSangue Mixtape","2020","Autumn",25,0.13,0.684,0.779,0,0.136,-4.857,0.119,77.015,"11","0",242447,0.332,"4","5wjzyjwfj0bHeH5XQ3INQB","italian hip hop","rap genovese",NA,NA,NA,NA,NA,NA
"53","Paralyzer","Finger Eleven","Them Vs. You Vs. Me (Deluxe Edition)","2007","Winter",78,0.157,0.644,0.939,0,0.233,-3.486,0.0456,106.031,"11","0",208106,0.861,"4","28IEbk5a7twNTbUEvWslUb","alternative metal","canadian rock","funk metal","nu metal","post-grunge",NA,NA,NA
"54","okk@pp@","thasup","okk@pp@","2022","Autumn",46,0.0963,0.747,0.675,0.000342,0.345,-4.879,0.0422,106.96,"10","1",142373,0.683,"4","6Eut6MtJYENAxBtNG0stnT","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA
"55","Hooked On A Feeling","Blue Swede","Hooked On A Feeling","1973","Spring",75,0.261,0.547,0.82,0,0.3,-6.728,0.0805,118.208,"8","1",172866,0.933,"4","6Ac4NVYYl2U73QiTt11ZKd","classic swedish pop",NA,NA,NA,NA,NA,NA,NA
"56","Check It Out","Oh The Larceny","Oh the Larceny","2017","Winter",58,0.0174,0.643,0.944,0.0013,0.3,-3.514,0.0844,120.034,"5","0",161500,0.715,"4","7KkjTn0eDfjhyNLkhnEjCl","bossbeat","rebel blues",NA,NA,NA,NA,NA,NA
"57","Lifetime (with Ty Dolla $ign & 070 Shake)","Swedish House Mafia","Paradise Again","2022","Spring",63,0.0205,0.584,0.718,2.99e-06,0.906,-7.824,0.126,99.841,"11","0",186805,0.155,"4","3QqHt507QJZCzluEYsnv4u","edm","pop dance","progressive electro house",NA,NA,NA,NA,NA
"58","Drive (feat. Chip, Russ Millions, French The Kid, Wes Nelson & Topic)","Ayo Beatz","Drive (feat. Chip, Russ Millions, French The Kid, Wes Nelson & Topic)","2021","Autumn",45,0.0923,0.596,0.728,0,0.136,-5.667,0.363,132.989,"10","0",224871,0.495,"4","2BPtQJAugxubLbyVWROodm",NA,NA,NA,NA,NA,NA,NA,NA
"59","When Did Your Heart Go Missing?","Rooney","Calling The World","2007","Winter",50,0.00176,0.598,0.93,0,0.0353,-4.014,0.0466,175.795,"9","0",213333,0.97,"4","7bBEDtVmP86Zli3NmBV17y","modern power pop",NA,NA,NA,NA,NA,NA,NA
"60","Andrea","Bresh","Andrea","2022","Winter",46,0.281,0.367,0.596,0,0.125,-8.04,0.118,175.658,"11","0",185125,0.325,"3","03j2Lo97VCDprSk8oLb8Gi","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"61","idfc","blackbear","dead","2015","Summer",78,0.0764,0.718,0.422,0,0.17,-9.115,0.0621,144.678,"4","0",207026,0.455,"4","3SErMoIKdRELto2OspGs5L","pop",NA,NA,NA,NA,NA,NA,NA
"62","Amazing","George Michael","Patience","2004","Spring",62,0.0884,0.805,0.754,1.77e-06,0.117,-6.825,0.0394,128.429,"10","0",265826,0.88,"4","0hsrqeudoR9Kymm7RNiVoq","new wave pop",NA,NA,NA,NA,NA,NA,NA
"63","LUNA PIENA (con IRAMA)","Rkomi","TAXI DRIVER","2021","Autumn",67,0.405,0.722,0.841,0,0.0876,-3.561,0.0545,99.963,"1","1",166983,0.467,"4","6z7tGTD6yvyloEm6K2H8EX","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"64","Open Bar","Il Pagante","Devastante","2022","Winter",50,0.088,0.843,0.879,0,0.056,-4.046,0.151,122.019,"11","0",190327,0.824,"4","1Ia2pWls0xmcvZmtqZ3Ksn","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA
"65","Freedom for my People","Oliver Heldens","Freedom for my People","2020","Winter",32,0.179,0.435,0.737,0.0463,0.115,-6.562,0.0481,122.007,"11","0",297054,0.282,"4","7wOirxr2EhVVFeG8Rs0Jnx","dutch house","edm","electro house","future house","house","pop dance","progressive electro house","progressive house"
"66","THATS WHAT I WANT","Lil Nas X","MONTERO","2021","Autumn",83,0.00614,0.737,0.846,0,0.0486,-4.51,0.22,87.981,"1","0",143901,0.546,"4","0e8nrvls4Qqv5Rfa2UhqmO","lgbtq+ hip hop",NA,NA,NA,NA,NA,NA,NA
"67","Prometto (feat. Rkomi & Luchè)","Night Skinny","Mattoni","2019","Autumn",61,0.0506,0.757,0.781,0,0.1,-9.071,0.101,100.027,"1","0",194861,0.326,"4","35DgCphwTxRkI2jUec0mWA","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA,NA
"68","GLI ALTRI (Giorni Stupidi)","Marracash","NOI, LORO, GLI ALTRI","2021","Autumn",55,0.0534,0.602,0.844,0,0.0662,-3.903,0.142,93.952,"2","1",201000,0.499,"4","17cDJE4DUg0yyt5ul8xo2K","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"69","Bones","Imagine Dragons","Bones","2022","Spring",83,0.0206,0.773,0.742,0,0.0754,-3.678,0.046,114.071,"5","0",165264,0.571,"4","0HqZX76SFLDz2aW8aiqi7G","modern rock","pop","rock",NA,NA,NA,NA,NA
"70","Something Stupid (feat. AWA)","Jonas Blue","Something Stupid (feat. AWA)","2021","Winter",54,0.276,0.705,0.864,0.00037,0.0872,-5.13,0.0344,120.012,"0","0",176734,0.626,"4","2UCu2FoXFZpCT36lYzej4O","pop","pop dance","tropical house","uk dance",NA,NA,NA,NA
"71","NO HEROES - Outro","Bresh","CHE IO MI AIUTI","2020","Winter",35,0.168,0.636,0.66,0,0.113,-8.089,0.0945,169.893,"0","1",231235,0.57,"4","5dkNyMGXUc3UQ2kEt19BDx","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"72","Ainsi bas la vida","Indila","Mini World (Deluxe)","2014","Autumn",71,0.0486,0.776,0.641,5.77e-06,0.0977,-6.925,0.0981,128.05,"8","1",214760,0.437,"4","4lsOsGMzO1yCjGVucoWOZ1","french pop",NA,NA,NA,NA,NA,NA,NA
"73","I love you baby","Jovanotti","Mediterraneo","2022","Spring",61,0.123,0.661,0.775,0,0.237,-5.656,0.0378,139.975,"6","0",212985,0.81,"4","1v9ABGLSpdhPDEWyQ10NFD","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA
"74","Mujeriego","Ryan Castro","Mujeriego","2021","Winter",72,0.0628,0.758,0.621,0,0.0809,-8.033,0.125,79.949,"9","1",142500,0.92,"4","78kygHp1dvW1kncYjBgbe1","reggaeton","trap colombiano","trap latino","urbano latino",NA,NA,NA,NA
"75","Run","OneRepublic","Run","2021","Spring",74,0.326,0.682,0.72,0,0.148,-8.173,0.0381,117.003,"11","0",169010,0.673,"4","2UbVnbE5FH6008mAm6Mmgw","piano rock","pop",NA,NA,NA,NA,NA,NA
"76","Matto","Disme","Malverde","2020","Winter",53,0.0378,0.689,0.64,5.06e-06,0.354,-5.126,0.0754,159.944,"4","0",147479,0.369,"4","0WZFyknU3OYhcI3cl52tvy","emo trap italiana","italian hip hop","rap genovese","trap italiana",NA,NA,NA,NA
"77","hot girl bummer","blackbear","everything means nothing","2020","Summer",79,0.125,0.782,0.559,0,0.385,-7.106,0.0767,129.992,"6","0",188343,0.685,"1","6jRq8gaZhMUyy5RclRPcAf","pop",NA,NA,NA,NA,NA,NA,NA
"78","Yo Contigo, Tú Conmigo - The Gong Gong Song / El Tema De La Película ""Gru 3 Mi Villano Favorito""","Alvaro Soler","Mar De Colores (Versión Extendida)","2019","Spring",58,0.27,0.728,0.665,0,0.0637,-6.272,0.163,93.979,"10","0",179280,0.866,"4","12HWO1YYMV9HEqQpava5zm","latin pop",NA,NA,NA,NA,NA,NA,NA
"79","6 A.M.","Night Skinny","Pezzi","2017","Winter",43,0.254,0.561,0.895,0,0.0941,-4.28,0.282,129.793,"0","0",279093,0.307,"4","03uub8zPx7XK2Z4AklCUiD","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA,NA
