"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"87","CUUUUuuuuuute","ROSALÍA","MOTOMAMI",2022,"Spring",56,0.113,0.558,0.487,0.00058,0.171,-9.01,0.353,138.818,"1","1",150600,0.161,"4","3BQPPsoxlhuSIEPlNRHHZt","latin viral pop","pop","r&b en espanol",NA,NA,NA
"88","Blinding Lights","The Weeknd","After Hours",2020,"Spring",92,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,"1","1",200040,0.334,"4","0VjIjW4GlUZAMYd2vXMi3b","canadian contemporary r&b","canadian pop","pop",NA,NA,NA
"89","Outline (feat. Julie Bergan)","Crazy Cousinz","Outline (feat. Julie Bergan)",2020,"Spring",37,0.029,0.705,0.701,0,0.179,-3.444,0.0512,124.967,"7","1",204373,0.589,"4","1jO5cLkg1lJdYqgR2WPAwM","uk funky",NA,NA,NA,NA,NA
"90","Callaita","Bad Bunny","Un Verano Sin Ti",2022,"Spring",78,0.597,0.608,0.626,2.16e-06,0.25,-4.773,0.301,176.086,"2","1",250533,0.246,"4","71wFwRo8xGc4lrcyKwsvba","reggaeton","trap latino","urbano latino",NA,NA,NA
"91","CHICKEN TERIYAKI","ROSALÍA","MOTOMAMI",2022,"Spring",66,0.454,0.788,0.4,0.000141,0.0686,-6.454,0.115,97.936,"2","1",122226,0.558,"4","6hH6QJ9ZAO0Z6m7PfvLoXW","latin viral pop","pop","r&b en espanol",NA,NA,NA
"92","I Feel It Coming","The Weeknd","The Highlights",2021,"Winter",53,0.415,0.773,0.815,0,0.087,-5.933,0.128,92.973,"0","0",269176,0.559,"4","23Gv9vq4FurPK6np6xX0Bi","canadian contemporary r&b","canadian pop","pop",NA,NA,NA
"93","Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5","JORDI (Deluxe)",2021,"Summer",80,0.0377,0.713,0.676,0,0.154,-5.483,0.027,99.048,"10","1",227395,0.721,"4","5zFglKYiknIxks8geR8rcL","pop",NA,NA,NA,NA,NA
"94","Don’t Go (with Justin Bieber & Don Toliver)","Skrillex","Don’t Go (with Justin Bieber & Don Toliver)",2021,"Summer",63,0.019,0.689,0.695,0,0.123,-5.22,0.0429,75.05,"11","1",168253,0.359,"4","55sgQENF3LY1sUcJUwasLl","brostep","complextro","edm","electro","pop dance",NA
"95","Scenic Drive (feat. Ari Lennox & Smino)","Khalid","Scenic Drive (The Tape)",2021,"Winter",60,0.0258,0.367,0.552,0.000217,0.154,-9.109,0.0504,93.467,"7","0",249773,0.0778,"5","6zIen2DYr2t19vbwqgORY2","pop","pop r&b",NA,NA,NA,NA
"96","The Hills","The Weeknd","Beauty Behind The Madness",2015,"Summer",89,0.0671,0.585,0.564,0,0.135,-7.063,0.0515,113.003,"0","0",242253,0.137,"4","7fBv7CLKzipRk6EC6TWHOB","canadian contemporary r&b","canadian pop","pop",NA,NA,NA
"97","Volví","Aventura","Volví",2021,"Summer",81,0.422,0.725,0.86,0.000284,0.0674,-3.726,0.182,175.896,"1","1",230125,0.791,"4","2vmfvSoZBFAt9hhRoEByLi","bachata","bachata dominicana","latin hip hop","latin pop","tropical","urbano latino"
"98","La Old Skul","Rauw Alejandro","VICE VERSA",2021,"Winter",74,0.532,0.795,0.798,1.02e-05,0.0869,-2.357,0.08,104.912,"9","0",214857,0.397,"4","4Z8HZSApeddaRM2ovivUj4","puerto rican pop","reggaeton","trap latino","urbano latino",NA,NA
"99","Be Alive (Original Song from the Motion Picture ""King Richard"")","Beyoncé","Be Alive (Original Song from the Motion Picture ""King Richard"")",2021,"Autumn",56,0.0415,0.673,0.518,1.1e-06,0.237,-3.983,0.066,78.933,"2","1",220253,0.242,"4","1RI4YQVFh7onQD07QuL8ND","pop","r&b",NA,NA,NA,NA
"100","Pray For Me","The Weeknd","The Highlights",2021,"Winter",81,0.0867,0.732,0.678,2.41e-05,0.112,-4.977,0.0886,100.626,"2","1",211420,0.196,"4","6huNf4dutXRjJyGn7f5BPS","canadian contemporary r&b","canadian pop","pop",NA,NA,NA
"101","Isii Nafta (Love You More Than My Life)","Nimco Happy","Isii Nafta (Love You More Than My Life)",2021,"Autumn",52,0.508,0.827,0.915,0,0.311,-3.286,0.16,114.926,"10","0",190560,0.944,"4","5LqZfoepOXWxbvP8JfJfHb","somali pop",NA,NA,NA,NA,NA
