"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3"
"29","loml","ATARDE","loml",2021,"Autumn",20,0.511,0.537,0.494,0.000788,0.122,-9.544,0.0659,180.14,"0","0",160006,0.281,"4","52ybxykd8QLTOrOt4T9lkx",NA,NA,NA
"30","Sorpresa (feat. Nayt)","CanovA","Sorpresa (feat. Nayt)",2021,"Winter",49,0.531,0.599,0.6,0,0.206,-6.876,0.049,153.942,"0","0",193298,0.619,"4","2JbrFFQEv0HgWZnsXaY4v7","italian pop",NA,NA
"31","Fumo","BALTIMORA","Marecittà",2022,"Spring",18,0.901,0.597,0.161,0,0.106,-16.459,0.178,113.53,"9","0",138082,0.266,"4","3o1YZfIy94sjwz5qIvOBqH",NA,NA,NA
"32","CIELO DRIVE","PAULO","CIELO DRIVE",2022,"Winter",20,0.0818,0.468,0.699,0,0.335,-6.293,0.0393,79.925,"2","1",143906,0.299,"4","4QXnwCNswo3RzJzAr1EjWP","emo trap italiana",NA,NA
"33","bulbi","ATARDE","bulbi",2021,"Winter",30,0.485,0.616,0.582,0,0.353,-6.251,0.0516,97.903,"0","1",162631,0.625,"4","6kNdTITP0TrbHzbapseqkN",NA,NA,NA
"34","La stessa parte della luna","Emma Nolde","Dormi",2022,"Autumn",23,0.731,0.406,0.496,2.89e-06,0.0951,-6.775,0.033,108.015,"2","1",257079,0.0977,"4","75Sxtpf4qJLqtpeDiZqXWa","italian alternative","italian indie pop",NA
"35","Colore","BALTIMORA","Marecittà",2022,"Spring",25,0.62,0.604,0.395,0,0.497,-9.043,0.062,98.955,"8","0",206022,0.254,"3","62gnsBKRg5EyXPfDvDWWMZ",NA,NA,NA
"36","Segni (feat. Axos)","NIO","QUATTROMURA",2022,"Summer",17,0.241,0.801,0.545,0.000952,0.106,-8.644,0.212,115.028,"5","0",188205,0.897,"4","75rK4JtGh6cjOkseBjsA9i",NA,NA,NA
"37","Outro","PZD","Rottami",2022,"Summer",3,0.403,0.779,0.626,0.0413,0.108,-9.339,0.0437,105.026,"9","1",169714,0.204,"4","5LqKPTdMxoVK38OzhuwR0S",NA,NA,NA
"38","FIORI MORTI","PSICOLOGI","TRAUMA",2022,"Spring",52,0.12,0.46,0.76,0,0.261,-5.729,0.131,175.968,"1","1",136313,0.642,"4","0Yoizi4nA5CE4d52jRwvld","italian hip hop","italian pop","rome indie"
"39","Sempre il buio","Mecna","Sempre il buio",2022,"Spring",37,0.223,0.577,0.471,0.000102,0.141,-9.72,0.112,130.427,"11","0",215846,0.337,"4","4HWl863PEnEfKfBfYydQxl","italian hip hop","r&b italiano",NA
"40","Aria","Elex","Aria",2022,"Autumn",4,0.0832,0.558,0.703,0,0.286,-6.085,0.035,129.978,"2","0",216000,0.119,"4","0BjZnI20OPKVoefzL1Hejj",NA,NA,NA
"41","Solitudine","Oh Baro","Solitudine",2021,"Spring",32,0.807,0.773,0.423,0,0.0919,-9.314,0.0686,119.999,"1","0",142968,0.442,"4","39ahaR5ICoynut00CJRcfI",NA,NA,NA
"42","rooftop","ATARDE","difetti di forma",2023,"Winter",15,0.348,0.742,0.671,0,0.19,-7.153,0.0653,104.032,"1","1",164614,0.463,"4","5BPtprt4heBDwHLC2jDTuq",NA,NA,NA
"43","Settimane (feat. European Vampire)","Bartolini","Bart Forever",2022,"Summer",10,0.422,0.496,0.799,0,0.313,-6.736,0.19,180.201,"6","1",195990,0.569,"4","3f29D2CQlRRGeoLZ4DZfI2","italian indie pop",NA,NA
"44","Andrea","Bresh","Andrea",2022,"Winter",46,0.281,0.367,0.596,0,0.125,-8.04,0.118,175.658,"11","0",185125,0.325,"3","03j2Lo97VCDprSk8oLb8Gi","italian hip hop","italian pop","rap genovese"
"45","Maria (feat. Tredici Pietro)","CanovA","Level One",2022,"Summer",28,0.152,0.824,0.697,0,0.103,-4.869,0.113,93.987,"7","1",127278,0.634,"4","6DI4rEuh4WRwRsn4D8DWLN","italian pop",NA,NA
"46","Asfalto bollente","PZD","Rottami",2022,"Summer",7,0.381,0.795,0.582,5.8e-06,0.148,-11.034,0.152,120.063,"9","0",178285,0.382,"4","7Kh7IgpIB0wcPWUbm56qhH",NA,NA,NA
"47","Quello Che Manca (con Rkomi)","Elisa","Ritorno Al Futuro / Back To The Future",2022,"Spring",40,0.272,0.617,0.682,5.48e-06,0.265,-7.86,0.0358,150.002,"8","1",210366,0.399,"4","78iKbOo1k73BkHpKioJ49z","italian adult pop","italian pop",NA
"48","ACQUA (feat. BLUEM & Quentin40)","Fuera","CIRCO MEZZALUNA",2022,"Spring",30,0.675,0.612,0.543,3.76e-05,0.124,-9.951,0.16,156.97,"9","1",217450,0.429,"4","5IeGfbLsgDiM3LR1LM5Hse","italian indie pop",NA,NA
"49","Fiumi di lacrime","Ganzo","San Castrese",2022,"Spring",34,0.261,0.689,0.684,0,0.107,-5.331,0.0481,123.909,"9","1",179435,0.523,"4","07Udcg18l3O10CORM1HaJG","r&b italiano",NA,NA
"50","Noel","Baobab!","Baobab!",2022,"Spring",11,0.0673,0.625,0.769,0.00223,0.123,-3.679,0.0322,115.048,"9","1",232012,0.482,"4","5OGxg6dODpjX5OTv0bG5F7",NA,NA,NA
"51","salvare","Joseph","salvare",2022,"Autumn",30,0.209,0.576,0.783,0,0.0838,-4.931,0.0689,95.266,"7","0",184421,0.565,"4","4jQCFTq0WPVBHayDkgzIFf","r&b italiano",NA,NA
"52","Fidati di me","Mida","Fidati di me",2022,"Summer",43,0.0767,0.606,0.677,0,0.264,-6.589,0.145,135.172,"0","0",132750,0.646,"4","23buzayn9V9AoQWnlI08GQ","trap italiana",NA,NA
"53","Sottomarca","PZD","Rottami",2022,"Summer",4,0.286,0.756,0.626,0,0.346,-7.657,0.0406,100.018,"2","1",149142,0.311,"4","4umejNujQo2vsZMjmQUHSX",NA,NA,NA
"54","In centro","YuzU","In centro",2021,"Spring",0,0.502,0.717,0.617,0.903,0.18,-12.988,0.0787,121.918,"11","1",166352,0.378,"4","3x5LK0QKoa5MeAsErVzzhs",NA,NA,NA
"55","PER AVERTI (feat. Rkomi)","Dylan","PER AVERTI (feat. Rkomi)",2022,"Autumn",47,0.0399,0.698,0.675,0,0.406,-5.158,0.145,124.932,"5","0",207058,0.679,"4","6oHLm5t10rVyFzTdYu0xGx","italian hip hop","trap italiana",NA
"56","Glad U Came (feat. ZieZie)","Liilz","Glad U Came (feat. ZieZie)",2022,"Spring",62,0.374,0.75,0.531,0,0.107,-8.988,0.0513,139.997,"2","0",125142,0.663,"4","0P88fVbvRQGgRQN1GulQNy","melodic drill",NA,NA
"57","Impero delle luci","Tripolare","Impero delle luci",2022,"Spring",22,0.657,0.433,0.625,4.4e-06,0.844,-9.526,0.0958,62.89,"7","1",140562,0.528,"4","1K62nbflYT9Fn1tJJ4SNff","hyperpop italiano",NA,NA
"58","Buio (Niente male)","Nino_nino","Buio (Niente male)",2020,"Summer",4,0.0542,0.394,0.721,4.06e-06,0.124,-10.368,0.226,58.754,"8","1",183181,0.478,"4","7qXNRlIDPOwxjQMfziFV0n",NA,NA,NA
"59","GIOVANE / non puoi farmi male","Sina","VORTICI",2022,"Spring",17,0.00915,0.664,0.808,9.71e-06,0.708,-6.141,0.0356,114.9,"4","0",195863,0.47,"4","6h7qBobJ9jtgn8SV6YmoxP","italian hip hop",NA,NA
"60","Quanto Ti Amo","Heartman","Quanto Ti Amo",2022,"Summer",15,0.247,0.676,0.728,0,0.107,-5.521,0.0467,145.091,"6","1",189365,0.57,"4","1NhWxGIXtR2rEfxSvc5hXb","drill italiana",NA,NA
"61","CONSIDERANDO (feat. BLUEM)","Fuera","CIRCO MEZZALUNA",2022,"Spring",35,0.628,0.627,0.681,0.00146,0.116,-8.285,0.163,106.109,"5","0",172729,0.576,"4","1oIFiW7N0If3LakSZWwfqX","italian indie pop",NA,NA
"62","okk@pp@","thasup","okk@pp@",2022,"Autumn",46,0.0963,0.747,0.675,0.000342,0.345,-4.879,0.0422,106.96,"10","1",142373,0.683,"4","6Eut6MtJYENAxBtNG0stnT","italian hip hop","italian pop","trap italiana"
"63","lipgloss","Chakra","lipgloss",2022,"Summer",41,0.0949,0.649,0.69,0,0.358,-5.461,0.184,164.979,"9","1",132363,0.822,"5","3jAvRPlnSyqrEsNf2YhdsV","italian hip hop",NA,NA
"64","Fidarti di me (feat. Coez)","Big Joe","Fidarti di me (feat. Coez)",2022,"Summer",14,0.539,0.392,0.599,0.00168,0.109,-9.077,0.325,83.104,"6","0",160454,0.418,"4","5uisDrJM8rnWmmUrUTVJMw",NA,NA,NA
"65","Scuba Diving","Olly","Scuba Diving",2022,"Winter",33,0.415,0.503,0.423,2.2e-06,0.103,-10.305,0.343,180.374,"6","1",157333,0.767,"4","5H1Mh7TJk9QeJlkpHt4Ej4","italian pop","pop virale italiano","rap genovese"
"66","1312","PSICOLOGI","TRAUMA",2022,"Spring",41,0.156,0.258,0.502,0,0.251,-8.143,0.0345,92.983,"4","0",165413,0.415,"5","358uYHCGhL4ScusugjRV1z","italian hip hop","italian pop","rome indie"
"67","Brame","NIO","Brame",2021,"Winter",6,0.573,0.575,0.456,0,0.159,-8.215,0.0308,135.007,"5","1",222888,0.203,"3","5OJGg1Y588l8WbIg23k8vH",NA,NA,NA
"68","babydontcallme","Joseph","babydontcallme",2021,"Summer",7,0.265,0.641,0.72,0,0.1,-4.791,0.0741,85.929,"10","1",166395,0.61,"4","5eSV5QLMvoXkaRgNojDAIf","r&b italiano",NA,NA
