"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"ALIBI","Lazza","SIRIO","2022-04-07",178051,57,0.286,0.753,0.705,0,0.102,-4.781,0.0734,113.037,0,1,178051,0.535,4,"1zfszqoisdKWCIfFToaMHi","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"SAPORE – with Tedua","Fedez","DISUMANO","2021-11-26",195480,57,0.061,0.76,0.692,2.8e-06,0.303,-6.243,0.113,125.041,5,1,195480,0.482,4,"6DWJhb5KfEbOOXlEcpqfh6","italian adult pop","italian pop",NA,NA,NA,NA
"La Prima Volta","Ernia","Gemelli (ascendente Milano)","2021-05-20",173877,47,0.214,0.797,0.767,0.00936,0.222,-5.38,0.107,97.985,11,0,173877,0.311,4,"3Tfl0pfnK589LKD0vJmgCZ","italian hip hop","italian pop","milan indie",NA,NA,NA
"MIDDLE OF THE NIGHT","Elley Duhé","MIDDLE OF THE NIGHT","2020-01-10",184447,86,0.0228,0.41,0.611,0,0.116,-8.271,0.0467,185.727,4,0,184447,0.0899,3,"58HvfVOeJY7lUuCqF0m3ly","alt z",NA,NA,NA,NA,NA
"REPLAY","Lazza","SIRIO","2022-04-07",191406,51,0.00958,0.419,0.594,0,0.199,-6.838,0.119,87.826,5,1,191406,0.142,4,"66b96Q6ljSGILgrtgqvPMH","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"LA CODA DEL DIAVOLO (con ELODIE)","Rkomi","TAXI DRIVER","2021-11-30",188975,68,0.132,0.481,0.748,7.77e-06,0.126,-6.007,0.356,128.777,6,0,188975,0.549,4,"6oYcyS6salzWI1ysjEScFh","italian hip hop","italian pop",NA,NA,NA,NA
"Blitz! (feat. Geolier)","Guè","GVESVS","2021-12-10",180266,58,0.191,0.766,0.674,0,0.115,-6.728,0.264,125.128,0,1,180266,0.442,4,"00gEB0MSDWojSbzIt1TrFT","italian hip hop","italian pop",NA,NA,NA,NA
"DIO PERDONAMI (64 Bars)","Various Artists","Red Bull 64 Bars, The Album","2021-05-27",150250,56,0.348,0.707,0.803,0,0.178,-4.071,0.265,119.628,7,1,150250,0.645,4,"5O6w2iUCO0z1n7jXXF0H8b",NA,NA,NA,NA,NA,NA
"TOPBOY (feat. Noyz Narcos)","Lazza","SIRIO","2022-04-07",206493,57,0.215,0.72,0.788,0,0.105,-6.637,0.281,93.331,9,0,206493,0.282,4,"0FvfjiQZ5vEO4XLGX5Uubk","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"HO SPENTO IL CIELO (con TOMMASO PARADISO)","Rkomi","TAXI DRIVER","2021-11-30",232597,48,0.0336,0.547,0.84,4.78e-06,0.0648,-5.441,0.134,157.947,1,1,232597,0.444,4,"4oGcVv1MEgDJaQayTh3PKU","italian hip hop","italian pop",NA,NA,NA,NA
