"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3"
"PER AVERTI (feat. Rkomi)","Dylan","PER AVERTI (feat. Rkomi)","2022-09-01",207058,47,0.0399,0.698,0.675,0,0.406,-5.158,0.145,124.932,5,0,207058,0.679,4,"6oHLm5t10rVyFzTdYu0xGx","italian hip hop","trap italiana",NA
"Glad U Came (feat. ZieZie)","Liilz","Glad U Came (feat. ZieZie)","2022-03-04",125142,62,0.374,0.75,0.531,0,0.107,-8.988,0.0513,139.997,2,0,125142,0.663,4,"0P88fVbvRQGgRQN1GulQNy","melodic drill",NA,NA
"Impero delle luci","Tripolare","Impero delle luci","2022-04-01",140562,22,0.657,0.433,0.625,4.4e-06,0.844,-9.526,0.0958,62.89,7,1,140562,0.528,4,"1K62nbflYT9Fn1tJJ4SNff","hyperpop italiano",NA,NA
"Buio (Niente male)","Nino_nino","Buio (Niente male)","2020-06-16",183181,4,0.0542,0.394,0.721,4.06e-06,0.124,-10.368,0.226,58.754,8,1,183181,0.478,4,"7qXNRlIDPOwxjQMfziFV0n",NA,NA,NA
"GIOVANE / non puoi farmi male","Sina","VORTICI","2022-04-21",195863,17,0.00915,0.664,0.808,9.71e-06,0.708,-6.141,0.0356,114.9,4,0,195863,0.47,4,"6h7qBobJ9jtgn8SV6YmoxP","italian hip hop",NA,NA
"Quanto Ti Amo","Heartman","Quanto Ti Amo","2022-07-22",189365,15,0.247,0.676,0.728,0,0.107,-5.521,0.0467,145.091,6,1,189365,0.57,4,"1NhWxGIXtR2rEfxSvc5hXb","drill italiana",NA,NA
"CONSIDERANDO (feat. BLUEM)","Fuera","CIRCO MEZZALUNA","2022-05-27",172729,35,0.628,0.627,0.681,0.00146,0.116,-8.285,0.163,106.109,5,0,172729,0.576,4,"1oIFiW7N0If3LakSZWwfqX","italian indie pop",NA,NA
"okk@pp@","thasup","okk@pp@","2022-09-23",142373,46,0.0963,0.747,0.675,0.000342,0.345,-4.879,0.0422,106.96,10,1,142373,0.683,4,"6Eut6MtJYENAxBtNG0stnT","italian hip hop","italian pop","trap italiana"
"lipgloss","Chakra","lipgloss","2022-07-15",132363,41,0.0949,0.649,0.69,0,0.358,-5.461,0.184,164.979,9,1,132363,0.822,5,"3jAvRPlnSyqrEsNf2YhdsV","italian hip hop",NA,NA
"Fidarti di me (feat. Coez)","Big Joe","Fidarti di me (feat. Coez)","2022-07-15",160454,14,0.539,0.392,0.599,0.00168,0.109,-9.077,0.325,83.104,6,0,160454,0.418,4,"5uisDrJM8rnWmmUrUTVJMw",NA,NA,NA
"Scuba Diving","Olly","Scuba Diving","2022-01-14",157333,33,0.415,0.503,0.423,2.2e-06,0.103,-10.305,0.343,180.374,6,1,157333,0.767,4,"5H1Mh7TJk9QeJlkpHt4Ej4","italian pop","pop virale italiano","rap genovese"
"1312","PSICOLOGI","TRAUMA","2022-04-28",165413,41,0.156,0.258,0.502,0,0.251,-8.143,0.0345,92.983,4,0,165413,0.415,5,"358uYHCGhL4ScusugjRV1z","italian hip hop","italian pop","rome indie"
"Brame","NIO","Brame","2021-12-10",222888,6,0.573,0.575,0.456,0,0.159,-8.215,0.0308,135.007,5,1,222888,0.203,3,"5OJGg1Y588l8WbIg23k8vH",NA,NA,NA
"babydontcallme","Joseph","babydontcallme","2021-06-18",166395,7,0.265,0.641,0.72,0,0.1,-4.791,0.0741,85.929,10,1,166395,0.61,4,"5eSV5QLMvoXkaRgNojDAIf","r&b italiano",NA,NA
"r()t()nda (feat. Tiziano Ferro)","thasup","c@ra++ere s?ec!@le","2022-09-30",159592,60,0.484,0.482,0.795,0,0.345,-5.547,0.233,116.702,7,1,159592,0.639,3,"7FsuMwalG48ZfjklkSkuJa","italian hip hop","italian pop","trap italiana"
"Alcool & Acqua (feat. PSICOLOGI)","Bresh","ORO BLU","2022-03-04",171437,60,0.198,0.703,0.706,0,0.121,-7.32,0.161,120.027,8,1,171437,0.705,4,"4UpCWcaJdu26OxLwxd3baF","italian hip hop","italian pop","rap genovese"
"McDonald's","BALTIMORA","Marecittà","2022-03-11",139384,15,0.634,0.645,0.468,0,0.107,-7.836,0.0664,130.059,0,0,139384,0.214,3,"6a7uzgM7zq204Bfg6fgSHl",NA,NA,NA
"MALEDUCATA (con DARGEN D'AMICO)","Rkomi","TAXI DRIVER","2022-02-24",165328,47,0.188,0.816,0.834,0,0.256,-5.179,0.272,115.121,6,0,165328,0.758,4,"3y7eJyB0UBEz2yTTUF3EpJ","italian hip hop","italian pop",NA
"COMINCIA TU (feat. Rosa Chemical)","Tananai","COMINCIA TU (feat. Rosa Chemical)","2022-02-05",149196,55,0.0295,0.694,0.682,0,0.644,-4.735,0.0651,112.028,9,0,149196,0.798,4,"00aZI3Ds8liGrcqEetsEYf","italian pop",NA,NA
"Royal","kleo","Royal","2021-10-22",118216,2,0.55,0.923,0.565,0.148,0.12,-7.732,0.0494,99.989,4,0,118216,0.955,4,"7KC50len2D8mU1YmwYyYZk",NA,NA,NA
"Viakal","CAFFA","Viakal","2022-01-25",151250,4,0.423,0.743,0.761,6.21e-06,0.0328,-2.965,0.113,80.018,5,1,151250,0.744,4,"1CjhZnYEHTIv3NRkD4llXg",NA,NA,NA
