"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"La canzone mononota","Elio e le Storie Tese","L'album biango","2013-05-07",298800,35,0.344,0.482,0.597,0,0.453,-8.126,0.359,159.675,0,1,298800,0.697,4,"4nwCN9WzbQentBlQPzChW0","italian adult pop","italian alternative",NA,NA,NA,NA,NA,NA,NA,NA
"Solo","Frank Ocean","Blonde","2016-08-20",257380,71,0.85,0.469,0.289,2.48e-06,0.161,-10.625,0.0366,133.805,5,0,257380,0.258,4,"35xSkNIXi504fcEwz9USRB","lgbtq+ hip hop","neo soul",NA,NA,NA,NA,NA,NA,NA,NA
"Nword Sentimentali","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",125793,5,0.113,0.774,0.871,0,0.202,-4.879,0.221,145.041,1,1,125793,0.762,4,"2Vc466nYv0foBr0pvKL6XJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filosofia","Tutti Fenomeni","Merce Funebre","2020-01-17",167620,29,0.209,0.445,0.696,0,0.203,-9.013,0.0836,98.142,10,1,167620,0.889,4,"7q7oEwTnb67dffNtx4YErQ","italian alternative","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA
"Niro, Niro'","Squallor","Il Meglio Del Meglio","2011-07-19",246533,16,0.707,0.72,0.658,0,0.317,-7.658,0.112,173.556,9,1,246533,0.973,4,"3B9GgGpVWRvrHusQ78amnV","cartoni animati",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Door Selection","I Cani","Il sorprendente album d'esordio de I Cani","2011-06-03",166719,35,0.0277,0.137,0.925,1.9e-05,0.228,-3.875,0.0655,208.37,0,1,166719,0.539,4,"5wluingsV3erbJC7M7jNvv","italian alternative","italian indie pop","rome indie",NA,NA,NA,NA,NA,NA,NA
"Le rane","Baustelle","I mistici dell'Occidente","2010-03-26",263546,40,0.0105,0.698,0.937,0.00169,0.573,-4.224,0.0299,125.97,4,1,263546,0.843,4,"08U7OIXbNnmSv057FGY3Ns","italian adult pop","italian alternative",NA,NA,NA,NA,NA,NA,NA,NA
"Sorry","Generic Animal","Presto","2020-02-20",185120,21,0.347,0.745,0.438,0,0.125,-5.821,0.0514,129.99,3,1,185120,0.592,4,"27Na5TrvLT7Wby8ZK4qq83","emo rap italiano","indie rock italiano","italian alternative","italian indie pop","milan indie","r&b italiano",NA,NA,NA,NA
"Credo in te","20025xs","Credo in te","2021-05-14",193419,14,0.0723,0.648,0.87,0,0.0515,-4.364,0.148,85.062,11,1,193419,0.921,4,"7IHBbUoDginDj1KFAcxALE","hyperpop italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA
"FINIMONDO","M¥SS KETA","FINIMONDO","2022-05-05",171904,54,0.033,0.796,0.842,5.2e-05,0.178,-6.94,0.231,126.008,7,1,171904,0.691,4,"0JbzHTWp24Fe1l7NBzzp4p","italian indie pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
